coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
gormato01c,1928,NYA,NHL,1,,44,19,13,12,2,0,1,1
sonmogl01c,1972,MFS,WHA,1,,59,28,28,3,,,,
webstto01c,1989,LAK,NHL,1,,80,34,39,7,10,4,6,0
bowmasc01c,1997,DET,NHL,1,,82,44,23,15,22,16,6,0
bowmasc01c,1994,DET,NHL,1,,48,33,11,4,18,12,6,0
keenami01c,1990,CHI,NHL,1,,80,49,23,8,6,2,4,0
gallage01c,2003,CBS,NHL,2,,45,16,25,4,,,,
sherofr01c,1980,NYR,NHL,1,,20,4,13,3,,,,
trembma02c,1996,MTL,NHL,1,,82,31,36,15,5,1,4,0
hitchke01c,2011,STL,NHL,2,,69,43,15,11,9,4,5,0
schmimi01c,1956,BOS,NHL,1,,70,34,24,12,10,5,5,0
mcvieto01c,1975,WAS,NHL,2,,44,8,31,5,,,,
tippeda01c,2010,PHO,NHL,1,,82,43,26,13,4,0,4,0
constke01c,1997,PIT,NHL,1,,82,40,24,18,6,2,4,0
dineebi01c,1978,NEW,WHA,1,,71,33,29,9,,,,
francbo01c,2002,PHO,NHL,1,,82,31,40,11,,,,
thomppa01c,1940,CHI,NHL,1,,48,16,25,7,5,2,3,0
lowro01c,1996,EDM,NHL,1,,82,36,37,9,12,5,7,0
arboual01c,1985,NYI,NHL,1,,80,39,29,12,3,0,3,0
schoeji01c,1993,WAS,NHL,2,,37,19,12,6,11,5,6,0
schoeji01c,1985,BUF,NHL,1,,43,19,19,5,,,,
kaspest01c,1995,BOS,NHL,1,,82,40,31,11,5,1,4,0
bergemi03c,1984,QUE,NHL,1,,80,41,30,9,18,9,9,0
demerja01c,1977,CIN,WHA,1,,75,33,39,3,,,,
olczyed01c,2005,PIT,NHL,1,,31,8,17,6,,,,
goodfeb01c,1951,CHI,NHL,1,,70,17,44,9,,,,
wilsojo01c,1971,DET,NHL,2,,67,30,27,10,,,,
kingsge01c,1991,SJS,NHL,1,,80,17,58,5,,,,
perrydo01c,1982,LAK,NHL,1,,80,27,41,12,,,,
bouchfr01c,1941,NYR,NHL,1,,48,29,17,2,6,2,4,0
blairwr01c,1967,MNS,NHL,1,,74,27,32,15,14,7,7,0
nolante01c,2007,NYI,NHL,3,,71,28,34,9,,,,
thomppa01c,1938,CHI,NHL,2,,27,4,18,5,,,,
barkldo01c,1970,DET,NHL,2,,40,10,23,7,,,,
mauripa01c,2000,CAR,NHL,1,,82,38,35,9,6,2,4,0
reaybi01c,1972,CHI,NHL,1,,78,42,27,9,16,10,6,0
delveal01c,1974,DET,NHL,1,,80,23,45,12,,,,
demerja01c,1994,MTL,NHL,1,,48,18,23,7,,,,
ramsacr01c,1986,BUF,NHL,2,,21,4,15,2,,,,
ruffli01c,2005,BUF,NHL,1,,82,52,24,6,18,11,7,0
patrily01c,1974,STL,NHL,2,,2,1,0,1,,,,
watsoph01c,1958,NYR,NHL,1,,70,26,32,12,,,,
rollial01c,1976,PHR,WHA,1,,80,28,48,4,,,,
whitebi01c,1976,CHI,NHL,2,,46,16,24,6,2,0,2,0
holmgpa01c,1994,HAR,NHL,1,,48,19,24,5,,,,
tortojo01c,2008,NYR,NHL,2,,21,12,7,2,7,3,4,0
imlacpu01c,1958,TOR,NHL,2,,50,22,20,8,12,5,7,0
burnspa01c,1990,MTL,NHL,1,,80,39,30,11,13,7,6,0
neilsro01c,1981,VAN,NHL,2,,5,4,0,1,17,11,6,0
bowmasc01c,1981,BUF,NHL,3,,9,4,5,0,4,1,3,0
patrifr01c,1913,VML,PCHA,1,,16,7,9,0,,,,
sathegl01c,1981,EDM,NHL,1,,80,48,17,15,5,2,3,0
johnsed01c,1993,PIT,NHL,1,,84,44,27,13,6,2,4,0
pilouru01c,1962,CHI,NHL,1,,70,32,21,17,6,2,4,0
murraan01c,2007,STL,NHL,1,,82,33,36,13,,,,
greenpe01c,1922,OTS,NHL,1,,24,14,9,1,8,6,2,0
clappdi01c,1945,BOS,NHL,1,,50,24,18,8,10,5,5,0
suttebr02c,2007,NJD,NHL,1,,82,46,29,7,5,1,4,0
smithmi01c,1980,WIN,NHL,3,,23,2,17,4,,,,
gadsbbi01c,1968,DET,NHL,1,,76,33,31,12,,,,
trotzba01c,2000,NAS,NHL,1,,82,34,39,9,,,,
thomppa01c,1942,CHI,NHL,1,,50,17,18,15,,,,
kingsge01c,1992,SJS,NHL,1,,84,11,71,2,,,,
loweke01c,1999,EDM,NHL,1,,82,32,34,16,5,1,4,0
mauripa01c,2006,TOR,NHL,1,,82,40,31,11,,,,
quinnpa01c,2000,TOR,NHL,1,,82,37,34,11,11,7,4,0
gainebo01c,1991,MNS,NHL,1,,80,32,42,6,7,3,4,0
bouchfr01c,1948,NYR,NHL,1,,23,6,11,6,,,,
duttore01c,1940,NYA,NHL,1,,48,8,29,11,,,,
