playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
wilsocu01,1916,SEA,PCHA,R,4,1,2,3,0
cookll01,1917,VML,PCHA,D,5,2,0,2,12
fredrfr01,1924,VIC,WCHL,C,4,3,3,6,6
bouchge01,1919,OTS,NHL,D,5,2,0,2,2
bostrhe01,1922,EDE,WCHL,D,1,0,0,0,0
lehmahu01,1920,VML,PCHA,G,5,0,0,0,0
cleghsp01,1924,MTL,NHL,D,4,0,0,0,2
walkeja01,1916,SEA,PCHA,C,4,1,2,3,0
mummeha01,1912,QU1,NHA,D,3,1,0,1,7
mcdonja01,1918,MTL,NHL,C,5,1,1,2,3
corbebe01,1916,MOC,NHA,D,4,2,1,3,3
mackeja01,1919,OTS,NHL,F,5,0,0,0,0
rowebo01,1918,SEA,PCHA,D,5,1,0,1,6
irvinde01,1915,PO1,PCHA,D,5,0,0,0,14
lehmahu01,1914,VML,PCHA,G,3,0,0,0,0
anderjo03,1924,VIC,WCHL,L,4,1,0,1,10
dundeto01,1915,PO1,PCHA,C,5,1,0,1,9
walkeja01,1925,VIC,WCHL,C,4,0,0,0,0
cleghsp01,1920,OTS,NHL,D,5,1,2,3,0
davidal01,1913,TBS,NHA,R,2,1,0,1,7
mcnamge02,1913,TBS,NHA,D,3,2,0,2,4
oatmaed01,1923,CAT,WCHL,C,2,0,1,1,0
anderer02,1923,CAT,WCHL,R,2,0,0,0,2
campbea01,1922,EDE,WCHL,L,2,0,0,0,0
tobinch01,1915,PO1,PCHA,R,5,2,1,3,12
malonjo01,1912,QU1,NHA,C,3,2,0,2,2
anderjo03,1925,VIC,WCHL,L,1,0,0,0,0
dundeto01,1912,VA1,PCHA,C,3,3,0,3,8
berlilo01,1918,MTL,NHL,L,5,1,1,2,0
morrijo01,1922,EDE,WCHL,R,2,1,0,1,0
vezinge01,1923,MTL,NHL,G,4,0,0,0,0
munrodu01,1925,MTM,NHL,D,4,1,0,1,6
winklha01,1922,EDE,WCHL,G,2,0,0,0,0
poulisk01,1913,VA1,PCHA,L,3,2,0,2,17
joliaau01,1923,MTL,NHL,L,4,3,1,4,6
benedcl01,1914,OT1,NHA,G,3,0,0,0,0
holmeha01,1913,TBS,NHA,G,3,0,0,0,0
corbebe01,1918,MTL,NHL,D,5,0,1,1,3
parkeer01,1923,VAM,PCHA,R,2,0,0,0,0
mcdonra01,1918,SEA,PCHA,L,5,1,1,2,3
gengebo01,1912,VA1,PCHA,C,3,3,0,3,14
halljo01,1912,QU1,NHA,D,3,0,0,0,7
joliaau01,1924,MTL,NHL,L,4,2,0,2,16
darraja01,1919,OTS,NHL,R/L,5,5,2,7,3
griffsi01,1917,VML,PCHA,D,5,1,0,1,9
lavioja01,1916,MOC,NHA,L,4,1,2,3,9
adamsbi01,1920,VML,PCHA,R,4,0,0,0,0
benedcl01,1922,OTS,NHL,G,6,0,0,0,2
duncaar01,1920,VML,PCHA,D,5,2,1,3,3
oatmaed01,1915,PO1,PCHA,C,5,3,1,4,16
coutubi01,1924,MTL,NHL,D,4,1,0,1,10
reidch01,1923,CAT,WCHL,G,2,0,0,0,0
foystfr01,1913,TBS,NHA,C,3,2,0,2,3
holmeha01,1918,SEA,PCHA,G,5,0,0,0,0
bouchbi01,1923,MTL,NHL,R,4,5,1,6,6
broadpu01,1914,OT1,NHA,R,3,3,0,3,9
mackami01,1923,VAM,PCHA,L,2,0,0,0,0
lindsbe01,1913,VA1,PCHA,G,3,0,0,0,0
mummeha01,1916,MOC,NHA,D,4,0,0,0,35
bouchfr01,1923,VAM,PCHA,C,2,1,1,2,2
desirsy01,1920,VML,PCHA,D,4,0,0,0,6
vezinge01,1916,MOC,NHA,G,4,0,0,0,0
