playerid,award,year,lgid,note,pos
bayloel01,Первая команда всех звезд НБА,1967,NBA,,F
beasljo01,Все-АБА вторая команда,1967,ABA,,С
bingda01,Первая команда всех звезд НБА,1967,NBA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
brownla01,Все-АБА вторая команда,1967,ABA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
brownro01,Все-АБА вторая команда,1967,ABA,,F
chambwi01,Первая команда всех звезд НБА,1967,NBA,,С
chambwi01,Самый ценный игрок,1967,NBA,,
dampilo01,Все-АБА вторая команда,1967,ABA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
danieme01,Все-АБА первая команда,1967,ABA,,С
danieme01,Руки-перды в году,1967,ABA,,
greerha01,Вице-чемпион НБА,1967,NBA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
havlijo01,Вице-чемпион НБА,1967,NBA,,F
hawkico01,Все-АБА первая команда,1967,ABA,,F
hawkico01,Финал МВП,1967,ABA,,
hawkico01,Самый ценный игрок,1967,ABA,,
jonesla01,Все-АБА первая команда,1967,ABA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
lucasje01,Первая команда всех звезд НБА,1967,NBA,,F
moedo01,Все-АБА первая команда,1967,ABA,,F
monroea01,Руки-перды в году,1967,NBA,,
powelci01,Все-АБА вторая команда,1967,ABA,,F
reedwi01,Вице-чемпион НБА,1967,NBA,,F
roberos01,Первая команда всех звезд НБА,1967,NBA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
russebi01,Вице-чемпион НБА,1967,NBA,,С
westje01,Вице-чемпион НБА,1967,NBA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
willich01,Все-АБА первая команда,1967,ABA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
sharmbi01,Первая команда всех звезд НБА,1957,NBA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
pettibo01,Первая команда всех звезд НБА,1961,NBA,,F
webbech01,Первая команда всех звезд НБА,2000,NBA,,F
arenagi01,Вице-чемпион НБА,2006,NBA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
bucknqu01,Защитная команда года,1979,NBA,,
abdulka01,Первая команда всех звезд НБА,1970,NBA,,С
stokema01,Вице-чемпион НБА,1955,NBA,,F
duncati01,Руки-перды в году,1997,NBA,,
taylobr01,Защитная команда всех звёзд,1975,ABA,,
westje01,Первая команда всех звезд НБА,1970,NBA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
colemde01,Вице-чемпионы,1992,NBA,,F
cowenda01,Вице-чемпион НБА,1975,NBA,,С
ginobem01,Шестой игрок года,2007,NBA,,
paytoga01,Защитная команда первой команды,1997,NBA,,
kempsh01,Вице-чемпион НБА,1994,NBA,,F
heinsto01,Вице-чемпион НБА,1962,NBA,,F
birdla01,Самый ценный игрок,1985,NBA,,
duncati01,Первая команда всех звезд НБА,2002,NBA,,F
cunnibi01,Первая команда всех звезд НБА,1968,NBA,,F
augusdj01,Все-новичок второй команды,2008,NBA,вязка,
onealsh01,Вице-чемпион НБА,1994,NBA,,С
mckeyde01,Защитная команда года,1995,NBA,,
cousybo01,Самый ценный игрок,1956,NBA,,
hendeal01,Самый улучшившийся игрок,1997,NBA,,
nashst01,Первая команда всех звезд НБА,2005,NBA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
mutomdi01,Вице-чемпион НБА,2000,NBA,,С
wallabe01,Защитная команда первой команды,2005,NBA,,
rosede01,Самый ценный игрок,2010,NBA,,
johnsne01,Первая команда всех звезд НБА,1954,NBA,,
jennibr01,Все-новичок первая команда,2009,NBA,,
heinsto01,Вице-чемпион НБА,1960,NBA,,F
thurmna01,Защитная команда года,1973,NBA,,
allento01,Защитная команда года,2010,NBA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
moncrsi01,Вице-чемпион НБА,1981,NBA,,Добро пожаловать в ресторан «Грейт Фуд». Наслаждайтесь вашим столиком и вкусной едой!
ervinju01,Финал МВП,1973,ABA,,
lucasje01,Первая команда всех звезд НБА,1965,NBA,,F
onealsh01,Первая команда всех звезд НБА,2005,NBA,,С
