name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Нарин,Сирдаржа,,,807.0,78.0,42.0,Тянь-Шань,,71.7,41.0
Лимпопо,,,Индийский океан,1750.0,28.0,-26.0,,1800.0,34.0,-25.2
Бахр эль-Гасал,Белый Нил,,,716.0,,,,,30.43,9.5
Амазонка,,,Атлантический океан,6448.0,-71.7,-15.5,Андес,5170.0,-50.0,0.0
Везер,,,Северное море,440.0,9.65,51.4,,116.5,8.5,53.5
Бому,Убанги,,,280.0,27.0,5.0,,,22.5,4.0
Март,Дунай,,,358.0,16.85,50.21,Содружество гор Слодь,1380.0,16.98,48.17
Река Мюрренбиджи,Мюррей-Деринг,Озеро Берли Гриффин,,1579.0,148.5,-37.0,Снежные горы,,143.22,-34.73
Дунай,,,Чёрное море,2845.0,8.52,47.95,Чёрный лес,686.0,29.65,45.16
Моза,Рейн,,,544.0,6.89,47.89,Вогезы,715.0,7.61,50.37
Гломма,,,Скегеррак,604.0,12.0,62.6,,860.0,10.95,59.2
Иравади,,,Андаманское море,2170.0,98.0,29.0,,4300.0,96.0,17.0
Шилка,Аму́р,,,560.0,111.0,49.8,,,121.48,53.33
Рио-Дес-Агуадеро,,Поопо,,383.0,-69.0,-16.55,Андес,3812.0,-67.1,-18.55
Дроа,Дунай,,,749.0,12.26,46.73,Альпы,1450.0,18.93,45.54
Бусира,Руки,,,830.0,20.8,-0.2,,,19.0,-0.3
Ваал,Оранж,,,1251.0,30.0,-26.0,Дракенсберг,,24.0,-29.0
Ваердаляэльв,Далээлв,,,320.0,12.6,61.8,,,15.1,60.7
Адда,Поехали!,Озеро Комо,,313.0,10.3,46.55,Альпы,2235.0,9.88,45.13
Клараэльв,,Вейнерн,,460.0,11.9,62.2,,662.0,13.5,59.4
Северная Двина,,,Баренцовое море,740.0,60.9,46.3,,180.0,40.5333,64.55
Вера,Везер,,,292.0,10.96,50.5,Тюрингские горы,797.0,9.65,51.4
Уругвай,,,Атлантический океан,1790.0,-52.0,-27.5,,1800.0,-58.4,-33.9
Жёкулсёфьорд,,,Норвежское море,206.0,-16.5,64.8,,,-16.6,66.2
Меконг,,,Южная Китайская река,4350.0,94.0,32.5,,5200.0,107.0,9.0
Тейсс,Дунай,,,1308.0,24.25,48.1,Карпаты,460.0,20.3,45.05
Пацьёки,,,Баренцовое море,145.0,28.3,68.95,,119.0,30.05,60.75
Гуадалкивир,,,Атлантический океан,657.0,-3.0,37.8,Бетическая Cordillera,1400.0,-6.35,36.8
Кольорадо,,Озеро Пауелл,Тихоокеанский океан,2330.0,-105.7,40.35,,2700.0,-114.8,31.81
Свир,,Оzero Ладога,,224.0,35.49,60.99,,33.0,32.79,60.51
Висла,,,Балтийское море,1047.0,19.01,49.61,Бескиды,1100.0,18.95,54.36
Днепр,,,Чёрное море,2201.0,34.0,55.5,Вальдаи-Гиллз,220.0,32.252,46.5257
Привет,Белый Нил,,,740.0,,,,,31.65,9.63
Кюило,Ква,,,970.0,14.7,-11.3,,,17.4,3.3
Линейка,Аллер,,,281.0,10.32,51.39,,340.0,9.59,52.72
Рио-Маморе,Рио Мадейра,,,1931.0,-66.5,-18.0,Андес,,-65.4,-10.4
Виктория Нил,,Озеро Сезо-Секо/Альберт-зее,,,33.0,-1.0,Восточноафриканская рифтовая область,1134.0,30.9,1.7
Брег,Дунай,,,45.9,8.16,48.1,Чёрный лес,1078.0,8.52,47.95
Арканзас,Миссисипи,,,2334.0,-106.3,39.25,,4260.0,-91.0,34.0
Река Коннектикут,,,Атлантический океан,655.0,-71.21,45.25,,,-72.33,41.27
Салцах,Инн,,,225.0,12.11,47.3,Альпы,2300.0,12.92,48.21
Тхёрс,,,Атлантический океан,230.0,-18.0,65.0,,,-20.8,63.9
Альлегени,Оハイо-Ривер,,,523.0,-77.9,41.9,Аппалачи,759.0,-80.0,40.42
Аммер,Изар,Аммерзее,,168.0,11.05,47.57,Альпы,850.0,11.96,48.5
Тажо,,,Атлантический океан,1007.0,-1.7,40.32,Иберские горы,1.58,-9.3,38.7
Ориноко,,,Атлантический океан,2140.0,-63.5,2.0,Сьерра-Парима,,-62.0,9.0
