abbreviation,name,city,country,province,established
ККЭ,Совет по сотрудничеству арабских государств,,,,1989-02-16
ООНФИК,Силы Организации Объединенных Наций на Кипре,Нью-Йорк,США,Нью-Йорк,1964-03-04
Международное агентство по атомной энергии,Международное агентство по атомной энергии,Вена,А,Вена,1956-10-26
Африканский банк развития,Африканский банк развития,Абиджан,ЦИ,Кот-д’Ивуар,1963-08-04
КАН,Совет по сотрудничеству стран Северной Атлантики,Брюссель,B,Прамбант,1991-11-08
КДБ,Карибейский банк развития,,,,1969-10-18
КACM,Центральноамериканский договор о свободной торговле,Гватемала-Сити,GCA,Гватемала,1960-12-13
ЭКА,Экономическая комиссия для Африки,Адис-Абеба,ЭТХ,Эфиопия,1958-04-29
Не-признанная Республика Ичкерия,Миссия наблюдателей Организации Объединенных Наций в Грузии,Нью-Йорк,США,Нью-Йорк,
УНМЦ,Миссия наблюдателей ООН в Таджикистане,Нью-Йорк,США,Нью-Йорк,1994-12-16
ВФТУ,Всемирная федерация профсоюзов,Праж,CZ,Праз,1945-10-03
АМФ,Арабский монетарный фонд,Абу-Даби,ОАЭ,Абу-Даби,1976-04-27
БМВ,Банк исламского развития,Джидда,СА,Саудовская Аравия,1973-12-15
ОБСЕ,Организация по безопасности и сотрудничеству в Европе,Вена,А,Вена,1995-01-01
Введите текст для перевода: EADB,Восточноафриканский банк развития,Кампала,ВЭА,Уганда,1967-06-06
МНООНАЦИОННЫЙ ПРИГЛАШЕНИЕ ОБЕСПЕЧИТЬ,Междунациональные силы в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
УНАВЕМ III,Миссия по проверке соблюдения санкций Организации Объединенных Наций в Анголе,Нью-Йорк,США,Нью-Йорк,1988-12-20
Меконг Групп,Группа по развитию бассейна Мекунга ASEAN,,,,1995-12-01
ИЛओ,Международная организация труда,Женева,Ч,ГЭ,1919-04-11
САКУ,Южноафриканское таможенное союз,Преториа,RSA,Готенг,1969-12-11
РГ,РиоВГрупп,,,,1988-01-01
УПВ,Всесвітній союз поштових служб,Берне,Ч,Да,1874-10-09
УНИКОМ,Миссия Организации Объединенных Наций по наблюдению за ситуацией между Ираком и Кувейтом,Нью-Йорк,США,Нью-Йорк,1991-04-09
УНОМИЛ,Миссия наблюдателей Организации Объединенных Наций в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
ЭКЛАК,Экономическая комиссия для Латинской Америки и Карибского бассейна,Сантьяго,РЧ,Чили,1948-02-25
ВТО,Европейское экономическое сообщество,Женева,Ч,ГЭ,1960-01-04
ЗС,Комитет Занггера,,,,
ИДА,Международная ассоциация развития,Вашингтон,США,Дистрикт Колумбия,1960-01-26
МВФ,Международный валютный фонд,Вашингтон,США,Дистрикт Колумбия,1944-07-22
НАМ,Движение неприсоединения,Джакарта,Ри,Индонезия,1961-09-01
ЧП,План Коломбо,Коломбо,КЛ,Шри-Ланка,1951-07-01
ЭСЧАВ,Экономическая и социальная комиссия для Западной Азии,Аман,Джо́р,Иордания,1973-08-09
Минурсо,Миссия Организации Объединенных Наций по референдуму в Западной Сахаре,Нью-Йорк,США,Нью-Йорк,1991-04-29
"WCL (World Cup League) — это ежегодный турнир по киберспортивной игре League of Legends, проводимый компанией Riot Games. Он служит отборочным турниром для участия в более крупных и престижных соревнованиях, таких как World Championship.",Всемирная конфедерация труда,Брюссель,B,Прамбант,1920-06-19
Лаия,Ассоциация интеграции Латинской Америки,Монtevيديو,Оуен,Уругвай,1980-08-12
NSG,Группа ядерных поставщиков,Вена,А,Вена,
Специальные силы ООН,Силы защиты Организации Объединенных Наций,Нью-Йорк,США,Нью-Йорк,1992-02-28
G-19,Группа из 19 человек,,,,1975-10-01
ПФП,Партнерство за мир,,,,1994-01-10
Отвод,Сила наблюдателей за разоружением Организации Объединенных Наций,Дамаск,СИР,Сирия,1974-05-31
