name,mountains,height,type,longitude,latitude
Гваделупе Пик,Ровны,2667.0,,-105.0,32.0
Пик Блю Маунтин,,2256.0,,-76.4,18.1
Гранд-Баллон,Вож,1424.0,,7.1,47.9
Аконкагуа,Андес,6962.0,,-70.0,-32.65
Фого,Кабо-Верде,2829.0,вулкан,-24.4,14.95
Зард-Кух,Загросы,4550.0,,50.1,32.35
Мт Редаубт,Алеутские горы,3108.0,вулкан,-152.75,60.5
Гора Агу,,3142.0,вулкан,115.5,-8.3
Цитлальпетль (Пико-де-Оризаба),Гори Кордильер,5700.0,вулкан,-97.0,19.0
Файстерерхорн,Альпы,4274.0,,8.1,46.5
Монте Цинто,Курса,2706.0,,8.9,42.4
гора Виктория,,1323.0,вулканический,178.0,-17.8
Пико де Сан-Томе,,2024.0,вулканический,6.6,0.2
Нanga Парбат,Каракорум,8125.0,,74.6,35.2
Чимборазо,Андес,6287.0,вулкан,-78.5,-1.2
Мт Логан,Элиас Рэндж,5959.0,,-140.4,60.6
Касбек,Кавказ,5033.0,вулканический,44.31,42.42
Манаслу,Гималаи,8163.0,,84.6,28.55
Попокатепетль,Гори Кордильер,5450.0,вулкан,-98.0,19.0
Эми Куши,Тибести,3415.0,вулкан,18.5,20.0
Пико-де-Альмансор,Центральная Горах,2648.0,,-5.3,40.25
Пико Рокаре,Черная Cordillera,5187.0,,-78.0,-8.8
Гора Уильям,,4509.0,,145.0,-5.8
Гекла,,1491.0,вулкан,-19.7,64.0
Маунт Рейнир,Каскадные горы,4392.0,вулкан,-121.75,46.5
Меру,Восточноафриканская рифтовая область,4567.0,вулкан,36.8,-3.2
Ирацу,Горы Таламанка,3432.0,вулкан,-83.9,10.0
Нанда-Деви,Гималаи,7816.0,,80.0,30.4
Озерце,Балканы,2694.0,,19.4,42.3
Кэткин-Пик,Дракенсберг,3181.0,,29.35,-29.1
Кракатау,,813.0,вулкан,105.4,-6.1
Гилуве,,4368.0,вулкан,143.9,-6.05
Мавензи,Восточноафриканская рифтовая область,5148.0,вулкан,37.45,-3.1
Церро-де-Пунта,,1338.0,,-66.6,18.2
Элгон,Восточноафриканская рифтовая область,4321.0,вулканический,34.55,1.1
Кангченджуга,Гималаи,8586.0,,88.1,27.7
Ринджани,,3726.0,вулкан,116.5,-8.4
Гора Борах,Ровны,3859.0,,-113.8,44.1
Мт. Святого Эллиаса,Элиас Рэндж,5489.0,,-140.9,60.3
Рас Дашчан Терара,Амаре,4533.0,вулканический,38.4,13.2
Глитертинд,,2452.0,,8.1,61.4
Пико-Туркино,Сьерра-Маэстра,1974.0,,-76.8,20.0
