lake,country,province
Саямаа,SF,Кими
Калалавеси,SF,Кюопио
Каспийское море,КАЗ,Атырау
Озеро Эйр,Австралия,Южная Австралия
Озеро Чилва,МВ,Малави
Озеро Титикака,ПЭ,Пuno
Озеро Супериор,США,Миннесота
Сторуман,"Транслитерация: ""С""",Вастерботтен
Озеро Тоба,Ри,Индонезия
Озеро Виктория,Есть,Мара
Озеро Эри,США,Мичиган
Озеро Окичоби,США,Флорида
Озеро Кебан,Транслитерация,Элязиг
Озеро Ньос,КЭМ,Северо-Запад
Озеро Хьюм,Австралия,Виктория
Озеро Ньяса,РБ,Ботсвана
Каспийское море,Р,Республика Калмыκίαя
Озеро Форт-Пек,США,Монтана
Пайяянне,SF,Хайме
Вейнерн,"Транслитерация: ""С""",Скарабей
Боденское озеро,Д,Баден-Вюртемберг
Озеро Эри,США,Огайо
Озеро Танганьика,Есть,Мбея
Озеро Эяси,Есть,Аруша
Улу-Ийярви,SF,Улу
Озеро Мичиган,США,Мичиган
Озеро Онтарио,КДН,Онтάριο
Кратер-Лейк,США,Орегон
Оё-Цханей,Р,Новосибирская область
Чадское озеро,Ч,Чад
Оzero Байкал,Р,Иркутская область
Озеро Скутари,МНЕ,Черногория
О zero Балчаш,КАЗ,Тальдыкорган
Озеро Маджоре,я,Ломбардия
Озеро Эри,США,Нью-Йорк
Озеро Мичиган,США,Висконсин
Цюрихское озеро,Ч,ГЛ
Озеро Титикака,Боль,Боливия
Озеро Тана,ЭТХ,Эфиопия
Макарикари Соленая Палата,РБ,Ботсвана
Великая Солёная озера,США,Юта
О́зеро Араль,Узбанский,Каракальпогистон
Озеро Леман,Ч,VS
Озеро Урмия,IР,Восточная Азербайджан
Большой Медвежий Озер,КДН,Северо-Западные территории
Чев Бехир,ЭТХ,Эфиопия
Верастаттерсее,Ч,УР
Озеро Собрадиньо,Бр,Бахия
Озеро Ликанкабур,РЧ,Чили
Цюрихское озеро,Ч,Ш
Озеро Сезо-Секо/Альберт-зее,ЗРЕ,Верхний Заир
Озеро Франклин-Д. Рузвельт,США,Вашингтон
Озеро Киву,ЗРЕ,Киву
Озеро Гезери́те,СИР,Сирия
Озеро Малави,МОЦ,Ниасс
Озеро Леман,Ч,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните ваш запрос или задайте новый вопрос."
Боденское озеро,А,Ворарлберг
Озеро Браккиано,я,Лазио
Озеро Малави,Есть,Иринга
Чадское озеро,ВАН,Нигерия
