mountain,island
Пико-де-лос-Ньевес,Гран-Канария
Ораефайокüll,Исландия
Питон д'Эсра,Переезд
Мауна-Лоа,Гавайи
Руапеу,Тэ Ика-а-Мауи (Северный остров)
Попоманашеу,Гвадалканал
Ю Шань,Тайвань
Жима,Олхо́н
Фого,Фого
гора Виктория,Вити Леву
Гилуве,Новая Гвинея
Ринджани,Ломбок
Снаефелл,Исландия
Пико,Пико
Гора Балби,Бугенвиль
Кракатау,Кракатау
Гора Уильям,Новая Гвинея
Пик Блю Маунтин,Ямайка
Татама́лу,Тимор
Пинатубо,Лусон
Пситорит,Крит
Пулоц,Лусон
Царатанана,Мадагаскар
Маунтин-Кук,Тэ Вака-а-Мауи (Южный остров)
Эта,Сицилия
Халеакала,Мауи
Силиси,Саваи
Питон де ла Фурнасе,Переезд
Пико-Туркино,Куба
Льюзер,Суматра
Гуней Биняйя,Церам
Софриер-Хилз,Монсерат
Ла Суфриер,Базе-Тэрр
Пеле,Мартиника
Пико Дюарте,Хиспаньола
Рока-де-лос-хахос,Ла-Пальма
Асаи-Дакэ,Хоккайдо
Бен Новис,Великобритания
Керини,Суматра
Гора Агу,Бали
Пико-Рувиу,Мэдейра
Киношан,Блионоро
Пик королевы Марии,Тристан да Куна
Мерапи,Джава
Тамбора,Сумба́ва
Морне Диабло́тины,Доминика
Пик Джейя,Новая Гвинея
Пико Базиле,Биоко
Канлаон,Негрос
Церро-де-Пунта,Пуэрто-Рико
Маунт Один,Остров Баффин
Ранте-комбола,Сулавеши
