city,province,country,river,lake,sea
Адамстун,Питкэрнские острова,ПИТЦ,,,Тихоокеанский океан
Мумбаи,Махараштра,Инд,,,Арабское море
Роттердам,Южная Голландия,НЛ,Рейн,,
Инсбрук,Тироль,А,Инн,,
Мата-Ут,Уоллис и Футуна,Вафу-вафу,,,Тихоокеанский океан
Сан-Крус-де-Тенерифе,Канарские острова,"Добро пожаловать в Cohere! Я — AI-ассистент Coral, и я здесь, чтобы помогать вам. Как я могу помочь сегодня?",,,Атлантический океан
Алам-Амара,Маян,Ирак,Тигр,,
Тела,Атлантида,ХСА,,,Карибское море
Мбандака,Экватор,ЗРЕ,Заир,,
Порт-Судан,Аш-Шаркия,SUД,,,Красный океан
Благовещенск,Амурская область,Р,Аму́р,,
Ульм,Баден-Вюртемберг,Д,Иллер,,
Владevoerd,Приморский край,Р,,,Моря Японии
Киквит,Бандунду,ЗРЕ,Кюило,,
Мамутзу,Маяке,маё,,,Индийский океан
Страсбург,Альзас,Ф,Рейн,,
Конакри,Гвинея,РГ,,,Атлантический океан
Никита,Никита,Джо,,,Моря Японии
Луоян,Хэньань,ТЖ,Хванго,,
Виктория,Британская Колумбия,КДН,,,Тихоокеанский океан
Баракало,Страна Басков,"Добро пожаловать в Cohere! Я — AI-ассистент Coral, и я здесь, чтобы помогать вам. Как я могу помочь сегодня?",,,Атлантический океан
Порт-Блэр,Андаманские и Никобарские острова,Инд,,,Бенгальский залив
Банкул,Индонезия,Ри,,,Индийский океан
Матсуэ,Шимане,Джо,,,Моря Японии
Питтсбург,Пенсильвания,США,Оハイо-Ривер,,
Остравная,Североморусский,CZ,Одер,,
Курган,Курская область,Р,Тоболь,,
Хартум-Север,ал-Хартум,SUД,Нил,,
Тромсе,Тромсё,Да.,,,Норвежское море
Рязань,Рязанская область,Р,Ока,,
Тампико,Тамаулипс,Мексика,,,Гольфстрем
Петропавловск,Солтустик Казахстан,КАЗ,Ищим,,
Нумеа,Новая Каледония,НЦА,,,Тихоокеанский океан
Ярен,Науру,НАУ,,,Тихоокеанский океан
