city,province,country,island
Хамильтон,Бермудские острова,БЕРМ,Гранд-Бермуда
Тарава,Кирита,КИР,Тарава
Шеффилд,Южный Йоркшир,Хорошо.,Великобритания
Святой Иоанн,Антигуа и Барбуда,АГ,Антигуа
Макати,Филиппины,РП,Лусон
Сент-Пьер,Сент-Пьер и Микилон,Секретная программа исследования и развития,Сент-Пьер
Сингапур,Сингапур,SGП,Сингапур
Паликир,Микронезия,ФСМ,Понапе
Миядзакі,Миядзакі,Джо,Кюсю
Давао,Филиппины,РП,Минданао
Тебинг Тииги,Индонезия,Ри,Суматра
Блэкберн,Ланкашир,Хорошо.,Великобритания
Тойота,Тойота,Джо,Хонсю
Пематанг Сиантар,Индонезия,Ри,Суматра
Виктория,Мальта,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Гозо
Мамутзу,Маяке,маё,Маяке
Фуншал,Мэдейра,П,Мэдейра
Ци́во де Авила,Ци́во де Авила,C,Куба
Кингстун,Сент-Винсент и Гренадины,Западная Вирджиния,Сент-Винсент
Фианарантсау,Фианарантсау,РМ,Мадагаскар
Дерби,Дербишир,Хорошо.,Великобритания
