desert,country,province
Гибсон-пустыня,Австралия,Западная Австралия
Кысылкум,Узбанский,Джиззак
Либийская пустыня,SUД,Дарфур
Тенерес,РН,Нигер
Руб-аль-Хали,ОАЭ,Ум-эль-Кауейн
Баха-Каліфорния-Десерт,Мексика,Баха-Калифорния
Сонора,Мексика,Чихуахуа
Хамада ду Драа,МА,Марокко
Великий Виктория-странн,Австралия,Западная Австралия
Мурункум,КАЗ,Жамбыл
Колорадо-Плейн-Бюф,США,Новая Мексика
Гоби,ТЖ,Ганьсу
Даште-Кавир,IР,Тегеран
Тане́зруфт,ММР,Мали
Великий Западный Вершин,ДЗ,Алжир
Стурт-пустыня,Австралия,Квинсленд
Морава,США,Невада
Дарфур,SUД,Дарфур
Калаhari,RSA,Северо-Запад
Либийская пустыня,ОК,Матурух
