name,area,depth,altitude,type,river,longitude,latitude
Папаша,1900.0,119.0,88.0,,,14.5,58.3
Озеро Гарда,370.0,346.0,65.0,,Минчо,10.65,45.6
Боденское озеро,538.5,254.0,395.0,,Рейн,9.4,47.6
Озеро Бангууэлу,10000.0,4.0,1140.0,,Луаула,29.7,-11.2
Озеро Псковское,3555.0,14.6,30.0,,Нарв,27.49,58.68
Озеро Собрадиньо,4214.0,,,искусственный,Рио Сан-Франциско,-40.7,-9.46
Озеро Киву,2650.0,450.0,1462.0,,Рузизи,29.2,-1.8
Озеро Мае-Ндомбе,8200.0,10.0,300.0,,Фими,18.3,-2.05
Чадское озеро,23000.0,7.0,250.0,соль,,14.0,13.2
Лак Ассал,54.0,,-155.0,соль,,42.4,11.65
Озеро Ньос,,208.0,,кальдера,,10.3,6.44
Озеро Атлин,798.0,283.0,668.0,,Река Юкон,-133.75,59.5
Имя Нам Ко,1855.0,125.0,4718.0,соль,,90.55,30.7
Бриенцер-Зе,29.8,260.0,564.0,,Аре,7.97,46.73
Кайнинское озеро,1243.0,,,искусственный,Нигер,4.5,10.4
Озеро Титикака,8372.0,281.0,3812.0,,Рио-Дес-Агуадеро,-69.33,-15.84
озеро Ван,3740.0,457.0,1719.0,соль,,42.9,38.6
Озеро Малави,29600.0,704.0,474.0,,Здравствуйте,34.0,-12.0
Большой Медвежий Озер,31792.0,446.0,156.0,,,-120.6,65.9
Озеро Виннипег,24420.0,18.0,218.0,,Рекаネルсон,-97.97,52.77
Лаачер Маар,3.3,53.0,275.0,кальдера,,7.3,50.4
Озеро Хьюм,202.0,,,,Мюррей-Деринг,147.0,-36.1
Озеро Оа́хе,1453.0,,,искусственный,Миссури,-100.4,44.45
Оё-Цханей,2500.0,106.0,10.0,,,77.5,54.9
Озеро Больсена,114.0,151.0,335.0,кальдера,,11.9,42.6
Озеро Никарагуа,8157.0,45.0,31.0,,Рио Сан-Хуан,-85.35,11.6
Арессо,40.2,5.6,,,,12.1,56.0
Озеро Кариба,5580.0,32.0,,искусственный,Замбеци,28.75,-16.5
Озеро Супериор,82103.0,405.0,184.0,,,-87.37,47.7675
Озеро Онтарио,18960.0,244.0,75.0,,Река Святого Лаврентия,-77.96,43.695
Лох Ломонд,71.0,190.0,7.9,,,-4.59,56.08
Озеро Гурон,59600.0,229.0,176.0,,Детройтская река,-82.44,44.795
Озеро Ликанкабур,0.005,,5600.0,крутой слой,,-67.9,-22.8
Озеро Танганьика,32893.0,1470.0,782.0,,Лукуга,30.0,-6.0
Улу-Ийярви,928.0,35.0,123.0,,Улуйоки,27.25,64.3
Макарикари Соленая Палата,12000.0,0.0,,соль,,21.0,-25.5
Мельран,1140.0,66.0,0.7,,,17.1,59.4
Саямаа,4370.0,85.0,76.0,,Вуокса,28.0,61.3
О́зеро Араль,17160.0,35.0,31.0,соль,,59.62,44.81
Чикамога-Лейк,147.0,,,,Теннесси,-85.0,35.4
Озеро Уиннипесакэ,186.0,55.0,153.0,,Река Мерримак,-71.3,43.6
Салаар де Уюни,10582.0,0.0,3650.0,соль,,-67.5,-20.1
Аммерзее,46.6,81.1,533.0,,Аммер,11.6,48.0
Озеро Чапала,1685.0,12.0,1520.0,,Рио Лерма,-103.05,20.22
Сторуман,173.0,139.0,419.0,,Умеаэльв,16.88,65.22
Исык-Куль,6236.0,668.0,1609.0,соль,,77.2,42.4
Великая Солёная озера,4400.0,10.0,1279.0,,,-112.6,41.15
Большой Сла-лейк,28568.0,614.0,156.0,,Река Маккензи,-113.9,61.7
Озеро Мверу,5120.0,27.0,931.0,,Люва,28.7,-9.0
Цюрихское озеро,88.0,136.0,406.0,,Лиммат,8.23631,47.5018
Рутанзинге/Эдардзее,2325.0,112.0,920.0,,Семлик,29.6,-0.35
Пайяянне,1118.0,95.0,78.0,,Кимийоки,25.4,61.5
Каспийское море,386400.0,995.0,-28.0,соль,,51.0,41.0
Дарыacheh ye Намак,1800.0,1.0,790.0,соль,,51.88,34.5
Озеро Тахо,497.0,501.0,1900.0,,Трюки-Ривер,-120.0,39.0
Озеро Волта,8502.0,130.0,,искусственный,Вольта,0.5,6.3
Лох-Нес,56.0,226.0,16.0,,,-4.44,57.31
