sea,country,province
Атлантический океан,C,Гавана
Индийский океан,Австралия,Новый Южный Уэльс
Атлантический океан,C,Лас-Тунас
Тихоокеанский океан,ПЭ,Тачна
Индийский океан,RSA,Западный Кейп
Атлантический океан,США,Флорида
Андаманское море,МЯ,Янгон
Средиземное море,ГБЗ,Гибралтар
Тихоокеанский океан,РЧ,Чили
Ирландское море,В реальной жизни,Ирландия
Средиземное море,МС,Монако
Чёрное море,Транслитерация,Кастамону
Карибское море,В,Новая Гранада
Атлантический океан,АГ,Антигуа и Барбуда
Чёрное море,"Извините, но я не понимаю ваш запрос. Можете ли вы пояснить, что именно вы хотите перевести?",Херсонская
Малахский пролив,МЭЛ,Перлис
Персидский залив,ОАЭ,Аш Шарика
Атлантический океан,РА,Рио-Негро
Тихоокеанский океан,НОРФ,Остров Норфолк
Тихоокеанский океан,Р,Хабарский край
Канал,Ф,Haute-Normandie
Сибирское море,Р,Архангельская область
Оманский залив,ОМ,Оман
Северное море,Хорошо.,Больше Лондона
Индийский океан,Спасибо,Сомали
Восточное Китайское море,ТЖ,Фуцзянь
Балтийское море,"Транслитерация: ""С""",Содерманланд
Атлантический океан,СН,Зигиншор
Атлантический океан,СВАН,Свалбард
Море Азовское,"Извините, но я не понимаю ваш запрос. Можете ли вы пояснить, что именно вы хотите перевести?",Донецкая
Атлантический океан,СН,Дакар
Малахский пролив,МЭЛ,Мелакка
Оманский залив,ПК,Пакистан
Сибирское море,Р,Республика Саха (Якутия)
Тихоокеанский океан,ХСА,Долина
Атлантический океан,ВАН,Нигерия
Северное море,Хорошо.,Саффолк
Чёрное море,Транслитерация,سامسون
Норвежское море,Что?,Исландия
Северное море,Хорошо.,Высокогорье
Восточное Китайское море,Джо,Кумамото
Индийский океан,Есть,Танга
Средиземное море,ОК,Матурух
Средиземное море,ИЛ,Центральный
Индийский океан,МОЦ,Газа
Тихоокеанский океан,Джо,Вакаяма
Северное море,Хорошо.,Шетланд
Тихоокеанский океан,Р,Камчатский край
Тихоокеанский океан,КДН,Британская Колумбия
Тихоокеанский океан,Р,Магаданская область
Берингово море,Р,Камчатский край
Тихоокеанский океан,МХ,Маршалловы острова
Карибское море,ХСА,Атлантида
Моря Японии,Джо,Фукуока
Северное море,Ф,Норд-Па-де-Кале
Персидский залив,IР,Хузестан
Восточное Китайское море,Джо,Окинава
Атлантический океан,БДС,Барбадос
Тихоокеанский океан,Джо,Хоккайдо
Восточное Китайское море,ТЖ,Зхайчжоу
Арабское море,Инд,Тамилнад
Гольфстрем,США,Миссисипи
Арабское море,ОМ,Оман
Балтийское море,"Транслитерация: ""С""",Готланд
Карибское море,OK,Антиокия
Средиземное море,ОК,Бур-Саид
Средиземное море,ИЛ,Юг
Арабское море,ПК,Пакистан
Катель,ДК,Дания
Атлантический океан,Фаркс,Фарерские острова
Северное море,Хорошо.,Грамний
Атлантический океан,ФАЛЬК,Фолклендские острова
Балтийское море,"Транслитерация: ""С""",Кристиансанд
Тихоокеанский океан,Джо,Токушима
Атлантический океан,Бр,Риу-Гранди-ду-Сул
Чёрное море,РО,Константина
Средиземное море,ГР,Восточная Македония и Турция
Южная Китайская река,SGП,Сингапур
Сибирское море,Р,Тюменская область
Северное море,Д,Нижняя Саксония
Арабское море,Инд,Лакшадвип
Атлантический океан,ВЛ,Сент-Люсия
Атлантический океан,КДН,Манитоба
Атлантический океан,ХЕЛКС,Остров Святой Елены
Тихоокеанский океан,ПЭ,Пиура
Тихоокеанский океан,Джо,Ме
Баренцовое море,Р,Республика Карелия
