mountain,country,province
Ликанкабур,РЧ,Чили
Гашер브рум II,ПК,Пакистан
Меру,Есть,Аруша
Нanga Парбат,ПК,Пакистан
Маунт Рейнир,США,Вашингтон
Портфелей,"Транслитерация: ""С""",Норрботтен
Элгон,ЕАК,Западный
Гора Богонг,Австралия,Виктория
Табана Нтленяна,ЛС,Лесото
Гранд-Баллон,Ф,Лотарингия
Аннапура,Неп,Непал
Чанганшань,NOK,Северная Корея
Ораефайокüll,Что?,Исландия
Сульдительма,Да.,Северная земля
Пуи-де-Дом,Ф,Оверνью
Хуаскаран,ПЭ,Анкас
Джабал Марра,SUД,Дарфур
Хохгольинг,А,Стирия
Гашербрум-1,ПК,Пакистан
Пико Боливар,В,Мерида
Мattersхерн,я,долина Аоста
Пик Победы,ТЖ,Шэньжэнь
Клингманс-Дом,США,Теннесси
Семеру,Ри,Индонезия
Пико,П,Азорские острова
Пико-де-Агулуаш-Неграс,Бр,Минас-Жерайс
Глитертинд,Да.,Оппланд
Пик Блю Маунтин,Нет,Ямайка
Невадо-де-Колима,Мексика,Халиско
Муунта Эверест,ТЖ,Тибет
Манталинган,РП,Филиппины
Ликанкабур,Боль,Боливия
Кораб,МК,Македония
Мт Марси,США,Нью-Йорк
Иламани,Боль,Боливия
Пико-де-лос-Ньевес,"Добро пожаловать в Cohere! Я — AI-ассистент Coral, и я здесь, чтобы помогать вам. Как я могу помочь сегодня?",Канарские острова
