sea1,sea2
Южная Китайская река,Моро-Бало
Атлантический океан,Норвежское море
Карибское море,Гольфстрем
Гольфстремен Адена,Индийский океан
Северный Ледовитый океан,Атлантический океан
Тихоокеанский океан,Индийский океан
Балтийское море,Северное море
Баренцовое море,Сибирское море
Северное море,Скегеррак
Восточное Китайское море,Моря Японии
Тихоокеанский океан,Моро-Бало
Андаманское море,Малахский пролив
Чёрное море,Море Азовское
Атлантический океан,Карибское море
Тихоокеанский океан,Южная Китайская река
Индийский океан,Тихоокеанский океан
Моря Японии,Желтое море
Гольфстремен Адена,Красный океан
Восточное Китайское море,Желтое море
Чёрное море,Средиземное море
Восточное Китайское море,Тихоокеанский океан
Арабское море,Гольфстремен Адена
Тихоокеанский океан,Оखотское море
Малахский пролив,Южная Китайская река
Атлантический океан,Гольфстрем
Бенгальский залив,Тихоокеанский океан
Арабское море,Индийский океан
Моро-Бало,Индийский океан
Атлантический океан,Канал
Восточное Китайское море,Южная Китайская река
Арабское море,Оманский залив
Северный Ледовитый океан,Норвежское море
Северный Ледовитый океан,Сибирское море
Северное море,Канал
Оманский залив,Персидский залив
Тихоокеанский океан,Моря Японии
Бенгальский залив,Индийский океан
Атлантический океан,Северное море
Северное море,Норвежское море
Индийский океан,Индийский океан
Андаманское море,Бенгальский залив
Северный Ледовитый океан,Берингово море
Северный Ледовитый океан,Баренцовое море
Баренцовое море,Норвежское море
Атлантический океан,Средиземное море
Южная Китайская река,Индийский океан
Атлантический океан,Индийский океан
Атлантический океан,Ирландское море
Андаманское море,Индийский океан
Атлантический океан,Тихоокеанский океан
Моря Японии,Оखотское море
Берингово море,Тихоокеанский океан
Оманский залив,Индийский океан
Катель,Скегеррак
