river,country,province
Шабель,Спасибо,Сомали
Ваердаляэльв,"Транслитерация: ""С""",Даларна
Янгцзы,ТЖ,Шанхай (город)
Меконг,"Убедитесь, что вы предоставили мне текст для перевода. Я буду рад помочь вам с переводом.",Вьетнам
Бахр эль-Джабаль/Альберт-Нил,SUД,Аали и Нил
Лимпопо,МОЦ,Газа
Адда,я,Ломбардия
Ориноко,В,Дельта Амакуро
Санага,КЭМ,Коте/Литорал
Далээлв,"Транслитерация: ""С""",Уппсала
Чатанга,Р,Красноярский край
Чусапа,ЗРЕ,Экватор
Парагвай,Пи,Парагвай
Уругвай,Оуен,Уругвай
Семлик,ВЭА,Уганда
Рио Сан-Хуан,КР,Алахуела
Река Юкон,США,Аляска
Вера,Д,Нижняя Саксония
Амазонка,Бр,Амапа
Кольорадо,Мексика,Баха-Калифорния
Ривьер-Ришелье,КДН,Квебек
Река Мюрренбиджи,Австралия,Новый Южный Уэльс
Энны,А,Нижняя Австрия
Арувими,ЗРЕ,Верхний Заир
Колыма,Р,Республика Саха (Якутия)
Нил,ОК,Эль-Бухайра
Мας,НЛ,Южная Голландия
Гуадалкивир,"Добро пожаловать в Cohere! Я — AI-ассистент Coral, и я здесь, чтобы помогать вам. Как я могу помочь сегодня?",Андалусия
Молдавия,CZ,Праз
Темас,Хорошо.,Эссекс
Поехали!,я,Эмилия-Романья
Шари,КЭМ,Северный крайний
Тейсс,Сербия,Сербия
Трюки-Ривер,США,Невада
Иравади,МЯ,Кахин
Амударья,Узбанский,Каракальпогистон
Темас,Хорошо.,Кент
Пацьёки,Да.,Финнмарк
Ашана,Ри,Индонезия
Ищим,Р,Тюменская область
Река Мерримак,США,Массачусетс
Оハイо-Ривер,США,Иллинойс
Аре,Ч,АГ
Лукенья,ЗРЕ,Бандунду
Юппа,Спасибо,Сомали
Лома́ми,ЗРЕ,Верхний Заир
Чёрный Дрин,АЛ,Албания
Рио Магдалена,OK,Атлантико
Днепр,"Извините, но я не понимаю ваш запрос. Можете ли вы пояснить, что именно вы хотите перевести?",Херсонская
Бани,ММР,Мали
Оранж,RSA,Северная область
Гамбия,Ваг,Гамбия
Дубликат,Ф,Бургундия
Кимийоки,SF,УусИМАА
Бому,Аналитика причинно-следственных связей,Центральная Африканская Республика
Карун,IР,Хузестан
Оунасйоки,SF,Лаппиа
Бусира,ЗРЕ,Экватор
Парагвай,РА,Чако
Луаула,З,Луаула
Днестр,"Извините, но я не понимаю ваш запрос. Можете ли вы пояснить, что именно вы хотите перевести?",Одеска
Уругвай,РА,Энтре-Риос
Янгцзы,ТЖ,Джянсу
Рио-Маморе,Боль,Боливия
Нил,ОК,Думят
Лукуга,ЗРЕ,Шаба/Катанга
Белый Нил,SUД,ал-Хартум
Нарв,Р,Псковская область
Иллер,Д,Баден-Вюртемберг
Замбеци,МОЦ,Маника
Иордания,Запад,Западный берег реки Иордан
Рюсс,Ч,АГ
