river,country,province
Лена,Р,Иркутская область
Оранж,ЛС,Лесото
Санага,КЭМ,Коте/Литорал
Нил,ОК,Асуан
Ганг,БД,Бангладеш
Рюсс,Ч,А
Амазонка,ПЭ,Куско
Сучона,Р,Вологодская область
Атбара,ЭТХ,Эфиопия
Дроа,Х,Баранья
Оハイо-Ривер,США,Индіана
Нил,ОК,Эль-Гарбия
Днестр,"Извините, но я не понимаю ваш запрос. Можете ли вы пояснить, что именно вы хотите перевести?",Тернопольская
Дроа,А,Каринтия
Олт,РО,Олт
Амазонка,Бр,Амазонка
Нил,ОК,Бени Суэф
Нил,SUД,ал-Хартум
Нил,ОК,Кена
Темас,Хорошо.,Оксфордшир
Умеаэльв,"Транслитерация: ""С""",Вастерботтен
Днестр,"Извините, но я не понимаю ваш запрос. Можете ли вы пояснить, что именно вы хотите перевести?",Хмельнитский
Рио Магдалена,OK,Толима
Дунай,БГ,Болгария
Пετрощора,Р,Архангельская область
Тичино,Ч,Ти
Ефрат,Ирак,Аль-Мутанна
Чёрный Дрин,МК,Македония
Везер,Д,Северный Рейн-Вестфалия
