country,population_growth,infant_mortality
РП,2.18,35.9
АГ,0.76,17.2
РО,-1.21,23.2
БФ,2.53,117.8
"Извините, но я не понимаю ваш запрос. Можете ли вы пояснить, что именно вы хотите перевести?",-0.4,22.5
БС,1.05,23.3
SGП,1.9,4.7
Кडब,6.65,11.1
SF,0.1,4.9
Да,0.82,5.5
Джо́р,2.65,31.5
"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1.01,6.9
НОРФ,,
МАРТ,1.1,7.1
IР,2.21,52.7
"STP (тренировка ситуационно-программного обучения) - это метод обучения, основанный на моделировании реальных ситуаций и проблем. Он используется для развития навыков принятия решений, критического мышления и решения проблем в контролируемой и безопасной среде.",2.58,61.1
РМ,2.83,93.5
ВУ,2.17,64.6
ГБЗ,0.54,6.9
Вода,2.46,145.82
МНТС,0.39,16.08
Д,0.67,6.0
ОМ,3.53,27.3
ТН,1.81,35.1
TM,1.82,81.6
NOK,1.74,25.9
Р,-0.07,24.7
БХТ,2.32,116.3
МХ,3.85,46.9
EW,-1.13,17.4
ОАЭ,4.33,20.4
Нет,0.8,15.6
ГГ,2.29,80.3
LV,-1.39,21.2
КР,2.06,13.5
А,1.03,33.4
Кайм,2.39,6.94
Тука,2.56,13.89
