island,sea,lake,river
Тайвань,Тихоокеанский океан,,
Парамушир,Тихоокеанский океан,,
Кюсю,Восточное Китайское море,,
Ломбок,Индийский океан,,
Саваи,Тихоокеанский океан,,
Кипр,Средиземное море,,
Харк,Арабское море,,
Ниихау,Тихоокеанский океан,,
Невис,Атлантический океан,,
Тайвань,Восточное Китайское море,,
Сахалин,Оखотское море,,
Борнхольм,Балтийское море,,
Гомера,Атлантический океан,,
Ниуэ,Тихоокеанский океан,,
Блионоро,Индийский океан,,
Линоса,Средиземное море,,
Блионоро,Южная Китайская река,,
Увея,Тихоокеанский океан,,
Зееланд,Балтийское море,,
Провиденсиалыс,Атлантический океан,,
Исландия,Атлантический океан,,
Махе,Индийский океан,,
Гештальт,Арабское море,,
Бонаир,Карибское море,,
Минор,Южная Китайская река,,
