name,depth
Катель,94.0
Средиземное море,5121.0
Индийский океан,6400.0
Балтийское море,459.0
Норвежское море,3860.0
Северное море,200.0
Атлантический океан,9219.0
Моро-Бало,6218.0
Восточное Китайское море,2370.0
Бенгальский залив,4694.0
Берингово море,4096.0
Море Азовское,100.0
Арабское море,5203.0
Баренцовое море,32.0
Индийский океан,7440.0
Персидский залив,102.0
Андаманское море,3113.0
Южная Китайская река,5420.0
Малахский пролив,104.0
Гольфстремен Адена,5143.0
Оखотское море,3372.0
Карибское море,7240.0
Северный Ледовитый океан,5608.0
Оманский залив,3350.0
Чёрное море,2211.0
Ирландское море,272.0
Моря Японии,4036.0
Красный океан,2635.0
Скегеррак,725.0
Гольфстрем,4375.0
Канал,175.0
Бенгальский залив,4045.0
Желтое море,200.0
Сибирское море,540.0
Тихоокеанский океан,11034.0
