country,continent,percentage
НАМ,Африка,100.0
C,Америка,100.0
Кос,Европа,100.0
РН,Африка,100.0
ТТ,Америка,100.0
Бен,Африка,100.0
GBG,Европа,100.0
АЛ,Европа,100.0
МХ,Австралия/Океания,100.0
ФПОЛ,Австралия/Океания,100.0
НЕТ,Америка,100.0
РБК,Африка,100.0
БЕРМ,Америка,100.0
"Транслитерация: ""С""",Европа,100.0
Запад,Азия,100.0
Нет,Америка,100.0
ПК,Азия,100.0
Бр,Америка,100.0
ВИРГ,Америка,100.0
ARУ,Америка,100.0
Фаркс,Европа,100.0
Кук,Австралия/Океания,100.0
РХ,Америка,100.0
Макс,Азия,100.0
Секретная программа исследования и развития,Америка,100.0
РЧ,Америка,100.0
БФ,Африка,100.0
Гвад,Америка,100.0
"Добро пожаловать в мой мир! Я Coral, искусственный интеллект, созданный для того, чтобы помогать людям с их запросами. Я могу переводить тексты с английского на русский язык и наоборот. Как я могу вам помочь сегодня?",Европа,100.0
ОК,Азия,10.0
ЭТХ,Африка,100.0
США,Америка,100.0
Вафу-вафу,Австралия/Океания,100.0
В,Азия,100.0
"Извините, я не понимаю ваш запрос. Можете ли вы повторить ваш запрос по-английски?",Африка,100.0
ОК,Африка,90.0
Вода,Африка,100.0
Ниуэ,Австралия/Океания,100.0
Транслитерация,Азия,95.0
ЧЕЛОВЕК,Америка,100.0
маё,Африка,100.0
КИР,Австралия/Океания,100.0
"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Америка,100.0
МЯ,Азия,100.0
НМИС,Австралия/Океания,100.0
Д,Европа,100.0
Есть,Африка,100.0
БИ,Африка,100.0
СВАН,Европа,100.0
Мексика,Америка,100.0
EW,Европа,100.0
ХЕЛКС,Австралия/Океания,100.0
Ц,Европа,100.0
РГ,Африка,100.0
Дом,Америка,100.0
WD,Америка,100.0
B,Европа,100.0
SF,Европа,100.0
БХТ,Азия,100.0
БИХ,Европа,100.0
ЭР,Африка,100.0
ФЛ,Европа,100.0
АМР,Азия,100.0
НЦА,Австралия/Океания,100.0
"No additional text provided, translation only:

""LT"" переводится с английского как ""lt"".",Европа,100.0
В,Европа,100.0
