country1,country2,length
ГЭ,Р,723.0
Инд,МЯ,1463.0
ЧЕЛОВЕК,В,743.0
Ф,МС,4.4
И,"Добро пожаловать в Cohere! Я — AI-ассистент Coral, и я здесь, чтобы помогать вам. Как я могу помочь сегодня?",65.0
Аналитика причинно-следственных связей,ЗРЕ,1577.0
B,Д,167.0
ТЕД,Узбанский,1161.0
БХТ,ТЖ,470.0
МНЕ,Сербия,124.0
БП,ПЛ,605.0
Неп,ТЖ,1236.0
ЦИ,ЛБ,716.0
КЭМ,Аналитика причинно-следственных связей,797.0
БИХ,Кос,225.0
МОЦ,"Извините, я не понимаю ваш запрос. Можете ли вы повторить ваш запрос по-английски?",105.0
СА,ОАЭ,457.0
Кос,Сербия,352.0
Боль,Пи,750.0
английский,РБК,201.0
МОЦ,RSA,491.0
АМР,IР,35.0
Есть,МВ,475.0
Боль,РА,832.0
английский,З,1110.0
РА,РЧ,5150.0
CZ,Д,646.0
ХСА,НЕТ,922.0
ГР,Транслитерация,206.0
Боль,ПЭ,900.0
"Добро пожаловать в ""Город мечты""! Мы предлагаем вам уникальный и волшебный опыт, который оставит неизгладимые впечатления. Наш тематический парк предлагает захватывающие аттракционы, красочные развлечения и уникальные возможности для фотографий. От подборки вкусных блюд до очаровательных сувениров - ""Город мечты"" обещает незабываемый день для всех возрастов. Так что готовьтесь погрузиться в мир чудес и фантазий!",Гв.,350.0
IР,ПК,909.0
Бен,ВАН,773.0
ИЛ,RL,79.0
МОЦ,МВ,1569.0
ОК,Газа,11.0
МОЦ,З,419.0
CZ,СК,215.0
ОК,SUД,1273.0
Бр,В,2200.0
NOK,Росси́йская Федера́ция,238.0
ОК,ЛАР,1150.0
З,ЗВ,797.0
ВЭА,SUД,435.0
RL,СИР,375.0
МНГ,ТЖ,4673.0
Да.,Р,167.0
БХТ,Инд,605.0
БГ,МК,148.0
Ф,я,488.0
БФ,ММР,1000.0
Лаос,А,1754.0
Бен,РН,266.0
ИЛ,СИР,76.0
ДЗ,РН,956.0
Боль,РЧ,861.0
Аз,Транслитерация,9.0
английский,ЗРЕ,2511.0
Д,Ф,451.0
Д,"Добро пожаловать в мой мир! Я Coral, искусственный интеллект, созданный для того, чтобы помогать людям с их запросами. Я могу переводить тексты с английского на русский язык и наоборот. Как я могу вам помочь сегодня?",138.0
ММР,РН,821.0
Кадровое обеспечение,МНЕ,25.0
АЛ,МК,151.0
ЭТХ,Спасибо,1626.0
Бр,ЧЕЛОВЕК,1119.0
БИХ,Кадровое обеспечение,932.0
Аналитика причинно-следственных связей,Ч,1197.0
МД,"Извините, но я не понимаю ваш запрос. Можете ли вы пояснить, что именно вы хотите перевести?",939.0
МЯ,А,1800.0
OK,В,2050.0
МВ,З,837.0
LV,Р,217.0
Р,ТЖ,3645.0
КДН,США,8893.0
СН,Ваг,740.0
ВЭА,ЗРЕ,765.0
КЭМ,Гв.,189.0
SUД,ЗРЕ,628.0
я,В,3.2
NOK,Р,19.0
БП,LV,141.0
ЛБ,РГ,563.0
БГ,РО,608.0
ТЖ,"Убедитесь, что вы предоставили мне текст для перевода. Я буду рад помочь вам с переводом.",1281.0
