country,independence,dependent,government
А,1918-11-12,,Федеративная Республика
Афганистане,1919-08-19,,Перехідний уряд
АГ,1981-11-01,,парламентская демократия
АЛ,1912-11-28,,врожденная демократия
И,,,"парламентская демократия, в которой главными государственными деятелями являются сопредседатели"
английский,1975-11-11,,Переходное правительство — это многопартийная демократия с сильной президентской системой
АМР,1918-05-28,,Республика
Австралия,1901-01-01,,федеральное парламентское государство
Аз,1991-08-30,,Республика
B,1830-10-04,,конституционная монархия
БД,1971-12-16,,Республика
БДС,1966-11-30,,парламентская демократия
Бен,1960-08-01,,"Республика с многопартийной демократической системой правила, сбросила марксизм-ленинизм в декабре 1989 года"
БФ,1960-08-05,,парламентский
БГ,1908-09-22,,врожденная демократия
БХТ,1949-08-08,,монархия
БИ,1962-07-01,,Республика
БИХ,1992-04-01,,врожденная демократия
Боль,1825-08-06,,Республика
Бр,1822-09-07,,Федеративная Республика
БНР,1971-08-15,,Традиционная монархия
БРУ,1984-01-01,,конституционная султаната
БС,1973-07-10,,коммонвелт
БП,1991-08-25,,Республика
"Извините, но я не понимаю, что вы имеете в виду под ""BZ"". Если у вас есть конкретный запрос на перевод, я с удовольствием помогу вам.",1981-09-21,,парламентская демократия
C,1902-05-20,,Коммунистическое государство
КЭМ,1960-01-01,,единая республика
КДН,1867-07-01,,Конфедерация с парламентской демократией
Ч,,,Федеративная Республика
ЦИ,1960-08-07,,Республика
КЛ,1948-02-04,,Республика
OK,1810-07-20,,Республика
COМ,1975-07-06,,независимая республика
КР,1821-09-15,,Демократическая Республика
Resume,1975-07-05,,Республика
Ц,1960-08-16,,Республика
CZ,1993-01-01,,парламентская демократия
Д,1871-01-18,,Федеративная Республика
ДЖИ,1977-06-27,,Республика
ДК,,,конституционная монархия
Дом,1844-02-27,,Республика
