qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
20,18,11,8,18,20,1:28.208,,
60,20,6,3,8,16,1:33.386,1:32.943,
73,21,17,9,10,7,1:21.494,1:20.984,1:22.429
78,21,6,3,8,12,1:21.690,1:21.117,
129,24,1,1,22,1,1:16.909,1:17.034,1:17.886
222,28,7,5,14,14,1:20.640,1:20.963,
228,28,16,10,20,20,1:22.113,,
262,30,14,9,9,14,1:47.132,1:47.018,
268,30,21,10,21,20,1:48.447,,
273,31,3,3,7,5,1:35.485,1:35.898,1:38.767
290,32,1,1,22,2,1:44.501,1:44.932,1:45.465
292,32,9,2,4,4,1:44.740,1:44.519,1:45.779
300,32,18,11,16,12,1:45.660,1:45.133,
306,32,22,11,17,18,1:46.583,,
312,33,4,4,5,4,1:18.290,1:17.871,1:18.852
317,33,20,5,15,9,1:18.559,1:17.714,1:19.638
327,33,16,10,20,19,1:19.163,,
335,34,2,2,3,7,1:36.224,1:35.403,1:37.201
365,35,18,11,16,17,1:12.810,,
460,40,21,4,3,4,1:17.596,1:16.054,1:16.285
463,40,2,2,9,7,1:17.385,1:15.733,1:16.832
473,40,19,8,23,17,1:18.250,,
484,41,17,9,15,6,1:17.315,1:16.257,1:16.913
537,43,26,5,19,15,1:15.980,1:16.049,
560,44,24,5,18,16,1:21.160,1:20.823,
587,45,16,12,20,21,1:34.500,,
609,46,16,12,20,21,1:22.737,,
680,50,13,6,5,4,1:25.359,1:25.049,1:25.765
688,50,14,9,14,12,1:26.904,1:26.247,
699,51,1,1,2,1,1:35.798,1:35.898,1:35.908
707,51,9,2,10,9,1:36.309,1:36.116,1:38.472
778,54,35,2,17,14,1:35.391,1:34.752,
800,55,32,9,15,14,1:28.757,1:27.591,
808,55,34,8,23,22,1:36.164,,
814,56,23,7,7,6,1:24.370,1:23.565,1:23.772
815,56,31,1,4,7,1:24.960,1:23.760,1:24.021
853,58,4,4,1,1,1:15.816,1:15.124,1:14.648
866,58,35,2,17,14,1:16.066,1:15.847,
879,59,22,11,11,5,1:14.766,1:14.312,1:15.804
949,62,8,1,3,9,1:12.777,1:12.135,1:13.174
964,63,13,6,6,2,1:16.277,1:15.679,1:15.510
983,63,36,8,23,21,1:18.637,,
999,64,3,3,10,15,1:16.183,1:15.380,
1019,65,14,9,14,13,1:21.163,1:20.890,
1042,66,22,11,11,14,1:28.411,1:28.257,
1048,66,33,13,18,20,1:29.901,,
1051,67,8,1,3,1,1:21.994,1:21.349,1:21.484
1062,67,3,3,10,12,1:22.581,1:22.203,
1134,70,27,14,19,18,1:13.138,,
1136,70,11,8,22,20,1:13.269,,
1140,77,8,1,9,2,1:30.197,,
1142,77,15,7,16,4,1:30.700,,
1144,77,4,4,5,6,1:31.056,,
1150,77,14,9,14,12,1:32.553,,
1157,77,39,17,19,19,1:36.192,,
1167,78,15,7,16,9,1:16.201,,
1173,78,27,18,21,15,1:18.214,,
1187,79,17,3,7,9,1:11.527,,
1196,79,27,18,21,18,1:13.632,,
1213,80,14,9,14,15,1:16.434,,
1219,81,4,4,5,1,1:19.905,,
1229,81,35,15,11,11,1:21.352,,
1233,81,32,9,15,15,1:22.207,,
1234,81,13,15,12,16,1:22.495,,
1250,82,23,7,17,12,1:15.689,,
1251,82,13,15,12,13,1:16.009,,
1261,83,15,7,16,3,1:20.839,,
1264,83,4,4,5,6,1:21.141,,
1266,83,18,16,3,8,1:21.302,,
1269,83,32,9,15,11,1:21.937,,
1312,85,17,3,7,14,1:22.560,,
1338,86,39,17,19,20,1:51.675,,
1342,87,18,16,3,4,1:12.696,,
1345,87,30,6,1,7,1:12.976,,
1347,87,13,15,12,9,1:13.151,,
1349,87,23,7,17,11,1:13.285,,
1399,104,22,6,2,1,1:20.089,,
1406,104,42,3,4,8,1:20.888,,
1421,109,30,6,1,3,1:37.393,,
1422,109,14,1,5,4,1:37.454,,
1427,109,18,16,17,9,1:38.073,,
1451,125,35,16,11,13,1:38.039,,
1470,140,18,4,15,10,1:33.429,,
1499,156,59,21,15,19,1:14.129,,
1509,158,56,19,7,7,1:31.514,,
1517,158,2,20,15,15,1:33.024,,
1539,160,55,20,14,15,1:26.824,,
1540,160,50,21,19,16,1:26.845,,
1556,161,35,16,22,10,1:27.025,,
1568,161,60,18,21,22,1:29.174,,
1641,177,71,17,7,8,1:27.708,,
1664,191,23,17,10,9,1:32.392,,
1666,191,25,22,6,11,1:32.726,,
1687,192,35,3,1,10,1:18.761,,
1707,193,25,22,6,8,1:27.198,,
1775,201,49,3,2,10,1:43.467,,
1853,209,35,3,3,1,1:24.473,,
1855,209,44,20,14,3,1:25.491,,
1863,209,55,22,7,11,1:27.076,,
