driverstandingsid,raceid,driverid,points,position,positiontext,wins
16,19,8,11.0,2,2,1
54,21,7,2.0,13,13,0
77,22,9,24.0,4,4,0
297,32,9,64.0,3,3,1
356,35,2,60.0,6,6,0
1227,72,30,2.0,11,11,0
1462,83,39,5.0,17,17,0
3286,168,49,5.0,11,11,0
3296,168,64,0.0,16,16,0
3348,171,23,24.0,5,5,0
3456,34,13,87.0,2,2,5
3826,74,24,1.0,17,17,0
4335,194,35,5.0,7,7,0
4343,194,76,0.0,17,17,0
4367,195,68,0.0,19,19,0
4400,197,65,1.0,12,12,0
4621,206,63,3.0,13,13,0
5198,231,85,0.0,22,22,0
5369,239,55,47.0,4,4,0
6919,293,55,7.0,6,6,0
7177,302,129,0.0,22,22,0
9353,273,87,4.0,3,3,0
9502,280,105,0.0,25,25,0
9554,282,105,0.0,25,25,0
9574,283,71,38.0,3,3,1
9599,284,77,10.0,9,9,0
9613,284,84,11.0,6,6,0
9647,285,94,0.0,22,22,0
10224,242,63,0.0,11,11,0
10341,246,91,0.0,27,27,0
10677,208,49,0.0,11,11,0
10724,210,63,0.0,15,15,0
10787,213,55,13.0,6,6,0
10860,216,65,7.0,12,12,0
10962,220,35,67.0,2,2,6
11092,177,69,0.0,16,16,0
11142,180,30,30.0,2,2,2
11213,183,71,5.0,9,9,0
11319,188,30,32.0,6,6,2
11339,189,22,21.0,7,7,0
11345,189,25,3.0,13,13,0
11440,144,54,0.0,15,15,0
11473,145,35,4.0,9,9,0
11638,152,37,1.0,18,18,0
11656,153,18,2.0,16,16,0
11723,156,56,6.0,12,12,0
11811,127,17,2.0,10,10,0
11988,135,66,0.0,18,18,0
12006,136,23,40.0,3,3,1
12201,113,22,26.0,3,3,0
12203,113,52,1.0,16,16,0
12213,114,30,44.0,2,2,3
12375,122,14,45.0,7,7,1
12384,122,18,12.0,12,12,0
12482,93,32,0.0,16,16,0
12519,95,14,4.0,10,10,0
12563,97,43,3.0,13,13,0
12594,99,30,90.0,1,1,9
12597,99,23,12.0,8,8,0
12685,103,22,88.0,2,2,0
12711,104,23,12.0,11,11,0
12722,104,13,10.0,12,12,0
12841,54,33,0.0,19,19,0
12947,59,23,8.0,9,9,0
12975,60,21,32.0,4,4,1
12996,61,33,0.0,20,20,0
13019,62,33,0.0,20,20,0
13072,64,36,0.0,24,24,0
13078,65,31,26.0,7,7,0
13105,66,32,2.0,17,17,0
13134,67,2,20.0,9,9,0
13161,68,23,18.0,11,11,0
13166,68,21,63.0,3,3,1
13816,45,22,0.0,18,18,0
13862,47,22,0.0,18,18,0
15872,321,117,0.0,22,22,0
15896,322,146,0.0,17,17,0
15910,322,151,0.0,24,24,0
15958,323,101,0.0,34,34,0
15976,324,95,3.0,9,9,0
16006,325,103,1.0,13,13,0
16075,326,101,0.0,31,31,0
16154,328,152,0.0,38,38,0
16155,329,102,48.0,1,1,4
16178,329,118,1.0,14,14,0
16267,331,112,0.0,21,21,0
16312,333,55,13.0,9,9,0
16331,333,110,0.0,25,25,0
16389,335,102,78.0,1,1,6
16391,335,123,32.0,5,5,1
16405,335,95,31.0,6,6,1
17069,305,92,0.0,10,10,0
17242,310,94,3.0,12,12,0
17285,311,105,0.0,33,33,0
17342,313,102,51.0,1,1,4
17423,315,99,0.0,28,28,0
17448,315,129,0.0,31,31,0
17461,316,99,0.0,29,29,0
17610,320,102,96.0,1,1,7
17659,2,16,0.0,12,12,0
17889,7,5,4.0,13,13,0
17976,10,3,25.5,5,5,0
18012,11,153,0.0,21,21,0
18041,13,10,16.0,12,12,0
18057,13,1,27.0,7,7,1
18176,356,84,0.0,18,18,0
18291,359,84,1.0,15,15,0
18301,359,148,0.0,34,34,0
18345,360,162,0.0,32,32,0
18361,361,105,6.0,7,7,0
18396,362,145,8.0,6,6,0
18570,366,138,0.0,26,26,0
18612,367,145,14.0,6,6,0
18732,369,88,0.0,43,43,0
19039,373,102,9.0,2,2,1
19085,375,166,0.0,16,16,0
19161,377,146,0.0,32,32,0
19491,387,146,0.0,31,31,0
19540,389,84,2.0,9,9,0
19563,390,110,4.0,7,7,0
19640,393,169,0.0,22,22,0
19668,394,158,4.0,10,10,0
19821,399,78,0.0,29,29,0
19954,404,123,0.0,11,11,0
19968,404,95,0.0,25,25,0
20207,412,160,0.0,25,25,0
20212,412,118,0.0,17,17,0
20242,413,158,0.0,29,29,0
20263,414,176,0.0,21,21,0
20338,417,102,51.0,4,4,2
20383,418,140,19.0,6,6,0
20384,418,175,2.0,14,14,0
20403,419,172,14.0,8,8,0
20420,419,145,0.0,29,29,0
20457,420,137,0.0,25,25,0
20521,423,118,2.0,11,11,0
20650,425,184,0.0,28,28,0
20704,426,119,0.0,22,22,0
20765,428,95,6.0,11,11,0
20785,429,181,0.0,27,27,0
20801,429,176,2.0,17,17,0
20807,430,163,3.0,16,16,0
20907,433,172,10.0,12,12,0
21068,438,156,0.0,15,15,0
21085,438,84,0.0,19,19,0
21243,443,182,24.0,2,2,2
21281,444,112,0.0,25,25,0
21403,448,170,9.0,12,12,0
21513,450,102,9.0,11,11,0
21519,450,179,0.0,28,28,0
21609,453,110,0.0,21,21,0
21634,454,119,0.0,18,18,0
21836,461,176,4.0,14,14,0
