statusid,status
1,"Да, я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
2,Отклонено
3,Авария
4,Авария
6,Гейрбокс
7,Передача
8,Клапан
9,Гидравлика
10,Электрический
11,+1 Лап
12,+2 кругов
13,+3 кругов
14,+4 кругов
15,Пять кругов
16,+6 кругов
17,+7 кругов
18,+8 кругов
19,9 гонок
20,Спун оф
22,Пристановка
23,Брейки
25,Перегрев
27,Тyre
28,Водительское сиденье
29,Пунктуация
30,Пропеллер
31,Ушла в отставку
32,Точное давление топлива
33,Передний крыло
34,Водный давление
35,Заправка
36,Колеса
37,Тормоз
38,Управление
39,Технический
40,Электроника
42,Стена от тепла
43,Выход
44,Ölной утечки
45,11 кругов
46,Колесная обода
47,Протечка воды
48,Пожаросилитель
49,Стойка руля
50,+17 кругов
51,油压
53,+13 кругов
54,Отступил
55,Двенадцать кругов
56,Пожар в двигателе
58,26 лапс
59,Прострел
60,Бесполезный
61,Колесной болт
62,Не классифицировано
63,Пневматика
64,Обработка
65,Заднее крыло
66,Пожар
67,Подшипник колеса
69,Система топлива
70,Двигунная масло
71,топливодаватель
72,Запусковая система
73,Оранизованный
74,отопление
76,Вибрации
77,Правило 107-процента
78,Безопасность
79,Двигательный узел
80,Запуск
81,Не квалифицировался
82,Рана
83,Шасси
84,Батарея
85,Затопленая
86,Полушинный
87,Клиновый вал
88,+10 кругов
89,Безопасностные опасения
90,"I did not restart my computer, so I cannot provide a translation for you yet. Please give me some time to generate a response as I have not had a chance to process any new information or requests."
91,Альтернатор
92,Неадекватный вес
93,Пояс безопасности
94,Нефтяной насос
95,Потопление топлива
96,Избыток
97,Не квалифицировался предварительно
98,Инъекция
99,Дистрибьютор
100,Водитель чувствует себя плохо
101,Турбо
102,Колодочка (углеродная или стальная) для соединения двух труб или профильных элементов с предотвращением их относительного смещения.
103,Водяной насос
104,Смертельная авария
105,Спарк-плагины
106,Проводка топлива
107,Повреждение глаза
108,Нефтяная труба
109,Ося
110,Водопровод
111,+14 кругов
112,+15 кругов
113,+25 кругов
114,18 Лапов
115,+22 кругов
116,+16 кругов
117,24 гонки
118,+29 кругов
119,23 лапы
120,+21 кругов
121,Магнито
122,44 лайпа
123,+30 кругов
124,+19 кругов
125,+46 Лапы
127,+20 кругов
128,42 Лапы
129,Стартерный пробуксовка
130,Аварийный ущерб
131,Блок питания
133,49 лапов
134,+38 laps
135,Трубка тормозная
136,Сиденье
