driverid,driverref,number,code,forename,surname,dob,nationality,url
3,Роскруг,6.0,Roos,Никко,Розберг,1985-06-27,Я не говорю по-немецки. Я могу перевести с английского на русский.,Нико Росберг
5,Ковалайнен,,КОВ,Хеики,Коваленин,1981-10-19,Finnisch,Хеики Ковалайнен
6,Накадзима,,Н/Д,Казуки,Накаджима,1985-01-11,日本語,Казуки Nakajima
12,Пике-младший,,ПИК,Нельсон,Пике-младший,1985-07-25,Бразилиа,Нельсон Пике-младший
13,масса,19.0,МАС,Фелипе,Маса,1981-04-25,Бразилиа,Фелипе Масса
17,Веббер,,ВЕБ,Марку,Веббер,1976-08-27,Австралийский,Марк Веббер
20,Веттель,5.0,ВЕТ,Себастьян,Веттель,1987-07-03,Я не говорю по-немецки. Я могу перевести с английского на русский.,Себастьян Феттель
22,Баррикелло,,Бар,Рубенс,Баррикелло,1972-05-23,Бразилиа,Рубенс Баррикелло
26,скорость,,СПЭ,Скотт,Скорость,1983-01-24,Американский,Скотт Спид
27,Альберс,,Албания,Кирилл,Альберс,1979-04-16,Немецкий,Християн Альберс
28,Маркус_Винкельхокк,,ВИН,Маркус,Винкельхокк,1980-06-13,Я не говорю по-немецки. Я могу перевести с английского на русский.,Маркус Винкельхок
31,Монтоя,,Понедельник,Иоанн,Пабло Монтанья,1975-09-20,Колумбийский,Хуан Пабло Монтоя
32,клиент,,КЛИ,Христиан,Клиент,1983-02-07,Австрийский,Христіан Клинген
37,роза,,ДЛР,Педро,Делароса,1971-02-24,¡Hola! Estoy lista para traducir del inglés al español. ¿En qué puedo ayudarte?,Педро де ла Роза
49,Френтцен,,,Гейнц-Харальд,Френтцен,1967-05-18,Я не говорю по-немецки. Я могу перевести с английского на русский.,Хайнц-Харальд Френтцен
52,Фирман,,,Ральф,Фирман,1975-05-20,Ирландский,Ральф Фирман
56,Ирвин,,,Эди,Ирвин,1965-11-10,Британский,Эди Ирвин
57,Хаккинен,,,Мика,Хаккине́н,1968-09-28,Finnisch,Микхаэль Шумахер
58,марки,,,Тарсо,Марки,1976-01-19,Бразилиа,Тарсо Маркетт
59,Бернолди,,,Энцере,Бернорди,1978-10-19,Бразилиа,Энрике Бернолди
61,энджей,,,Томаш,Английский,1976-09-11,Чешский,Томаш Энге
62,يونг,,,Алекс,Юонг,1976-07-20,Малайзийский,Алекс Йонг
64,Диниз,,,Педро,Диниз,1970-05-22,Бразилиа,Педро Диниз
68,Такаги,,,Тораносуке,Тагики,1974-02-12,日本語,Тораносуке Такаги
71,Дэмона Хилла,,,Дэмон,Гилль,1960-09-17,Британский,Деймон Хилл
72,Сарацин,,,Стефан,Сарашин,1975-11-02,Translation: Французский,Стефан Sarrazин
73,Rosett,,,Рикардо,Россет,1968-07-27,Бразилиа,Рикардо Россет
74,туёро,,,Эстебан,Туеро,1978-04-22,Аргентина,Эстебан Туэро
75,Накано,,,Шинджи,Накано,1971-04-01,日本語,Шинджи Накано
76,Магнуссен,,МГ,Ян,Магнуссен,1973-07-04,Да,Ян Магнуссен
77,бергер,,,Герольд,Бергер,1959-08-27,Австрийский,Gerard Berger
80,sospири,,,Винченцо,Соспири,1966-10-07,Итальянский,Винченцо Соспири
87,Блендалл,,,Марку,Блунделл,1966-04-08,Британский,"Марк Блундл

Марк Джером Блундл (родился 26 ноября 1966 года) — бывший британский гонщик «Формулы-1», выступавший в чемпионате мира за команды Tyrrell, Brabham, McLaren, Ferrari и Stewart Grand Prix.

Блундл начал свою карьеру в автоспорте с картинга, а затем перешёл в британскую Формулу-3, где в 1987 году стал чемпионом. В том же году он дебютировал в Формуле-1 в составе команды Tyrrell. В 1988 году он перешел в Brabham, а затем, в 1989—1990 годах, выступал за McLaren. В 1991 году он присоединился к Ferrari, где провел четыре успешных сезона. Блундл добился нескольких подиумов и двух поул-позиций, но победу в Гран-при одержать не удалось. В 1995 году он перешел в команду Stewart Grand Prix, где провел один сезон, после чего завершил карьеру гонщика «Формулы-1».

Блундл известен своим агрессивным стилем вождения и способностью добиваться хороших результатов на медленных кругах. Он также был успешным гонщиком на длительных дистанциях, выиграв несколько гонок耐久, включая 24 часа Ле-Мана в 1993 году."
88,Сузуки,,,Агури,Сузуки,1960-09-08,日本語,Агури Сузуки
92,гашот,,,Берта́н,Гачот,1962-12-23,Бельгийский,Берна́р Гажо́т
93,тень,,,Доменико,Шиаттелла,1967-11-17,Итальянский,Доменико Шиаттелла
94,мартини,,,Пьерлуиджи,Мартини,1961-04-23,Итальянский,Пьерлуиджи Мартини
99,Таркини,,,Габриеле,Таркини,1962-03-02,Итальянский,Габреле Таркини
100,запятые,,,Эрик,запятые,1963-09-28,Translation: Французский,Эрик Комас
101,Брабэм,,,Дэвид,Брамх,1965-09-05,Австралийский,Давид Брамхем
102,Сенна,,,Айртон,Сенна,1960-03-21,Бразилиа,Айртон Сенна
110,Цезарь,,,Андреа,Десцарис,1959-05-31,Итальянский,Андреа де Сесарис
114,Далма́с,,,Янник,Дамаск,1961-07-28,Translation: Французский,Яник Дальмас
117,прост,,,Ален,Просто,1955-02-24,Translation: Французский,Ален Прост
120,Барбазза,,,Фабрицио,Барбаза,1963-04-02,Итальянский,Фабрицио Барбесса
121,Андетти,,,Майкл,Андрети,1962-10-05,Американский,Майкл Андретти
123,Бутсен,,,Тьерри,Бутсен,1957-07-13,Бельгийский,Тьерри Бутсен
126,Тошио Сузуки,,,Тошио,Сузуки,1955-03-10,日本語,Тошио Сузуки
129,Грюйяр,,,Оливье,Груиар,1958-09-02,Translation: Французский,Оливер Груйяр
134,Бертагья,,,Энрико,Бертагья,1964-09-19,Итальянский,Энрико Бертагgia
135,Маккарти,,,Перри,Маккарти,1961-03-03,Британский,Перри Маккартни
138,Сатору Надзима,,,Сатору,Накаджима,1953-02-23,日本語,Сатору Накаджима
144,Хаттори,,,Наоки,Хаттори,1966-06-13,日本語,"Наоки Хаттори — вымышленный персонаж из аниме и манги «Покемон». Он является тренером Покемонов и появлялся в первых четырёх фильмах франшизы, начиная с «Покемон: Мьюто против Леки». Хаттори известен своим дружелюбным и весёлым характером, а также своей страстью к тренировке Покемонов."
145,нанини,,,Александр,Наннини,1959-07-07,Итальянский,Але́ссандро Нанніни
146,Шнеидер,,,Бернд,Шнеер,1964-07-20,Я не говорю по-немецки. Я могу перевести с английского на русский.,Бернд Шнайдер
148,фототехника,,,Грег,Фоитек,1965-03-27,Швейцария,Грегор Фойте́к
151,Доннелли,,,Мартин,Доннелли,1964-03-26,Британский,Мартин Доннелли
153,Алгерсуари,,АЛГ,Джейми,Алгерсуари,1990-03-23,¡Hola! Estoy lista para traducir del inglés al español. ¿En qué puedo ayudarte?,Джейми Алгуерсуари
156,Палмер,,,Иона́нан,Палмер,1956-11-07,Британский,Джонатан Палмер
159,сала,,,Луис,Перез-Сала,1959-05-15,¡Hola! Estoy lista para traducir del inglés al español. ¿En qué puedo ayudarte?,Луис Перес-Салас
160,Гинзани,,,Пьеро-Карло,Гинзани,1952-01-16,Итальянский,Пьеркарело Джинзани
161,Вейдлер,,,Волькер,Вайдлер,1962-03-18,Я не говорю по-немецки. Я могу перевести с английского на русский.,Волькер Вейдлер
165,Лараури,,,Оскар,Лараури,1954-08-19,Аргентина,Оскар Хараури
167,кампосы,,,Адриан,Кампос,1960-06-17,¡Hola! Estoy lista para traducir del inglés al español. ¿En qué puedo ayudarte?,Адриян Кампос
168,Шле́ссер,,,Жан-Луи,Шлесер,1948-09-12,Translation: Французский,Жан-Луи Шлессер
170,фаби,,,Тео,Фаби,1955-03-09,Итальянский,Тео Фаби
171,Форин,,,Франко,Форин-Инн,1958-09-22,Швейцария,"Франко Форини (Italian: Franco Forini; 1937 – 5 January 2016) was an Italian businessman and politician. He served as a member of the Chamber of Deputies from 1994 to 1996, representing Florence."
176,Сурь,,,Марк,Сурр,1951-09-18,Швейцария,Марк Сюрер
177,Кеке Росберг,,,Кеке,Розберг,1948-12-06,Finnisch,Кеке Росберг — Википедия
181,مانфред Винкельхок,,,Манфред,Винкельхокк,1951-10-06,Я не говорю по-немецки. Я могу перевести с английского на русский.,Мэнфрид Винькехок
185,Колокол,,,Stefan,Беллоф,1957-11-20,Я не говорю по-немецки. Я могу перевести с английского на русский.,Стефан Беллоф
186,ачешон,,,Кени,Ачесон,1957-11-27,Британский,Кени Ачесон
187,Уатсон,,,Джон,Ватсон,1946-05-04,Британский,"Джон Уотсон (родился 21 ноября 1953 года) — бывший гонщик Формулы-1 и победитель гонки «24 часа Ле-Мана» 1988 года. В Формуле-1 он участвовал в 167 гонках, в которых набрал 20 очков."
188,Цецотто,,,Джонни,Цекото,1956-01-25,Венесуэла,Джонни Цекото
190,Кораддо Фаби,,,Кораддо,Фаби,1961-04-12,Итальянский,Коррадо Фаби
191,Тэквелл,,,Майк,Тхэквелл,1961-03-30,Новий Зеландец,Майк Тэквелл
192,Сера,,,Чико,Серра,1957-02-03,Бразилиа,Чико Серра
194,Саласар,,,Элисео,Салазар,1954-11-14,Чилиан,Элисео Сальяр
199,Рютеманн,,,Карлос,Рютеман,1942-04-12,Аргентина,Карлос Reutemann
201,бродяга,,,Слим,Боргудд,1946-11-25,Шведский,Слим Боргудд
203,Гийом Вильнёв,,,Гийом,Вилневиль,1950-01-18,Канадский,"Гийом Вильневен (фр. Gilles Villeneuve; 15 июля 1930, Шербур, Франция — 8 мая 1982, Вентур, Калифорния, США) — канадский автогонщик, один из самых известных пилотов Формулы-1 в истории."
204,палетка,,,Риккардо,Пале́тто,1958-06-15,Итальянский,Риккардо Палетти
205,Хентон,,,Брайан,Хентон,1946-09-19,Британский,Брайан Хентон
208,виллота,,,Эмилио,де Виллота,1946-07-26,¡Hola! Estoy lista para traducir del inglés al español. ¿En qué puedo ayudarte?,Эмилио де Вильота
209,lees,,,Гэфф,Ли́с,1951-05-01,Британский,Гэфф Ли
216,стохр,,,Зигфрид,Стохр,1952-10-10,Итальянский,Сигфрид Штор
220,Франция,,,Георгий,Франция,1947-11-08,Итальянский,Джоржо Франсис
221,депа́ллер,,,Патрик,Депайе́р,1944-08-09,Translation: Французский,Патрик Депайе
223,Регаззони,,,Глина,Реганази,1939-09-05,Швейцария,Клей Реганцони
224,Эмерсон Фитцпатрик,,,Эмерсон,Фитцджеральд,1946-12-12,Бразилиа,Эмерсон Фитцджеральд
