constructorresultsid,raceid,constructorid,points,status
34,21,6,18.0,
51,22,7,0.0,
64,23,10,0.0,
67,24,7,8.0,
120,29,3,1.0,
154,32,10,0.0,
275,44,2,8.0,
302,46,8,0.0,
306,47,6,18.0,
311,47,9,0.0,
375,53,11,5.0,
377,53,9,1.0,
468,61,3,0.0,
494,64,1,6.0,
549,69,6,8.0,
560,70,4,11.0,
582,72,3,6.0,
620,76,3,14.0,
631,77,9,5.0,
663,80,15,1.0,
672,81,7,1.0,
681,82,6,4.0,
721,86,3,5.0,
773,91,15,1.0,
777,91,18,0.0,
805,94,7,0.0,
867,100,18,0.0,
932,107,16,3.0,
933,107,15,1.0,
999,114,1,10.0,
1007,114,19,0.0,
1008,115,6,14.0,
1035,117,18,0.0,
1051,119,7,7.0,
1177,131,17,2.0,
1230,136,6,16.0,
1284,141,16,0.0,
1289,141,22,0.0,
1359,148,1,4.0,
1360,148,15,3.0,
1370,149,1,5.0,
1461,157,15,0.0,
1501,161,6,4.0,
1503,161,17,1.0,
1523,163,1,10.0,
1574,167,20,0.0,
1606,170,22,0.0,
1619,171,19,0.0,
1657,175,22,3.0,
1672,176,18,0.0,
1809,189,1,4.0,
1810,189,24,5.0,
1860,193,25,0.0,
1959,202,24,0.0,
2006,207,1,14.0,
2049,210,21,0.0,
2054,211,25,2.0,
2072,212,21,0.0,
2080,213,21,0.0,
2088,214,1,0.0,
2118,217,21,6.0,
2177,222,17,0.0,
2214,225,15,0.0,
2221,226,1,0.0,
2230,227,17,3.0,
2247,228,29,0.0,
2259,229,18,0.0,
2265,230,27,1.0,
2267,230,17,0.0,
2313,234,18,0.0,
2336,237,1,4.0,
2379,241,22,7.0,
2399,242,28,0.0,
2501,251,22,10.0,
2522,252,29,0.0,
2552,255,27,2.0,
2604,259,15,3.0,
2638,261,1,0.0,
2676,264,15,0.0,
2680,264,32,0.0,
2698,265,30,0.0,
2761,270,25,0.0,
2766,270,31,0.0,
2778,271,27,0.0,
2792,272,33,0.0,
2796,272,30,0.0,
2820,274,25,0.0,
2825,275,32,3.0,
2851,277,22,7.0,
2915,282,22,8.0,
2963,285,27,0.0,
2983,287,15,0.0,
2996,288,22,0.0,
3095,294,37,0.0,
3135,297,25,0.0,
3145,298,1,6.0,
3183,300,36,0.0,
3235,304,17,1.0,
3244,305,1,10.0,
3275,306,39,0.0,
3304,308,17,0.0,
3384,312,39,0.0,
3418,314,35,0.0,
3456,316,26,0.0,
3534,321,18,0.0,
3559,322,39,0.0,
3566,322,47,0.0,
3571,323,25,1.0,
3600,324,45,0.0,
3618,325,27,0.0,
3635,326,21,0.0,
3686,329,32,0.0,
3691,329,33,0.0,
3730,331,34,0.0,
3916,10,3,5.0,
4102,361,49,0.0,
4143,364,1,15.0,
4153,364,37,0.0,
4175,365,33,0.0,
4191,366,35,0.0,
4238,368,48,0.0,
4279,370,42,0.0,
4288,371,34,0.0,
4393,377,1,15.0,
4447,380,1,15.0,
4495,382,42,0.0,
4568,386,45,0.0,
4607,389,1,3.0,
4643,391,39,0.0,
4665,393,1,4.0,
4668,393,25,1.0,
4711,396,1,4.0,
4717,396,18,0.0,
4723,396,6,0.0,
4727,397,1,1.0,
4738,397,45,0.0,
4747,398,37,0.0,
4752,398,34,0.0,
4784,400,45,0.0,
4811,402,18,0.0,
4876,407,26,0.0,
4884,408,27,2.0,
4886,408,22,0.0,
4921,411,1,9.0,
4990,416,21,0.0,
5006,417,49,0.0,
5073,422,6,1.0,
5097,424,6,15.0,
5098,424,1,4.0,
5169,428,49,0.0,
5212,431,50,0.0,
5268,435,51,0.0,
5312,438,54,0.0,
5328,439,45,0.0,
5332,440,4,6.0,
5391,444,3,12.0,
5486,450,21,0.0,
5494,451,1,15.0,
5508,452,34,9.0,
5566,455,55,0.0,
5573,456,51,1.0,
5575,456,53,0.0,
5617,459,25,0.0,
5630,460,32,3.0,
5683,463,27,0.0,
5780,469,21,0.0,
5798,471,32,3.0,
5821,472,54,0.0,
5850,474,3,0.0,
5933,479,21,1.0,
5935,479,4,0.0,
6024,484,4,0.0,
6055,486,25,0.0,
6071,487,56,0.0,
6075,487,54,0.0,
6148,492,27,4.0,
6152,492,45,0.0,
6265,499,27,3.0,
6302,501,3,0.0,
6325,503,21,3.0,
6364,505,45,0.0,
6412,509,27,1.0,
6439,511,4,0.0,
6494,514,60,0.0,
8305,17,9,18.0,
9628,769,32,3.0,
9645,772,118,8.0,
9910,758,117,0.0,
9916,759,32,0.0,
10008,747,66,2.0,
10013,748,107,8.0,
10036,751,32,2.0,
10051,753,170,8.0,
10224,742,172,0.0,
10546,721,176,0.0,
10609,726,170,0.0,
10739,711,172,9.0,
10777,715,176,0.0,
10906,699,186,0.0,
10934,702,11,0.0,
10951,704,170,0.0,
10957,705,181,0.0,
11241,688,191,4.0,
11266,667,183,0.0,
11333,674,6,3.0,
11368,677,1,0.0,
11522,656,187,4.0,
11565,663,187,3.0,
11736,645,66,1.0,
11744,646,6,3.0,
11846,632,34,0.0,
11930,641,200,6.0,
12191,607,80,0.0,
12232,611,66,0.0,
12272,613,37,3.0,
12277,613,80,0.0,
12281,613,63,0.0,
12291,614,81,0.0,
12351,590,37,0.0,
12383,593,58,0.0,
12388,593,77,0.0,
12391,593,32,0.0,
12401,594,58,0.0,
12404,594,32,0.0,
12422,595,78,0.0,
12447,597,63,0.0,
12474,599,77,0.0,
12549,604,6,0.0,
12554,604,63,0.0,
12775,582,73,3.0,
12811,584,32,0.0,
12887,589,25,1.0,
12902,560,59,0.0,
12905,560,56,0.0,
12954,563,182,0.0,
13004,567,1,9.0,
13012,567,27,0.0,
13050,570,27,6.0,
13094,573,25,6.0,
13225,549,37,0.0,
13226,549,67,0.0,
13241,550,58,0.0,
13243,550,68,0.0,
13340,556,4,0.0,
13363,558,25,6.0,
13375,558,27,0.0,
13386,559,37,0.0,
13598,539,34,4.0,
13606,539,60,0.0,
13648,542,59,6.0,
13753,517,60,0.0,
13775,519,27,0.0,
13868,525,182,0.0,
13933,339,164,0.0,
13940,340,9,12.0,
14045,349,9,18.0,
14051,349,5,0.0,
14063,350,10,0.0,
14117,355,1,33.0,
14240,850,131,10.0,
14283,853,15,0.0,
14296,855,1,35.0,
14444,867,1,4.0,
14457,868,15,0.0,
14469,869,10,2.0,
14476,870,208,33.0,
14526,874,15,15.0,
14592,879,207,0.0,
14594,879,164,0.0,
14633,883,1,9.0,
14664,886,131,25.0,
14684,888,9,31.0,
14694,888,206,0.0,
14756,895,10,0.0,
14798,899,15,4.0,
14837,902,206,0.0,
14848,903,208,0.0,
14891,907,9,4.0,
14902,908,10,4.0,
14905,908,15,0.0,
14989,916,3,22.0,
15015,926,131,43.0,
15025,927,131,33.0,
15034,928,131,43.0,
15040,928,10,0.0,
15066,931,9,22.0,
15094,934,131,43.0,
15194,944,1,0.0,
15262,952,131,0.0,
15267,953,1,12.0,
15268,953,5,4.0,
15270,953,210,0.0,
15297,956,9,28.0,
15459,971,6,37.0,
15519,841,164,0.0,
15535,978,3,1.0,
15555,980,3,4.0,
