circuitid,circuitref,name,location,country,lat,lng,alt,url
1,Альберт-Парк,Albertский парк Гран-при,Мельбурн,Австралия,-37.8497,144.968,10.0,Круг Гран-при Мельбурна
2,Сепанг,Круг בינלאו Sepang,Кuala-Лумпур,Малайзия,2.76083,101.738,,"Сепанг (malay: Sirkuit Internasional Sepang) — автодром в Сепанге, штат Селангор, Малайзия. Автодром используется для проведения Гран-при Малайзии «Формулы-1» и других гоночных событий."
3,Бахрейн,Международный автодром Бахрейна,Сахир,Бахрейн,26.0325,50.5106,,Бахрейнский международный автодром
4,Каталания,Кирпич Барселоны — Каталонии,Монтемло,Испания,41.57,2.26111,,Circ de Barcelona-Catalunya
5,Стамбул,Стамбульский парк,Стамбул,Турция,40.9517,29.405,,Парк в Стамбуле
6,Монако,Шоссейный круг Монако,Монако,Монако,43.7347,7.42056,,"Шоссейная кольцо Монако — это уличная гоночная трасса в Монте-Карло, Монако. Трасса длиной 3,775 км проходит через городскую часть Монте-Карло и соединяет несколько популярных мест в этом районе, включая Раскинг, Басси-Низ, Тью и Кейар."
7,Вилленев,Кирк Жиль де Вилленув,Монреаль,Канада,45.5,-73.5228,,Википедия: Кирасо-Гийом Вильнёв
8,магнийный курс,Кирпич Невера Магни-Корс,Магни-Курс,Франция,46.8642,3.16361,,"Курс Неверса Магни-Корс — это автодром в Франции, расположенный в департаменте Алье в регионе Бургундия-Франш-Конте. Он был построен на территории бывшего военного аэродрома и открыт в 1991 году. Автодром используется для проведения гоночных событий, а также для тестовых заездов и тренировок для команд Формулы-1."
9,Сильверстоун,Сильверстоунский автодром,Серебряный камень,Великобритания,52.0786,-1.01694,,Шашки
10,Хоккенхаймриндж,Хоккенхаймринг,Хоккенхайм,Германия,49.3278,8.56583,,Хоккенхаймринг
11,Хунгароринг,Венгрия,Будапешт,Венгрия,47.5789,19.2486,,"Хунгароринг — автодром в Будапеште, Венгрия. Является домом для Гран-при Венгрии, гонки «Формулы-1» с 1986 года. Трасса имеет длину 3,315 км и проходит через лесный массив, что придает ей уникальные характеристики с многочисленными узкими поворотами и быстрыми секциями."
12,Валенсия,Шоссе Валенсия,Валенсия,Испания,39.4589,-0.331667,,Круговая трасса Валенсии
13,спа,Шоссе Спа-Франкоршамп,Спа,Бельгия,50.4372,5.97139,,"Курс Спа-Франкоршамп - это автодорожный комплекс в Бельгии, расположенный в муниципалитете Спа. Он известен как один из самых быстрых и требующих высоких навыков треков в мире, сочетая сложные повороты с широкими прямыми, что делает его идеальным для гонок с высокой скоростью."
14,Монца,Автонодром Ньурално де Монца,Монца,Италия,45.6156,9.28111,,Автономная Республика Монца
15,Марина-Бей,Марина-Бей-Стрит-Циркит,Марина-Бэй,Сингапур,1.2914,103.864,,Марина-Бэй-Стрит-Кайт
16,фудзи,Фудзи Спидвей,Ояма,Япония,35.3717,138.927,,"Фудзи-Спидвей — трасса для автогонок, расположенная в японской префектуре Шидзуока."
17,Шанхай,Шанхайская международная трасса,Шанхай,Китай,31.3389,121.22,,Шанхайская международная трасса
18,Интерлагос,Автомагистраль имени Хосе Карлос Пейс,Сан-Паулу,Бразилия,-23.7036,-46.6997,,Автоодром Хосе Карлос Пейс
19,Индианаполис,Индианаполис Мотор Спидвей,Индианаполис,США,39.795,-86.2347,,Индианаполисский автодром
20,Нюрбургринг,Нюрбургринг,Нюрнбург,Германия,50.3356,6.9475,,Нюрбургринг
21,Имола,Автодром Энцо и Дино Феррари,Имола,Италия,44.3439,11.7167,,Автово́дно-спортивное у́зело «Энцо и Дино Феррари»
22,Сузука,Сузука-Кантё,Сузука,Япония,34.8431,136.541,,Сузука-циркуит
23,Австрия,A1-Ring,Шпильберг,Австрия,47.2197,14.7647,,A1-Ринг
24,Яс-Марина,Яс-Марина-Крик,Абудаби,ОАЭ,24.4672,54.6031,,Яс-Марина трасса
25,Галвес,Автодром Хуан и Оскар Гальвес,Буенос-Айрес,Аргентина,-34.6943,-58.4593,,Автоодром Оскар Альфредо Гальвес
26,Херес,Циркуто де Херес,Херес-де-ла-Фронтера,Испания,36.7083,-6.03417,,Окружная трасса Хереса
27,Эсторил,Автодром Эсторил,Эсториал,Португалия,38.7506,-9.39417,,Автодромо دو Эштораил
28,Окаяма,Окayama Международный Трасса,Окаяма,Япония,34.915,134.221,,ТИ-картина
29,Ада́дэид,Аделаидский уличный круговой маршрут,Аделаида,Австралия,-34.9272,138.617,,Аделаидская уличная трасса
30,Кьялами,Кьялами,Мидранд,Южная Африка,-25.9894,28.0767,,Кьялами
31,Донингтон,Донингтон-Парк,Замок Донингтон,Великобритания,52.8306,-1.37528,,Донингтон-Парк
32,Родригес,Автомагистраль Херменос Родригес,Мексико-Сити,Мексика,19.4042,-99.0907,,Автоодром Херманос Родригес
33,Феникс,Финиксская уличная трасса,Финикс,США,33.4479,-112.075,,"Википедия: Пионерская улица (англ. Pioneer Street) — уличная гонка, проводимая на городской трассе в Финиксе, штат Аризона, США. Это одна из старейших и самых известных уличных гонок в мире. Гонка проводится ежегодно с 1963 года и привлекает тысячи зрителей и участников со всего мира. Трасса проходит по улицам центра Финикса, включая Пионер-стрит, которая дала название гонке."
34,Рикард,Круг Пола Рикара,Ле-Кастель,Франция,43.2506,5.79167,,Paul Ricard
35,еёга́м,Международный трассир корейского спорта,郡 Yeong암,Корея,34.7333,126.417,,https://ru.wikipedia.org/wiki/Корейский_международный_циркуит
