constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
19,20,2,30.0,1,1,0
59,23,11,6.0,9,9,0
129,30,2,107.0,3,3,1
156,32,7,46.0,5,5,0
711,86,4,152.0,1,1,7
712,86,6,90.0,3,3,1
732,88,6,100.0,3,3,1
742,89,6,100.0,3,3,1
1458,158,18,0.0,5,5,0
1475,160,21,0.0,8,8,0
1487,161,1,26.0,2,2,1
1488,161,15,1.0,7,7,0
1514,164,16,6.0,6,6,0
1525,165,16,6.0,6,6,0
1535,166,3,17.0,4,4,0
1572,169,20,0.0,11,11,0
1634,34,2,135.0,3,3,1
1639,34,7,52.0,5,5,0
2056,191,3,6.0,2,2,0
2080,194,1,49.0,1,1,3
2094,195,15,4.0,5,5,0
2108,196,20,0.0,10,10,0
2112,196,21,4.0,5,5,0
2126,198,6,69.0,2,2,3
2136,199,3,19.0,4,4,0
2140,199,17,1.0,8,8,0
2161,201,22,32.0,3,3,0
2195,204,17,31.0,5,5,1
2424,224,15,0.0,7,7,0
2433,225,29,0.0,8,8,0
2447,226,17,3.0,5,5,0
2476,229,15,7.0,7,7,0
2499,231,29,1.0,9,9,0
2501,231,28,0.0,11,11,0
2520,233,15,10.0,7,7,0
2546,235,17,15.0,5,5,0
3257,290,1,9.0,2,2,0
3262,290,17,0.0,10,10,0
3308,292,3,58.0,1,1,4
3346,294,35,2.0,8,8,0
3354,295,27,1.0,10,10,0
3356,295,17,0.0,13,13,0
3370,296,17,0.0,13,13,0
3492,304,25,8.0,6,6,0
4636,273,1,6.0,2,2,0
4729,281,1,50.0,2,2,3
4789,285,33,3.0,10,10,0
5096,245,6,41.0,2,2,1
5097,245,1,8.0,5,5,0
5098,245,25,0.0,9,9,0
5125,247,27,10.0,5,5,0
5130,247,17,13.0,4,4,0
5136,248,1,10.0,6,6,0
5181,251,31,0.0,13,13,0
5219,254,15,18.0,6,6,0
5248,256,18,1.0,10,10,0
5256,207,18,0.0,7,7,0
5485,179,22,8.0,5,5,0
5562,186,22,16.0,5,5,0
5592,189,6,118.0,1,1,6
5645,143,3,2.0,6,6,0
5741,152,21,1.0,10,10,0
5776,155,22,10.0,7,7,0
5795,157,20,4.0,9,9,0
5814,125,16,0.0,9,9,0
5845,128,4,8.0,4,4,0
5874,131,1,33.0,3,3,1
5877,131,7,2.0,9,9,0
5896,133,1,37.0,3,3,1
5909,134,18,2.0,9,9,0
5918,135,1,49.0,3,3,1
5932,136,7,2.0,10,10,0
5980,140,17,9.0,6,6,0
6020,112,6,48.0,2,2,2
6027,112,19,2.0,9,9,0
6169,93,3,27.0,4,4,0
6251,101,1,37.0,5,5,0
6347,55,7,7.0,6,6,0
6357,56,2,10.0,5,5,0
6464,66,3,10.0,8,8,0
6473,67,1,97.0,3,3,0
6514,70,2,36.0,5,5,0
7657,322,27,0.0,10,10,0
7707,325,21,2.0,7,7,0
7784,329,44,0.0,16,16,0
7797,330,3,42.0,3,3,2
7841,332,44,0.0,17,17,0
7868,333,39,0.0,16,16,0
8233,305,25,5.0,3,3,0
8247,305,36,0.0,18,18,0
8263,306,35,0.0,14,14,0
8268,307,22,6.0,4,4,0
8274,307,17,0.0,14,14,0
8296,308,3,12.0,3,3,0
8331,310,17,8.0,6,6,0
8371,312,32,3.0,9,9,0
8384,313,33,1.0,11,11,0
8390,313,32,3.0,9,9,0
8406,314,18,3.0,8,8,0
8424,315,39,0.0,16,16,0
8460,317,33,1.0,13,13,0
8497,319,25,12.0,6,6,0
8499,319,40,0.0,15,15,0
8663,8,1,13.0,6,6,0
8707,11,5,5.0,9,9,0
8820,358,33,0.0,13,13,0
8835,359,22,11.0,2,2,0
8859,360,27,0.0,12,12,0
8910,362,39,1.0,14,14,0
8958,365,32,9.0,7,7,0
8976,366,21,12.0,5,5,0
8987,366,18,3.0,13,13,0
9025,368,34,6.0,10,10,0
9026,368,45,0.0,17,17,0
9294,379,45,0.0,15,15,0
9369,384,6,61.0,2,2,1
9391,385,27,0.0,14,14,0
9489,391,25,2.0,8,8,0
9543,395,1,45.0,2,2,2
9555,395,37,1.0,12,12,0
9593,398,49,2.0,9,9,0
9626,400,25,8.0,6,6,0
9641,401,49,2.0,10,10,0
9657,402,49,2.0,10,10,0
9683,403,42,0.0,16,16,0
9724,407,32,19.0,3,3,1
9743,408,6,10.0,5,5,0
9746,408,26,0.0,10,10,0
9816,413,27,28.0,4,4,0
9849,415,45,0.0,12,12,0
9879,417,18,0.0,13,13,0
9904,419,45,0.0,13,13,0
9930,421,21,0.0,10,10,0
10019,425,32,33.0,2,2,2
10095,428,49,0.0,14,14,0
10145,431,26,0.0,17,17,0
10196,434,26,0.0,17,17,0
10208,435,3,71.0,3,3,4
10345,443,25,0.0,15,15,0
10347,444,1,59.5,1,1,5
10403,447,53,9.0,7,7,0
10449,449,52,0.0,13,13,0
10493,452,54,0.0,12,12,0
10530,455,6,22.0,1,1,1
10611,460,55,1.0,10,10,0
10622,461,21,4.0,9,9,0
10871,475,54,4.0,10,10,0
10912,477,53,0.0,16,16,0
10979,481,27,16.0,7,7,0
11039,483,25,2.0,4,4,0
11049,483,32,0.0,14,14,0
11121,488,25,5.0,8,8,0
11123,488,56,0.0,13,13,0
11125,488,57,4.0,9,9,0
11151,489,53,0.0,17,17,0
11279,496,6,34.0,5,5,2
11391,503,32,6.0,7,7,0
11399,504,51,2.0,11,11,0
11425,506,3,67.0,1,1,4
11446,507,6,6.0,10,10,0
11496,510,32,10.0,9,9,0
