year,url
1950,Сезон 1950 года в Формуле-1
1951,"Сезон 1951 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе «Формула-1», установленного и проводимого Автомобильным миром Великобритании (British Automobile Association - B.A.A.). Сезон состоял из десяти гонок и начался 25 марта и завершился 29 сентября."
1952,"Сезон 1952 года в Формуле-1 был восьмым сезоном чемпионата мира по автогонкам в классе «Формула-1», который проходил под эгидой FIA с 1 января по 30 декабря 1952 года. В этом сезоне впервые приняли участие автомобили с двигателем заднего расположения."
1953,"Сезон 1953 года в Формуле-1 был восьмым сезоном чемпионата мира по автогонкам в классе «Формула-1», установленного ФИА. Сезон состоял из десяти гонок и начался 28 марта и закончился 12 декабря."
1954,Сезон 1954 года в Формуле-1
1955,Сезон 1955 года в Формуле-1
1956,"Сезон 1956 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе «Формула-1», установленным и проводимым ФИА. Он продолжался восемь гонок с 13 мая по 28 октября. В сезоне приняли участие 30 пилотов, из которых 17 были лучшими из них по итогам квалификации на стартовой решётке."
1957,"Сезон 1957 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе Формулы-1, проводимым под эгидой Федерации автоспорта (FISA). Сезон состоял из девяти гонок и начался 13 января Гран-при Аргентины 1957 года, а закончился 28 октября Гран-при Италии 1957 года.

В сезоне приняли участие многочисленные пилоты, представляющие различные команды. Наиболее успешными были пилот Alfa Romeo - Juan Manuel Fangio и Giuseppe Farina. Именно они поделили между собой первые шесть мест в чемпионате."
1958,"Сезон 1958 года в Формуле-1 был восьмым сезоном Чемпионата мира по автогонкам в классе «Формула-1», который проводился под эгидой ФИА. Сезон состоял из 10 гонок и начался 13 января 1958 года Гран-при Аргентины и закончился 2 ноября 1958 года на Гран-при Марокко.

В сезоне 1958 года приняли участие 17 пилотов из 6 команд. Чемпионом мира среди пилотов стал британец Майк Хоторн, который представлял команду «Купер», а в кубке конструкторов победу одержала команда «Ферари».

Ниже представлен список гонок, включенных в календарь сезона 1958 года:

1. Гран-при Аргентины (13 января)
2. Гран-при Монако (26 мая)
3. Гран-при Бельгии (30 июня)
4. Гран-при Франции (27 июля)
5. Гран-при Великобритании (17 августа)
6. Гран-при Германии (21 сентября)
7. Гран-при Швейцарии (5 октября)
8. Гран-при Италии (26 октября)
9. Гран-при Мексики (23 ноября)
10. Гран-при Марокко (2 ноября)"
1959,"Сезон 1959 года в Формуле-1 был восьмым сезоном чемпионата мира по автогонкам в классе «Формула-1», который проводился под эгидой ФИА. Сезон включал в себя десять гонок, проводившихся с марта по сентябрь. В сезоне 1959 года впервые был проведён Гран-при США, который стал лишь демонстрационным заездом, но он заложил основу для последующих гонок Формулы-1 в США.

Сезон начался с Гран-при Аргентины, где три лучших пилота того времени: Хуан Мануэль Фанхио, Джек Брэкиншоу и Тони Брукс, все они были на автомобилях Scuderia Ferrari, заняли первые три места. Фанхьо выиграл гонку, а Брукс стал чемпионом мира в этом сезоне.

На Гран-при Монако мы стали свидетелями первой победы Феррари на трассе Монако, когда Фил Хилл выиграл гонку за рулем Ferrari D248. Этот же автомобиль был использован Майком Хоторном для победы на Гран-при Голландии, ставшей его второй победой в сезоне.

Сезон продолжился Гран-при Франции, где Джек Брэкиншоу выиграл гонку за рулем автомобиля Cooper T45. Это была первая победа Coopera в сезоне и в истории команды. Брэкиншоу также одержал победу на Гран-при Великобритании, снова на автомобиле Cooper.

Гран-при Португалии стало пятым этапом сезона, и на нем Phil Hill стал первым американским пилотом, выигравшим гонку чемпионата мира Формулы-1. Он был за рулем Ferrari 801.

На Гран-при Италии Феррари обеспечила собой второй титул в Кубке Конструкторов, а их пилот Фил Хилл обеспечил себе второе место в личном зачете после Тони Брукса.

Сезон завершился Гран-при Испании, где Майк Хоторн, пилот Cooper, одержал победу и стал третьим пилотом, выигравшим чемпионат мира в сезоне 1959 года.

В общем зачете пилотов Фил Хилл занял второе место, а Джек Брэкиншоу - третье. В Кубке Конструкторов впервые победила команда Ferrari, а второй стала команда Cooper."
1960,Сезон 1960 года в Формуле-1
1961,Сезон 1961 года в Формуле-1
