File,Row,Column,Length_Orig,Length_Trans,Diff_%,Original,Translated
master.csv,106,lastname,10,44,340.0,Aitkenhead,"Подожди, подожди, подожди, подожди, подожди."
master.csv,196,lastname,10,44,340.0,Aitkenhead,"Подожди, подожди, подожди, подожди, подожди."
master.csv,244,namenick,6,20,233.3,Gunner,Огнестрельное оружие
awardsplayers.csv,53,note,6,24,300.0,shared,Совместное использование
awardsplayers.csv,71,note,6,24,300.0,shared,Совместное использование
awardsplayers.csv,108,note,6,24,300.0,shared,Совместное использование
awardsplayers.csv,144,note,6,24,300.0,shared,Совместное использование
awardsplayers.csv,157,note,6,24,300.0,shared,Совместное использование
awardsplayers.csv,159,note,6,24,300.0,shared,Совместное использование
awardsplayers.csv,160,note,6,24,300.0,shared,Совместное использование
awardsplayers.csv,197,note,6,24,300.0,shared,Совместное использование
awardsplayers.csv,221,note,6,24,300.0,shared,Совместное использование
awardsplayers.csv,229,note,6,24,300.0,shared,Совместное использование
awardsplayers.csv,236,note,6,24,300.0,shared,Совместное использование
awardsplayers.csv,243,note,6,24,300.0,shared,Совместное использование
awardsplayers.csv,253,note,6,24,300.0,shared,Совместное использование
