year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
2007,NHL,NYR,NYR,EC,AT,3,CSF,82,42,27,,13,97,8,9,213,199,New York Rangers,1154,12,61,370,6,53,343,4
1915,PCHA,PO1,PO1,,,1,F,18,13,5,0.0,,26,,,71,50,Portland Rosebuds,,,,,,,,
1995,NHL,DET,DET,WC,CE,1,CF,82,62,13,7.0,,131,,,325,181,Detroit Red Wings,1551,18,97,455,9,44,375,17
2002,NHL,ANA,ANA,WC,PC,2,F,82,40,27,9.0,6,95,,,203,193,Mighty Ducks of Anaheim,954,20,56,348,5,42,333,8
1982,NHL,QUE,COL,WA,AD,4,DSF,80,34,34,12.0,,80,,,343,336,Quebec Nordiques,1648,10,61,294,6,92,348,6
2008,NHL,OTT,OTT,EC,NE,4,,82,36,35,,11,83,4,6,217,237,Ottawa Senators,1098,14,66,339,5,64,346,8
2000,NHL,DAL,DAL,WC,PC,1,CSF,82,48,24,8.0,2,106,,,241,187,Dallas Stars,1041,10,72,367,7,49,355,7
1936,NHL,BOS,BOS,,AM,2,QF,48,23,18,7.0,,53,,,120,110,Boston Bruins,303,,,,,,,
2000,NHL,EDM,EDM,WC,NW,2,CQF,82,39,28,12.0,3,93,,,243,222,Edmonton Oilers,1287,10,59,398,4,62,382,13
1973,WHA,TOT,BIR,,EW,2,AVSF,78,41,33,4.0,,86,,,304,272,Toronto Toros,871,4,60,257,4,42,249,5
1974,WHA,EDO,EDM,,CW,5,,78,36,38,4.0,,76,,,279,279,Edmonton Oilers,896,,40,262,4,52,236,10
1999,NHL,DET,DET,WC,CE,2,CSF,82,48,22,10.0,2,108,,,278,210,Detroit Red Wings,1014,20,69,338,6,44,311,15
1918,NHL,OTS,STE,,,1,NHLF,18,12,6,0.0,,24,,,71,53,Ottawa Senators,241,,,,,,,
2002,NHL,DET,DET,WC,CE,1,CQF,82,48,20,10.0,4,110,,,269,203,Detroit Red Wings,1214,26,76,319,4,55,377,11
1975,NHL,DET,DET,WA,NO,4,,80,26,44,10.0,,62,,,226,300,Detroit Red Wings,1922,12,47,307,6,86,422,9
1909,NHA,HAI,MTL,,,5,,12,4,8,0.0,,8,,,77,83,Haileybury Hockey Club,,,,,,,,
1977,NHL,MTL,MTL,WA,NO,1,SC,80,59,10,11.0,,129,,,359,183,Montreal Canadiens,745,10,73,229,1,40,211,9
2009,NHL,VAN,VAN,WC,NW,1,CSF,82,49,28,,5,103,4,4,272,222,Vancouver Canucks,1269,8,68,325,6,59,320,9
1963,NHL,NYR,NYR,,,5,,70,22,38,10.0,,54,,,186,242,New York Rangers,715,,40,253,6,44,206,3
1997,NHL,NYI,NYI,EC,AT,4,,82,30,41,11.0,,71,,,212,225,New York Islanders,1646,10,61,364,16,54,384,11
1980,NHL,TOR,TOR,WA,AD,5,PRE,80,28,37,15.0,,71,,,322,367,Toronto Maple Leafs,1830,38,85,339,4,93,408,9
1972,WHA,CLC,MF2,,EW,2,AVSF,78,43,32,3.0,,89,,,287,239,Cleveland Crusaders,1095,12,51,272,5,59,338,11
1972,NHL,CHI,CHI,,WD,1,F,78,42,27,9.0,,93,,,284,225,Chicago Black Hawks,864,4,52,244,4,51,255,10
1986,NHL,CAL,CAL,CC,SM,2,DSF,80,46,31,3.0,,95,,,318,289,Calgary Flames,2036,18,80,318,14,75,368,7
1988,NHL,DET,DET,CC,NO,1,DSF,80,34,34,12.0,,80,,,313,316,Detroit Red Wings,2245,10,73,352,8,79,426,15
1975,WHA,CAC,CAC,,CW,3,AVSF,80,41,35,4.0,,86,,,307,282,Calgary Cowboys,1064,,59,271,13,70,297,15
1972,NHL,NYR,NYR,,ED,3,SF,78,47,23,8.0,,102,,,297,208,New York Rangers,765,8,54,238,5,39,250,5
1974,NHL,PIT,PIT,WA,NO,3,QF,80,37,28,15.0,,89,,,326,289,Pittsburgh Penguins,1119,14,64,323,11,63,324,13
2000,NHL,OTT,OTT,EC,NE,1,CQF,82,48,21,9.0,4,109,,,274,205,Ottawa Senators,1062,10,71,381,5,49,361,10
1940,NHL,CHI,CHI,,,5,SF,48,16,25,7.0,,39,,,112,139,Chicago Black Hawks,335,,,,,,,
1978,NHL,BUF,BUF,WA,AD,2,PRE,80,36,28,16.0,,88,,,280,263,Buffalo Sabres,1026,16,55,267,4,55,258,9
1922,NHL,HAM,BKN,,,4,,24,6,18,0.0,,12,,,81,110,Hamilton Tigers,188,,,,,,,
2000,NHL,BOS,BOS,EC,NE,4,,82,36,30,8.0,8,88,,,227,249,Boston Bruins,1325,18,64,390,7,65,377,8
1976,NHL,COR,NJD,CC,SM,5,,80,20,46,14.0,,54,,,226,307,Colorado Rockies,978,12,44,274,7,61,247,9
1932,NHL,CHI,CHI,,AM,4,,48,16,20,12.0,,44,,,88,101,Chicago Black Hawks,401,,,,,,,
1991,NHL,NYI,NYI,WA,PT,5,,80,34,35,11.0,,79,,,291,299,New York Islanders,1713,2,75,339,8,90,383,11
1926,NHL,MTM,MTM,,CA,3,QF,44,20,20,4.0,,44,,,71,68,Montreal Maroons,716,,,,,,,
2010,NHL,MIN,MIN,WC,NW,3,,82,39,35,,8,86,3,5,206,233,Minnesota Wild,983,14,53,292,7,53,308,7
1977,NHL,LAK,LAK,WA,NO,3,PRE,80,31,34,15.0,,77,,,243,245,Los Angeles Kings,903,10,50,254,6,46,236,3
1983,NHL,PHI,PHI,WA,PT,3,DSF,80,44,26,10.0,,98,,,350,290,Philadelphia Flyers,1488,6,64,316,9,84,364,16
1972,NHL,CLF,CLE,,WD,8,,78,16,46,16.0,,48,,,213,323,California Golden Seals,840,0,41,250,4,56,242,4
1967,NHL,OAK,CLE,,WD,6,,74,15,42,17.0,,47,,,153,219,Oakland Seals,777,,41,259,6,45,259,6
2009,NHL,CAR,CAR,EC,SE,3,,82,35,37,,10,80,4,5,230,256,Carolina Hurricanes,966,22,56,332,8,62,320,7
1911,PCHA,VML,VMR,,,2,,15,7,8,0.0,,14,,,102,94,Vancouver Millionaires,,,,,,,,
1974,WHA,HOU,HOU,,WW,1,AVC,78,53,25,0.0,,106,,,369,247,Houston Aeros,1257,,71,254,6,64,372,18
1998,NHL,MTL,MTL,EC,NE,5,,82,32,39,11.0,,75,,,184,209,Montreal Canadiens,1299,14,50,344,10,44,344,8
1978,WHA,CZE,CZE,,,9,,6,1,4,1.0,,3,,,14,33,Czechoslovakia,107,,,,,,,
1957,NHL,NYR,NYR,,,2,SF,70,32,25,13.0,,77,,,195,188,New York Rangers,781,,,,,,,
1975,WHA,CLC,MF2,,EW,2,AVPRE,80,35,40,5.0,,75,,,273,279,Cleveland Crusaders,1356,,69,292,14,49,294,11
1976,NHL,PIT,PIT,WA,NO,3,PRE,80,34,33,13.0,,81,,,240,252,Pittsburgh Penguins,669,12,46,263,6,47,209,5
2006,NHL,NAS,NAS,WC,CE,2,CQF,82,51,23,,8,110,6,5,272,212,Nashville Predators,1179,24,71,408,2,55,390,8
1973,WHA,HOU,HOU,,WW,1,AVC,78,48,25,5.0,,101,,,318,219,Houston Aeros,1038,4,64,223,3,47,288,17
1997,NHL,PHO,PHO,WC,CE,4,CQF,82,35,35,12.0,,82,,,224,227,Phoenix Coyotes,1602,20,57,384,6,66,408,10
