playerid,award,year,lgid,note,pos
abelsi01,First Team All-Star,1948,NHL,,C
abelsi01,First Team All-Star,1949,NHL,,C
abelsi01,Hart,1948,NHL,,
abelsi01,Second Team All-Star,1941,NHL,,LW
abelsi01,Second Team All-Star,1950,NHL,tie,C
alfreda01,All-Rookie,1995,NHL,,F
alfreda01,Calder,1995,NHL,,
alfreda01,King Clancy,2011,NHL,,
alfreda01,Second Team All-Star,2005,NHL,,RW
amontto01,All-Rookie,1991,NHL,,RW
anderto01,First Team All-Star,1941,NHL,,D
anderto01,Hart,1941,NHL,,
antonmi01,Second Team All-Star,1976,WHA,,LW
appssy01,Calder,1936,NHL,,
appssy01,First Team All-Star,1938,NHL,,C
appssy01,First Team All-Star,1941,NHL,,C
appssy01,Lady Byng,1941,NHL,,
appssy01,Second Team All-Star,1937,NHL,,C
appssy01,Second Team All-Star,1940,NHL,,C
appssy01,Second Team All-Star,1942,NHL,,C
arnasty01,All-Rookie,2002,NHL,,F
arnotja01,All-Rookie,1993,NHL,,C
ashbeba01,Second Team All-Star,1973,NHL,,D
auriela01,First Team All-Star,1936,NHL,,RW
backsni01,Crozier,2006,NHL,,
backsni01,Jennings,2006,NHL,shared,
backsni02,All-Rookie,2007,NHL,,F
backsra01,Calder,1958,NHL,,
backsra01,Deneau,1973,WHA,Most Gentlemanly,
baileac01,Art Ross,1928,NHL,,
barbebi01,First Team All-Star,1975,NHL,,LW
barbebi01,Second Team All-Star,1978,NHL,,LW
barbebi01,Second Team All-Star,1980,NHL,,LW
barrato01,All-Rookie,1983,NHL,,G
barrato01,Calder,1983,NHL,,
barrato01,First Team All-Star,1983,NHL,,G
barrato01,Jennings,1984,NHL,shared,
barrato01,Second Team All-Star,1984,NHL,,G
barrato01,Second Team All-Star,1992,NHL,,G
barrato01,Vezina,1983,NHL,,
barryma01,First Team All-Star,1936,NHL,,C
barryma01,Lady Byng,1936,NHL,,
bathgan01,First Team All-Star,1958,NHL,,RW
bathgan01,First Team All-Star,1961,NHL,,RW
bathgan01,Hart,1958,NHL,,
bathgan01,Second Team All-Star,1957,NHL,,RW
bathgan01,Second Team All-Star,1962,NHL,,RW
bauerbo01,Lady Byng,1939,NHL,,
bauerbo01,Lady Byng,1940,NHL,,
bauerbo01,Lady Byng,1946,NHL,,
bauerbo01,Second Team All-Star,1938,NHL,,RW
bauerbo01,Second Team All-Star,1939,NHL,,RW
