playerid,year,stint,tmid,s,g,gdg
laddan01,2011,1,WPG,1,3,1
royde01,2007,1,BUF,5,1,1
richabr01,2011,1,NYR,1,9,0
lecavvi01,2007,1,TBL,3,1,0
oleszro01,2008,1,FLO,2,1,0
parrima01,2006,1,MIN,2,0,0
smythry01,2011,1,EDM,0,2,0
cammami01,2008,1,CAL,5,1,0
datsypa01,2010,1,DET,4,2,2
kulikdm01,2011,1,FLO,2,4,1
novotji01,2007,1,CBS,2,0,0
prospva01,2005,1,TBL,3,2,1
armstco01,2008,1,ATL,1,0,0
kesseph01,2007,1,BOS,13,5,5
moentr01,2008,1,AND,1,0,0
datsypa01,2005,1,DET,6,3,1
upshasc01,2007,1,PHI,1,0,0
backeda01,2010,1,STL,1,0,0
cammami01,2011,1,MTL,0,3,0
stumpjo01,2007,1,FLO,3,1,1
pominja01,2006,1,BUF,2,0,0
bellma01,2005,1,CHI,2,0,0
dumonjp01,2005,1,BUF,1,0,0
tangual01,2011,1,CAL,1,8,0
wilsoco01,2009,1,NAS,1,0,0
kostise01,2011,1,NAS,0,2,0
parenpi01,2010,1,NYI,8,2,1
schwaja01,2011,1,STL,0,1,0
burroal01,2007,1,VAN,1,0,0
yipbr01,2010,1,COL,1,1,1
byfugdu01,2005,1,CHI,1,0,0
toewsjo01,2009,1,CHI,14,8,3
ryanbo01,2009,1,AND,2,0,0
parisza01,2005,1,NJD,3,1,1
brashdo01,2006,1,WAS,1,0,0
stillco01,2010,1,FLO,2,0,0
hallad01,2008,1,TBL,1,1,0
wheelbl01,2010,2,ATL,3,2,0
bouwmja01,2007,1,FLO,1,0,0
jagrja01,2005,1,NYR,8,2,1
alfreda01,2007,1,OTT,7,2,1
nielsfr01,2011,1,NYI,7,11,4
nagyla01,2006,1,PHO,4,3,3
letankr01,2007,1,PIT,8,5,3
kubinpa01,2007,1,TOR,1,0,0
mcdonan01,2006,1,AND,10,1,0
rolstbr01,2008,1,NJD,1,0,0
glenccu01,2009,1,CAL,1,0,0
leopojo01,2010,1,BUF,1,0,0
iginlja01,2006,1,CAL,4,3,1
brindro01,2009,1,CAR,1,0,0
marlepa01,2007,1,SJS,8,4,1
holmsto01,2005,1,DET,2,1,1
alfreda01,2006,1,OTT,2,0,0
purcete01,2011,1,TBL,1,2,1
brunean01,2005,1,COL,1,0,0
radulal01,2006,1,NAS,6,3,2
kozlovy01,2008,1,ATL,8,6,3
pacioma01,2010,1,MTL,2,1,0
brodzky01,2011,1,MIN,1,2,1
kunitch01,2010,1,PIT,5,2,2
duchema01,2011,1,COL,3,6,1
jovaned01,2007,1,PHO,1,0,0
higgich01,2007,1,MTL,3,0,0
langeja01,2008,1,NJD,5,3,1
recchma01,2005,1,PIT,3,0,0
kobasch01,2009,2,MIN,1,0,0
tangual01,2009,1,TBL,4,0,0
spurgja01,2011,1,MIN,0,1,0
glenccu01,2007,1,CBS,1,1,0
carcida01,2006,1,PHO,1,0,0
macarcl01,2009,1,BUF,2,0,0
langro01,2007,1,CHI,2,1,1
kaberto01,2011,2,MTL,0,1,0
hendrma01,2010,1,WAS,4,2,0
ruututu01,2005,1,CHI,1,1,1
royde01,2011,1,BUF,2,5,2
brassde01,2011,1,CBS,0,1,0
charazd01,2006,1,BOS,2,1,1
richami02,2010,1,PHI,5,1,0
stlouma01,2009,1,TBL,3,0,0
sedinhe01,2006,1,VAN,1,0,0
okposky01,2009,1,NYI,4,0,0
mcdonan01,2006,1,AND,10,1,0
niedesc01,2008,1,AND,1,0,0
turriky01,2010,1,PHO,4,1,0
hossama01,2006,1,ATL,10,5,1
jokinju01,2011,1,CAR,2,6,0
lundmja01,2006,2,LAK,3,2,0
zajactr01,2007,1,NJD,1,0,0
datsypa01,2008,1,DET,10,5,3
kopecto01,2009,1,CHI,3,1,0
nashri01,2008,1,CBS,11,4,1
rundbda01,2011,1,OTT,0,1,0
hensitj01,2007,1,COL,2,0,0
