playerid,year,stint,tmid,w,l,sa,ga
fleurma01,2011,1,PIT,9,2,39,9
lehtoka01,2005,1,ATL,5,0,20,3
wardca01,2009,1,CAR,1,3,13,7
rasktu01,2009,1,BOS,5,4,33,10
bironma01,2009,1,NYI,2,1,8,3
gustajo01,2011,1,TOR,1,3,11,4
kolesvi01,2005,1,COL,1,0,7,0
norrefr01,2006,1,CBS,3,3,22,8
aebisda01,2005,1,COL,2,1,10,2
toskave01,2005,1,SJS,0,3,12,5
peterju01,2011,1,CAR,0,2,6,3
lalimpa01,2005,1,STL,0,2,5,3
poggeju01,2008,1,TOR,0,1,2,2
schneco01,2008,1,VAN,0,1,3,3
marksja02,2011,1,FLO,0,1,3,1
raycran01,2006,1,TOR,3,6,32,13
clemmsc01,2007,1,TOR,1,0,3,1
morrimi01,2005,1,EDM,5,2,24,6
emeryra01,2009,1,PHI,2,1,9,2
fernama01,2006,1,MIN,7,1,32,9
lehtoka01,2009,1,DAL,1,0,4,0
kolziol01,2005,1,WAS,4,5,44,15
budajpe01,2009,1,COL,0,1,5,1
masonch02,2009,1,STL,5,3,28,8
garonma01,2010,1,CBS,1,3,12,4
poulike01,2010,1,NYI,0,1,3,2
osgooch01,2009,1,DET,1,2,8,4
lalimpa01,2006,1,CHI,2,1,8,4
elliobr01,2008,1,OTT,2,2,16,6
backsni01,2007,1,MIN,1,6,21,12
bouchbr01,2006,1,CHI,0,2,4,4
valiqst01,2006,1,NYR,1,0,4,2
mclenja01,2005,1,FLO,0,1,4,2
labarja01,2009,1,PHO,6,1,27,8
karlshe01,2010,1,CAL,1,3,11,5
holtbbr01,2010,1,WAS,1,1,7,3
khabini01,2011,1,EDM,0,5,20,12
nabokev01,2009,1,SJS,6,6,50,13
leclapa01,2005,1,CBS,4,2,18,4
markkju01,2006,1,EDM,0,1,3,2
legacma01,2006,1,STL,5,3,25,7
leclapa01,2007,1,CBS,3,4,23,10
rinnepe01,2008,1,NAS,5,2,24,5
montoal01,2011,1,NYI,2,2,13,5
halakja01,2009,1,MTL,5,2,21,5
garonma01,2009,1,CBS,2,3,18,8
masonst01,2008,1,CBS,6,5,31,9
garonma01,2009,1,CBS,2,3,18,8
wardca01,2007,1,CAR,1,3,11,6
pavelon01,2009,1,ATL,0,4,11,6
bironma01,2006,2,PHI,0,1,3,2
johnsbr02,2005,1,WAS,3,1,13,2
theodjo01,2010,1,MIN,2,1,15,7
labarja01,2005,1,LAK,2,0,5,0
auldal01,2009,1,DAL,2,2,15,2
rasktu01,2011,1,BOS,2,2,14,6
luongro01,2011,1,VAN,6,6,42,17
toivoha01,2005,1,BOS,0,1,3,2
brodema01,2008,1,NJD,2,1,10,3
leclapa01,2005,1,CBS,4,2,18,4
elliobr01,2008,1,OTT,2,2,16,6
emeryra01,2006,1,OTT,1,4,19,8
markkju01,2005,1,EDM,1,3,16,8
bouchbr01,2006,1,CHI,0,2,4,4
eschero01,2006,1,PHI,0,1,2,2
fleurma01,2006,1,PIT,9,5,39,9
burkese01,2005,1,TBL,2,3,11,5
leclapa01,2009,1,OTT,3,1,10,5
smithmi02,2006,1,DAL,1,0,3,0
mclenja01,2005,1,FLO,0,1,4,2
priceca01,2009,1,MTL,2,3,17,5
quickjo01,2010,1,LAK,10,0,44,8
hackema01,2011,1,MIN,1,0,5,2
koskimi01,2010,1,NYI,1,0,4,0
karlshe01,2010,1,CAL,1,3,11,5
halakja01,2011,1,STL,3,7,32,9
dubiewa01,2005,1,NYI,1,0,3,0
budajpe01,2010,1,COL,3,0,14,1
millery01,2008,1,BUF,8,2,40,9
bishobe01,2011,1,OTT,0,2,6,3
hedbejo01,2007,1,ATL,5,3,31,7
halakja01,2009,1,MTL,5,2,21,5
wardca01,2006,1,CAR,0,4,14,6
budajpe01,2006,1,COL,3,4,27,11
belfoed01,2005,1,TOR,2,4,14,6
macdojo01,2011,1,DET,1,1,9,3
masonch02,2006,1,NAS,4,2,20,6
dipieri01,2006,1,NYI,5,4,44,9
