type,code,fullname
Playoffs,ND,ND - Stanley Cup finals halted (influenza epidemic)
Division,CA,Canadian Division
Playoffs,DF,Lost NHL division finals
Round,SCSF,Stanley Cup Semi-Finals
Round,CQF,Conference Quarter-Finals
Round,Pre,Preliminary
Division,NW,Northwest Division
Playoffs,PF,Lost PCHA finals
Division,AM,American Division
Playoffs,QF,Lost NHL quarter-finals
Playoffs,CQF,Lost NHL conference quarter-finals
Playoffs,WF,Lost WCHL finals
Round,SCF,Stanley Cup Finals
Division,PC,Pacific Division
Round,ACF,Avco Cup Finals
Playoffs,SF,Lost NHL semi-finals
Round,DF,Division Finals
Playoffs,F,Lost Stanley Cup finals
Round,QF,Quarter-Finals
Division,AD,Adams Division
Round,CSF,Conference Semi-Finals
Playoffs,PRE,Lost NHL preliminary round
Division,WW,WHA West Division
Round,CF,Conference Finals
Playoffs,LCS,Won Stanley Cup / Lost Challenge Series
Division,CW,WHA Canadian Division
Division,NO,Norris Division
Division,ED,East Division
Round,WP,Western Playoff
Division,CE,Central Division
Round,DSF,Division Semi-Finals
Playoffs,CSF,Lost NHL conference semi-finals
Playoffs,AVC,Won AVCO Cup
Division,SE,Southeast Division
Division,NE,Northeast Division
Playoffs,DSF,Lost NHL division semi-finals
Division,WD,West Division
Round,SF,Semi-Finals
Round,F,Finals
Division,SM,Smythe Division
Playoffs,SCSF,Lost Stanley Cup semi-finals
Conference,WC,Western Conference
Conference,CC,Campbell Conference
Playoffs,CF,Lost NHL conference finals
Playoffs,NHLF,Lost NHL finals
Conference,EC,Eastern Conference
Playoffs,SC,Won Stanley Cup
Conference,WA,Wales Conference
Division,PT,Patrick Division
Playoffs,AVSF,Lost AVCO Cup semi-finals
Playoffs,WCS,Won Challenge Series
Playoffs,AVPRE,Lost AVCO Cup preliminary round
Playoffs,WSF,Lost WCHL semi-finals
Division,AT,Atlantic Division
Playoffs,AVF,Lost AVCO Cup finals
Division,EW,WHA East Division
Playoffs,NHAF,Lost NHA finals
Playoffs,AVQF,Lost AVCO Cup quarter-finals
