year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1921,WCHL,REG,6,3,1,2,7,8,,,,,,,,
1976,NHL,TOR,9,4,5,0,31,29,115.0,0.0,14.0,43.0,1.0,8.0,28.0,0.0
1978,NHL,NYI,10,6,4,0,27,21,144.0,0.0,3.0,31.0,0.0,3.0,27.0,1.0
2002,NHL,PHI,13,6,7,0,34,33,152.0,4.0,5.0,50.0,4.0,9.0,50.0,1.0
1952,NHL,CHI,7,3,4,0,14,18,59.0,,,,,,,
1986,NHL,STL,6,2,4,0,12,15,182.0,2.0,5.0,30.0,0.0,2.0,28.0,0.0
1918,NHL,OTS,5,1,4,0,18,26,69.0,,,,,,,
1975,NHL,LAK,9,5,4,0,17,27,151.0,2.0,5.0,41.0,2.0,11.0,43.0,0.0
1929,NHL,BOS,6,3,3,0,14,12,90.0,,,,,,,
1960,NHL,CHI,12,8,4,0,35,27,162.0,,,,,,,
2000,NHL,PIT,18,9,9,0,38,44,214.0,2.0,11.0,61.0,3.0,16.0,73.0,1.0
2002,NHL,NYI,5,1,4,0,7,13,108.0,0.0,3.0,31.0,0.0,4.0,30.0,0.0
1931,NHL,NYR,7,3,4,0,23,27,98.0,,,,,,,
1958,NHL,CHI,6,2,4,0,16,21,93.0,,,,,,,
1960,NHL,TOR,5,1,4,0,8,15,46.0,,,,,,,
2007,NHL,MIN,6,2,4,0,12,17,141.0,2.0,3.0,21.0,1.0,6.0,30.0,2.0
1946,NHL,TOR,11,8,3,0,31,27,144.0,,,,,,,
1962,NHL,CHI,6,2,4,0,19,25,104.0,,,,,,,
2009,NHL,BOS,13,7,6,0,36,37,175.0,4.0,11.0,45.0,0.0,5.0,50.0,0.0
1981,NHL,CAL,3,0,3,0,5,10,112.0,2.0,2.0,12.0,0.0,2.0,10.0,0.0
1985,NHL,QUE,3,0,3,0,7,16,116.0,0.0,3.0,16.0,1.0,5.0,14.0,1.0
1994,NHL,BOS,5,1,4,0,5,14,47.0,2.0,2.0,20.0,1.0,5.0,17.0,0.0
2003,NHL,STL,5,1,4,0,9,12,68.0,0.0,1.0,22.0,1.0,3.0,31.0,2.0
1980,NHL,VAN,3,0,3,0,7,13,77.0,0.0,1.0,12.0,0.0,4.0,11.0,0.0
2009,NHL,OTT,6,2,4,0,19,24,123.0,6.0,7.0,22.0,1.0,7.0,28.0,0.0
1996,NHL,DAL,7,3,4,0,18,21,136.0,0.0,3.0,40.0,1.0,6.0,34.0,1.0
1983,NHL,DET,4,1,3,0,12,13,131.0,0.0,4.0,25.0,1.0,5.0,17.0,1.0
1933,NHL,DET,9,4,5,0,18,21,65.0,,,,,,,
1973,NHL,MTL,6,2,4,0,17,21,91.0,,2.0,,0.0,3.0,,0.0
1982,NHL,QUE,4,1,3,0,8,11,117.0,0.0,2.0,12.0,0.0,3.0,24.0,1.0
1940,NHL,CHI,5,2,3,0,10,12,62.0,,,,,,,
1979,NHL,BOS,10,4,6,0,35,33,346.0,0.0,6.0,37.0,1.0,8.0,33.0,2.0
2008,NHL,MTL,4,0,4,0,6,17,103.0,2.0,0.0,8.0,0.0,4.0,16.0,0.0
1991,NHL,MTL,11,4,7,0,29,32,208.0,0.0,9.0,59.0,2.0,10.0,57.0,1.0
2002,NHL,WAS,6,2,4,0,15,14,88.0,4.0,5.0,27.0,1.0,4.0,27.0,0.0
1985,NHL,STL,19,10,9,0,64,70,579.0,0.0,13.0,91.0,3.0,26.0,96.0,3.0
2003,NHL,CAL,26,15,11,0,60,53,444.0,0.0,15.0,108.0,0.0,21.0,121.0,3.0
2005,NHL,SJS,11,6,5,0,29,29,144.0,2.0,11.0,72.0,2.0,12.0,62.0,0.0
1953,NHL,MTL,11,7,4,0,28,18,160.0,,,,,,,
1971,NHL,BOS,15,12,3,0,64,34,389.0,,18.0,,1.0,11.0,,5.0
2001,NHL,OTT,12,7,5,0,29,18,115.0,0.0,9.0,55.0,0.0,6.0,41.0,0.0
1939,NHL,CHI,2,0,2,0,3,5,14.0,,,,,,,
2000,NHL,STL,15,9,6,0,40,34,183.0,0.0,9.0,62.0,1.0,8.0,64.0,3.0
2010,NHL,VAN,25,15,10,0,58,69,435.0,12.0,19.0,93.0,6.0,19.0,99.0,1.0
1979,NHL,NYR,9,4,5,0,21,22,194.0,0.0,5.0,39.0,2.0,4.0,40.0,1.0
2010,NHL,TBL,18,11,7,0,59,45,207.0,8.0,17.0,67.0,1.0,6.0,78.0,1.0
1940,NHL,MTL,3,1,2,0,7,8,34.0,,,,,,,
2009,NHL,NJD,5,1,4,0,9,15,92.0,4.0,4.0,32.0,0.0,8.0,29.0,1.0
1975,NHL,NYI,13,7,6,0,43,39,247.0,0.0,9.0,49.0,2.0,7.0,60.0,1.0
1987,NHL,EDM,19,16,2,1,87,56,635.0,8.0,32.0,117.0,,20.0,117.0,2.0
2009,NHL,DET,12,5,7,0,43,33,178.0,4.0,12.0,57.0,1.0,12.0,64.0,0.0
2005,NHL,NJD,9,5,4,0,27,21,140.0,2.0,11.0,58.0,0.0,11.0,45.0,4.0
1955,NHL,NYR,5,1,4,0,9,24,62.0,,,,,,,
1960,NHL,DET,11,6,5,0,27,27,108.0,,,,,,,
1985,NHL,MTL,20,15,5,0,56,41,689.0,6.0,17.0,93.0,3.0,10.0,82.0,4.0
1952,NHL,DET,6,2,4,0,21,21,50.0,,,,,,,
1945,NHL,DET,5,1,4,0,10,16,22.0,,,,,,,
1967,NHL,BOS,4,0,4,0,8,15,56.0,,1.0,,0.0,3.0,,0.0
1983,NHL,NYI,21,12,9,0,62,60,405.0,0.0,13.0,81.0,1.0,18.0,101.0,2.0
2007,NHL,NYR,10,5,5,0,31,27,150.0,4.0,7.0,42.0,0.0,10.0,48.0,1.0
2007,NHL,NJD,5,1,4,0,12,19,56.0,0.0,5.0,24.0,1.0,4.0,17.0,0.0
2010,NHL,SJS,18,9,9,0,51,58,276.0,6.0,14.0,73.0,0.0,18.0,76.0,0.0
1993,NHL,TOR,18,9,9,0,50,47,375.0,0.0,22.0,74.0,1.0,13.0,86.0,4.0
1984,NHL,WAS,5,2,3,0,12,14,90.0,0.0,4.0,28.0,0.0,3.0,17.0,0.0
1975,NHL,CHI,4,0,4,0,3,13,67.0,2.0,2.0,16.0,1.0,3.0,17.0,0.0
1948,NHL,BOS,5,1,4,0,10,16,50.0,,,,,,,
2010,NHL,PHI,11,4,7,0,29,38,173.0,4.0,7.0,49.0,0.0,9.0,47.0,0.0
2009,NHL,NAS,6,2,4,0,15,17,52.0,4.0,1.0,27.0,1.0,4.0,23.0,1.0
1974,NHL,NYI,17,9,8,0,47,50,377.0,0.0,15.0,77.0,3.0,9.0,72.0,2.0
1931,NHL,MTM,4,1,1,2,6,5,24.0,,,,,,,
2005,NHL,BUF,18,11,7,0,60,49,220.0,0.0,16.0,99.0,2.0,16.0,92.0,5.0
1991,NHL,NJD,7,3,4,0,25,28,177.0,4.0,5.0,29.0,4.0,9.0,35.0,1.0
2005,NHL,NAS,5,1,4,0,10,17,88.0,0.0,6.0,32.0,0.0,9.0,37.0,1.0
1996,NHL,PHI,19,12,7,0,67,55,245.0,4.0,18.0,94.0,5.0,19.0,89.0,3.0
1990,NHL,VAN,6,2,4,0,16,26,154.0,0.0,5.0,23.0,0.0,5.0,24.0,1.0
1998,NHL,TOR,17,9,8,0,43,46,252.0,0.0,12.0,87.0,3.0,13.0,71.0,0.0
1976,NHL,NYI,12,8,4,0,36,32,160.0,0.0,6.0,34.0,1.0,9.0,43.0,1.0
1990,NHL,NYR,6,2,4,0,16,16,183.0,0.0,4.0,36.0,1.0,2.0,28.0,0.0
1943,NHL,DET,5,1,4,0,8,17,39.0,,,,,,,
1995,NHL,VAN,6,2,4,0,17,24,99.0,0.0,7.0,39.0,0.0,8.0,36.0,0.0
2010,NHL,NYR,5,1,4,0,8,13,62.0,4.0,1.0,20.0,0.0,3.0,16.0,0.0
1921,NHL,TRS,2,1,0,1,5,4,28.0,,,,,,,
2002,NHL,BOS,5,1,4,0,8,13,70.0,0.0,3.0,18.0,0.0,3.0,22.0,0.0
1981,NHL,CHI,15,8,7,0,50,51,547.0,4.0,11.0,62.0,1.0,14.0,72.0,2.0
1978,NHL,TOR,6,2,4,0,19,24,192.0,0.0,3.0,19.0,0.0,9.0,30.0,1.0
1998,NHL,NJD,7,3,4,0,18,21,86.0,2.0,5.0,27.0,0.0,4.0,26.0,1.0
1944,NHL,MTL,6,2,4,0,21,15,45.0,,,,,,,
1983,NHL,MTL,15,9,6,0,42,32,450.0,6.0,9.0,70.0,1.0,8.0,58.0,1.0
1931,NHL,CHI,2,1,1,0,2,6,18.0,,,,,,,
1972,NHL,BOS,5,1,4,0,11,22,66.0,,1.0,,0.0,4.0,,1.0
1973,NHL,ATF,4,0,4,0,6,17,123.0,,2.0,,1.0,5.0,,0.0
1937,NHL,MTL,3,1,2,0,8,11,24.0,,,,,,,
1986,NHL,TOR,13,7,6,0,33,32,345.0,0.0,9.0,51.0,0.0,8.0,53.0,0.0
2011,NHL,FLO,7,3,4,0,17,18,66.0,0.0,9.0,27.0,0.0,5.0,25.0,1.0
1987,NHL,BOS,23,12,10,1,85,72,813.0,6.0,20.0,131.0,,24.0,125.0,6.0
1994,NHL,TOR,7,3,4,0,20,22,89.0,0.0,7.0,36.0,1.0,2.0,27.0,0.0
2011,NHL,NAS,10,5,5,0,22,21,92.0,2.0,5.0,41.0,0.0,5.0,35.0,0.0
