coachid,award,year,lgid,note
patrile01c,First Team All-Star,1930,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
dayha01c,Second Team All-Star,1943,NHL,
gormato01c,Second Team All-Star,1935,NHL,
patrile01c,First Team All-Star,1937,NHL,
hartce01c,Second Team All-Star,1936,NHL,
rossar01c,Second Team All-Star,1937,NHL,
irvindi01c,First Team All-Star,1945,NHL,
huculsa01c,Schmertz,1974,WHA,
demerja01c,Jack Adams,1986,NHL,
pulfobo01c,Jack Adams,1974,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
rossar01c,First Team All-Star,1938,NHL,
crawfma01c,Jack Adams,1994,NHL,
barbebi01c,Jack Adams,2000,NHL,
kelleja01c,Baldwin,1972,WHA,
boudrbr01c,Jack Adams,2007,NHL,
francbo01c,Jack Adams,2001,NHL,
quinnpa01c,Jack Adams,1991,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
quennjo01c,Jack Adams,1999,NHL,
murdobo01c,Jack Adams,1989,NHL,
irvindi01c,First Team All-Star,1944,NHL,
sherofr01c,Jack Adams,1973,NHL,
adamsja01c,First Team All-Star,1942,NHL,
dineebi01c,Schmertz,1977,WHA,
wattto01c,Jack Adams,1981,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
adamsja01c,First Team All-Star,1936,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
patrile01c,First Team All-Star,1932,NHL,
patrile01c,First Team All-Star,1931,NHL,
patrile01c,First Team All-Star,1937,NHL,
murdobo01c,Jack Adams,1989,NHL,
tippeda01c,Jack Adams,2009,NHL,
ruffli01c,Jack Adams,2005,NHL,
berenre01c,Jack Adams,1980,NHL,
arboual01c,Jack Adams,1978,NHL,
brophjo01c,Schmertz,1978,WHA,
cherrdo01c,Jack Adams,1975,NHL,
irvindi01c,First Team All-Star,1943,NHL,
kelleja01c,Baldwin,1972,WHA,
duttore01c,Second Team All-Star,1938,NHL,
rossar01c,First Team All-Star,1938,NHL,
rossar01c,Second Team All-Star,1942,NHL,
bowmasc01c,Jack Adams,1976,NHL,
crawfma01c,Jack Adams,1994,NHL,
pulfobo01c,Jack Adams,1974,NHL,
patrile01c,First Team All-Star,1933,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
vigneal01c,Jack Adams,2006,NHL,
harribi01c,Baldwin,1973,WHA,
bowmasc01c,Jack Adams,1995,NHL,
rossar01c,Second Team All-Star,1937,NHL,
dayha01c,Second Team All-Star,1943,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
barbebi01c,Jack Adams,2000,NHL,
wattto01c,Jack Adams,1981,NHL,
demerja01c,Jack Adams,1987,NHL,
sathegl01c,Jack Adams,1985,NHL,
hitchke01c,Jack Adams,2011,NHL,
weilaco01c,First Team All-Star,1940,NHL,
tessior01c,Jack Adams,1982,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
francbo01c,Jack Adams,2001,NHL,
murdobo01c,Jack Adams,1989,NHL,
brophjo01c,Schmertz,1978,WHA,
adamsja01c,First Team All-Star,1942,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
dineebi01c,Schmertz,1976,WHA,
thomppa01c,First Team All-Star,1939,NHL,
burnspa01c,Jack Adams,1992,NHL,
demerja01c,Jack Adams,1986,NHL,
bowmasc01c,Jack Adams,1976,NHL,
patrile01c,First Team All-Star,1934,NHL,
quennjo01c,Jack Adams,1999,NHL,
pulfobo01c,Jack Adams,1974,NHL,
keenami01c,Jack Adams,1984,NHL,
bowmasc01c,Jack Adams,1995,NHL,
dineebi01c,Schmertz,1977,WHA,
irvindi01c,First Team All-Star,1944,NHL,
boudrbr01c,Jack Adams,2007,NHL,
rossar01c,Second Team All-Star,1942,NHL,
sherofr01c,Jack Adams,1973,NHL,
suttebr01c,Jack Adams,1990,NHL,
patrile01c,First Team All-Star,1931,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
irvindi01c,First Team All-Star,1943,NHL,
cherrdo01c,Jack Adams,1975,NHL,
duttore01c,Second Team All-Star,1938,NHL,
lemaija01c,Jack Adams,1993,NHL,
bowmasc01c,Jack Adams,1995,NHL,
irvindi01c,First Team All-Star,1943,NHL,
weilaco01c,First Team All-Star,1940,NHL,
murrabr01c,Jack Adams,1983,NHL,
rossar01c,First Team All-Star,1938,NHL,
demerja01c,Jack Adams,1987,NHL,
harribi01c,Baldwin,1973,WHA,
tessior01c,Jack Adams,1982,NHL,
arboual01c,Jack Adams,1978,NHL,
burnspa01c,Jack Adams,1992,NHL,
adamsja01c,First Team All-Star,1942,NHL,
suttebr01c,Jack Adams,1990,NHL,
irvindi01c,First Team All-Star,1944,NHL,
vigneal01c,Jack Adams,2006,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
francbo01c,Jack Adams,2001,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
quinnpa01c,Jack Adams,1979,NHL,
patrile01c,First Team All-Star,1930,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
burnspa01c,Jack Adams,1988,NHL,
patrile01c,First Team All-Star,1937,NHL,
patrile01c,First Team All-Star,1934,NHL,
nolante01c,Jack Adams,1996,NHL,
gormato01c,Second Team All-Star,1935,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
adamsja01c,First Team All-Star,1936,NHL,
tortojo01c,Jack Adams,2003,NHL,
patrile01c,First Team All-Star,1931,NHL,
patrile01c,First Team All-Star,1935,NHL,
demerja01c,Jack Adams,1986,NHL,
barbebi01c,Jack Adams,2000,NHL,
patrile01c,First Team All-Star,1933,NHL,
dayha01c,Second Team All-Star,1943,NHL,
ruffli01c,Jack Adams,2005,NHL,
bowmasc01c,Jack Adams,1976,NHL,
martija02c,Jack Adams,1998,NHL,
burnspa01c,Jack Adams,1997,NHL,
juliecl01c,Jack Adams,2008,NHL,
irvindi01c,First Team All-Star,1945,NHL,
krommbo01c,Jack Adams,1977,NHL,
dineebi01c,Schmertz,1976,WHA,
patrile01c,First Team All-Star,1932,NHL,
huculsa01c,Schmertz,1974,WHA,
crawfma01c,Jack Adams,1994,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
boudrbr01c,Jack Adams,2007,NHL,
kelleja01c,Baldwin,1972,WHA,
sathegl01c,Jack Adams,1985,NHL,
krommbo01c,Schmertz,1975,WHA,
brophjo01c,Schmertz,1978,WHA,
tippeda01c,Jack Adams,2009,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
hitchke01c,Jack Adams,2011,NHL,
berenre01c,Jack Adams,1980,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
pulfobo01c,Jack Adams,1974,NHL,
rossar01c,Second Team All-Star,1937,NHL,
lemaija01c,Jack Adams,2002,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
wattto01c,Jack Adams,1981,NHL,
hartce01c,Second Team All-Star,1936,NHL,
thomppa01c,First Team All-Star,1939,NHL,
dineebi01c,Schmertz,1977,WHA,
rossar01c,Second Team All-Star,1942,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
hitchke01c,Jack Adams,2011,NHL,
lemaija01c,Jack Adams,2002,NHL,
dineebi01c,Schmertz,1977,WHA,
quinnpa01c,Jack Adams,1991,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
keenami01c,Jack Adams,1984,NHL,
hartce01c,Second Team All-Star,1936,NHL,
bylsmda01c,Jack Adams,2010,NHL,
martija02c,Jack Adams,1998,NHL,
tippeda01c,Jack Adams,2009,NHL,
demerja01c,Jack Adams,1987,NHL,
quennjo01c,Jack Adams,1999,NHL,
bowmasc01c,Jack Adams,1976,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
dineebi01c,Schmertz,1976,WHA,
ruffli01c,Jack Adams,2005,NHL,
rossar01c,First Team All-Star,1938,NHL,
adamsja01c,First Team All-Star,1936,NHL,
patrile01c,First Team All-Star,1931,NHL,
bowmasc01c,Jack Adams,1995,NHL,
dayha01c,Second Team All-Star,1943,NHL,
krommbo01c,Schmertz,1975,WHA,
adamsja01c,Second Team All-Star,1944,NHL,
pulfobo01c,Jack Adams,1974,NHL,
francbo01c,Jack Adams,2001,NHL,
demerja01c,Jack Adams,1987,NHL,
vigneal01c,Jack Adams,2006,NHL,
quennjo01c,Jack Adams,1999,NHL,
bowmasc01c,Jack Adams,1995,NHL,
rossar01c,First Team All-Star,1938,NHL,
burnspa01c,Jack Adams,1988,NHL,
nolante01c,Jack Adams,1996,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
wattto01c,Jack Adams,1981,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
keenami01c,Jack Adams,1984,NHL,
krommbo01c,Schmertz,1975,WHA,
dineebi01c,Schmertz,1976,WHA,
arboual01c,Jack Adams,1978,NHL,
huculsa01c,Schmertz,1974,WHA,
ruffli01c,Jack Adams,2005,NHL,
thomppa01c,First Team All-Star,1939,NHL,
rossar01c,Second Team All-Star,1942,NHL,
burnspa01c,Jack Adams,1997,NHL,
patrile01c,First Team All-Star,1937,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
demerja01c,Jack Adams,1986,NHL,
sherofr01c,Jack Adams,1973,NHL,
murdobo01c,Jack Adams,1989,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
juliecl01c,Jack Adams,2008,NHL,
gormato01c,Second Team All-Star,1935,NHL,
dineebi01c,Schmertz,1977,WHA,
adamsja01c,First Team All-Star,1936,NHL,
crawfma01c,Jack Adams,1994,NHL,
tippeda01c,Jack Adams,2009,NHL,
krommbo01c,Jack Adams,1977,NHL,
barbebi01c,Jack Adams,2000,NHL,
patrile01c,First Team All-Star,1934,NHL,
patrile01c,First Team All-Star,1933,NHL,
irvindi01c,First Team All-Star,1944,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
hitchke01c,Jack Adams,2011,NHL,
boudrbr01c,Jack Adams,2007,NHL,
patrile01c,First Team All-Star,1935,NHL,
brophjo01c,Schmertz,1978,WHA,
sathegl01c,Jack Adams,1985,NHL,
suttebr01c,Jack Adams,1990,NHL,
rossar01c,Second Team All-Star,1937,NHL,
patrile01c,First Team All-Star,1931,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
berenre01c,Jack Adams,1980,NHL,
harribi01c,Baldwin,1973,WHA,
kelleja01c,Baldwin,1972,WHA,
quinnpa01c,Jack Adams,1979,NHL,
bowmasc01c,Jack Adams,1976,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
lemaija01c,Jack Adams,1993,NHL,
patrile01c,First Team All-Star,1930,NHL,
irvindi01c,First Team All-Star,1943,NHL,
tortojo01c,Jack Adams,2003,NHL,
duttore01c,Second Team All-Star,1938,NHL,
dayha01c,Second Team All-Star,1943,NHL,
murrabr01c,Jack Adams,1983,NHL,
quinnpa01c,Jack Adams,1991,NHL,
lemaija01c,Jack Adams,2002,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
tessior01c,Jack Adams,1982,NHL,
patrile01c,First Team All-Star,1932,NHL,
adamsja01c,First Team All-Star,1942,NHL,
irvindi01c,First Team All-Star,1945,NHL,
hartce01c,Second Team All-Star,1936,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
cherrdo01c,Jack Adams,1975,NHL,
weilaco01c,First Team All-Star,1940,NHL,
bylsmda01c,Jack Adams,2010,NHL,
martija02c,Jack Adams,1998,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
burnspa01c,Jack Adams,1992,NHL,
burnspa01c,Jack Adams,1988,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
bowmasc01c,Jack Adams,1995,NHL,
demerja01c,Jack Adams,1986,NHL,
boudrbr01c,Jack Adams,2007,NHL,
quinnpa01c,Jack Adams,1991,NHL,
patrile01c,First Team All-Star,1935,NHL,
adamsja01c,First Team All-Star,1942,NHL,
sherofr01c,Jack Adams,1973,NHL,
rossar01c,Second Team All-Star,1937,NHL,
kelleja01c,Baldwin,1972,WHA,
patrile01c,First Team All-Star,1931,NHL,
tippeda01c,Jack Adams,2009,NHL,
bylsmda01c,Jack Adams,2010,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
cherrdo01c,Jack Adams,1975,NHL,
murdobo01c,Jack Adams,1989,NHL,
brophjo01c,Schmertz,1978,WHA,
krommbo01c,Schmertz,1975,WHA,
adamsja01c,Second Team All-Star,1944,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
lemaija01c,Jack Adams,2002,NHL,
quinnpa01c,Jack Adams,1979,NHL,
hitchke01c,Jack Adams,2011,NHL,
gormato01c,Second Team All-Star,1935,NHL,
rossar01c,Second Team All-Star,1937,NHL,
brophjo01c,Schmertz,1978,WHA,
harribi01c,Baldwin,1973,WHA,
dayha01c,Second Team All-Star,1943,NHL,
murrabr01c,Jack Adams,1983,NHL,
weilaco01c,First Team All-Star,1940,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
patrile01c,First Team All-Star,1931,NHL,
patrile01c,First Team All-Star,1937,NHL,
pulfobo01c,Jack Adams,1974,NHL,
hartce01c,Second Team All-Star,1936,NHL,
adamsja01c,First Team All-Star,1942,NHL,
huculsa01c,Schmertz,1974,WHA,
vigneal01c,Jack Adams,2006,NHL,
nolante01c,Jack Adams,1996,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
murdobo01c,Jack Adams,1989,NHL,
barbebi01c,Jack Adams,2000,NHL,
boudrbr01c,Jack Adams,2007,NHL,
suttebr01c,Jack Adams,1990,NHL,
burnspa01c,Jack Adams,1988,NHL,
patrile01c,First Team All-Star,1934,NHL,
patrile01c,First Team All-Star,1933,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
arboual01c,Jack Adams,1978,NHL,
lemaija01c,Jack Adams,1993,NHL,
sathegl01c,Jack Adams,1985,NHL,
cherrdo01c,Jack Adams,1975,NHL,
hitchke01c,Jack Adams,2011,NHL,
adamsja01c,First Team All-Star,1936,NHL,
irvindi01c,First Team All-Star,1944,NHL,
bowmasc01c,Jack Adams,1995,NHL,
quennjo01c,Jack Adams,1999,NHL,
patrile01c,First Team All-Star,1930,NHL,
wattto01c,Jack Adams,1981,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
tessior01c,Jack Adams,1982,NHL,
bylsmda01c,Jack Adams,2010,NHL,
thomppa01c,First Team All-Star,1939,NHL,
patrile01c,First Team All-Star,1932,NHL,
krommbo01c,Schmertz,1975,WHA,
sherofr01c,Jack Adams,1973,NHL,
burnspa01c,Jack Adams,1997,NHL,
irvindi01c,First Team All-Star,1945,NHL,
kelleja01c,Baldwin,1972,WHA,
duttore01c,Second Team All-Star,1938,NHL,
burnspa01c,Jack Adams,1992,NHL,
martija02c,Jack Adams,1998,NHL,
lemaija01c,Jack Adams,2002,NHL,
keenami01c,Jack Adams,1984,NHL,
quinnpa01c,Jack Adams,1991,NHL,
juliecl01c,Jack Adams,2008,NHL,
crawfma01c,Jack Adams,1994,NHL,
demerja01c,Jack Adams,1987,NHL,
tippeda01c,Jack Adams,2009,NHL,
gormato01c,Second Team All-Star,1935,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
patrile01c,First Team All-Star,1935,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
dineebi01c,Schmertz,1976,WHA,
bouchfr01c,First Team All-Star,1941,NHL,
demerja01c,Jack Adams,1986,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
lemaija01c,Jack Adams,1993,NHL,
duttore01c,Second Team All-Star,1938,NHL,
patrile01c,First Team All-Star,1937,NHL,
juliecl01c,Jack Adams,2008,NHL,
crawfma01c,Jack Adams,1994,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
irvindi01c,First Team All-Star,1944,NHL,
tippeda01c,Jack Adams,2009,NHL,
irvindi01c,First Team All-Star,1943,NHL,
sathegl01c,Jack Adams,1985,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
nolante01c,Jack Adams,1996,NHL,
bowmasc01c,Jack Adams,1976,NHL,
huculsa01c,Schmertz,1974,WHA,
irvindi01c,First Team All-Star,1945,NHL,
gormato01c,Second Team All-Star,1935,NHL,
patrile01c,First Team All-Star,1933,NHL,
sherofr01c,Jack Adams,1973,NHL,
barbebi01c,Jack Adams,2000,NHL,
patrile01c,First Team All-Star,1934,NHL,
berenre01c,Jack Adams,1980,NHL,
demerja01c,Jack Adams,1987,NHL,
brophjo01c,Schmertz,1978,WHA,
francbo01c,Jack Adams,2001,NHL,
adamsja01c,First Team All-Star,1942,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
keenami01c,Jack Adams,1984,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
vigneal01c,Jack Adams,2006,NHL,
bylsmda01c,Jack Adams,2010,NHL,
rossar01c,Second Team All-Star,1942,NHL,
lemaija01c,Jack Adams,2002,NHL,
