charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
16913,1327,482,2,1999-08-04T10:44:53,3478.0,1327,
19061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
22818,5263,413,4,1999-08-07T10:45:20,4431.0,5263,
24979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
25142,6508,427,3,1999-08-18T10:45:32,4757.0,16508,
29958,3811,475,3,1999-08-07T10:45:55,3078.0,3811,
31052,8454,320,9,1999-10-09T10:46:00,2734.0,28454,
38464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
40848,6738,458,4,1999-08-28T10:46:46,2189.0,16738,
44332,5263,499,5,1999-08-11T10:47:02,115.0,5263,
64365,6344,188,5,1999-08-13T10:48:34,4287.0,16344,
67797,6738,446,4,1999-08-24T10:48:50,2892.0,16738,
70840,7472,413,3,1999-08-22T10:49:04,2860.0,17472,
82065,6738,367,5,1999-08-20T10:49:56,4642.0,16738,
516913,1327,482,2,1999-08-04T10:44:53,3478.0,1327,
519061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
522818,5263,413,4,1999-08-07T10:45:20,4431.0,5263,
524979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
529958,3811,475,3,1999-08-07T10:45:55,3078.0,3811,
538264,4252,466,7,1999-07-19T10:46:34,868.0,4252,
538464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
540848,6738,458,4,1999-08-28T10:46:46,2189.0,16738,
544332,5263,499,5,1999-08-11T10:47:02,115.0,5263,
544718,4744,447,9,1999-07-07T10:47:04,1031.0,4744,
549377,8499,473,2,1999-09-27T10:47:25,3768.0,28499,
559992,4037,408,8,1999-07-30T10:48:13,4259.0,4037,
564365,6344,188,5,1999-08-13T10:48:34,4287.0,16344,
567797,6738,446,4,1999-08-24T10:48:50,2892.0,16738,
577446,6664,356,4,1999-09-24T10:49:35,2911.0,26664,
582065,6738,367,5,1999-08-20T10:49:56,4642.0,16738,
616913,1327,482,2,1999-08-04T10:44:53,3478.0,1327,
617780,9278,482,2,1999-08-09T10:44:57,539.0,9278,
619061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
622818,5263,413,4,1999-08-07T10:45:20,4431.0,5263,
624979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
629958,3811,475,3,1999-08-07T10:45:55,3078.0,3811,
638464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
640848,6738,458,4,1999-08-28T10:46:46,2189.0,16738,
644332,5263,499,5,1999-08-11T10:47:02,115.0,5263,
657283,3363,479,6,1999-07-13T10:48:01,1692.0,3363,
664365,6344,188,5,1999-08-13T10:48:34,4287.0,16344,
667797,6738,446,4,1999-08-24T10:48:50,2892.0,16738,
682065,6738,367,5,1999-08-20T10:49:56,4642.0,16738,
716913,1327,482,2,1999-08-04T10:44:53,3478.0,1327,
719061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
722818,5263,413,4,1999-08-07T10:45:20,4431.0,5263,
724979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
729958,3811,475,3,1999-08-07T10:45:55,3078.0,3811,
730688,9603,493,10,1999-08-29T10:45:58,919.0,19603,
738464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
740848,6738,458,4,1999-08-28T10:46:46,2189.0,16738,
744332,5263,499,5,1999-08-11T10:47:02,115.0,5263,
764365,6344,188,5,1999-08-13T10:48:34,4287.0,16344,
767797,6738,446,4,1999-08-24T10:48:50,2892.0,16738,
782065,6738,367,5,1999-08-20T10:49:56,4642.0,16738,
816913,1327,482,2,1999-08-04T10:44:53,3478.0,1327,
819061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
822818,5263,413,4,1999-08-07T10:45:20,4431.0,5263,
824979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
829525,9685,465,4,1999-09-20T10:45:53,2836.0,29685,
829958,3811,475,3,1999-08-07T10:45:55,3078.0,3811,
838464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
840848,6738,458,4,1999-08-28T10:46:46,2189.0,16738,
844332,5263,499,5,1999-08-11T10:47:02,115.0,5263,
864365,6344,188,5,1999-08-13T10:48:34,4287.0,16344,
867797,6738,446,4,1999-08-24T10:48:50,2892.0,16738,
882065,6738,367,5,1999-08-20T10:49:56,4642.0,16738,
886489,9165,499,3,1999-07-20T10:50:17,3857.0,9165,
916913,1327,482,2,1999-08-04T10:44:53,3478.0,1327,
919061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
922818,5263,413,4,1999-08-07T10:45:20,4431.0,5263,
924979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
929958,3811,475,3,1999-08-07T10:45:55,3078.0,3811,
934245,9562,493,7,1999-08-14T10:46:15,1535.0,19562,
934531,8376,407,10,1999-09-08T10:46:17,649.0,18376,
938464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
940848,6738,458,4,1999-08-28T10:46:46,2189.0,16738,
944332,5263,499,5,1999-08-11T10:47:02,115.0,5263,
964365,6344,188,5,1999-08-13T10:48:34,4287.0,16344,
967797,6738,446,4,1999-08-24T10:48:50,2892.0,16738,
971891,9522,432,8,1999-06-20T10:49:09,3922.0,9522,
982065,6738,367,5,1999-08-20T10:49:56,4642.0,16738,
1003636,9997,396,2,1999-06-25T10:43:53,3095.0,9997,
1016913,1327,482,2,1999-08-04T10:44:53,3478.0,1327,
1019061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
1022818,5263,413,4,1999-08-07T10:45:20,4431.0,5263,
1024979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
1029958,3811,475,3,1999-08-07T10:45:55,3078.0,3811,
1038464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
1040848,6738,458,4,1999-08-28T10:46:46,2189.0,16738,
1044332,5263,499,5,1999-08-11T10:47:02,115.0,5263,
1064365,6344,188,5,1999-08-13T10:48:34,4287.0,16344,
1067797,6738,446,4,1999-08-24T10:48:50,2892.0,16738,
1082065,6738,367,5,1999-08-20T10:49:56,4642.0,16738,
1087155,7664,492,5,1999-08-18T10:50:20,2961.0,17664,
1116913,1327,482,2,1999-08-04T10:44:53,3478.0,1327,
1119061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
1122818,5263,413,4,1999-08-07T10:45:20,4431.0,5263,
1124979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
1129958,3811,475,3,1999-08-07T10:45:55,3078.0,3811,
1138464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
1140848,6738,458,4,1999-08-28T10:46:46,2189.0,16738,
1144332,5263,499,5,1999-08-11T10:47:02,115.0,5263,
1164365,6344,188,5,1999-08-13T10:48:34,4287.0,16344,
1167797,6738,446,4,1999-08-24T10:48:50,2892.0,16738,
1182065,6738,367,5,1999-08-20T10:49:56,4642.0,16738,
1216913,1327,482,2,1999-08-04T10:44:53,3478.0,1327,
1219061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
1222818,5263,413,4,1999-08-07T10:45:20,4431.0,5263,
1224979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
1229958,3811,475,3,1999-08-07T10:45:55,3078.0,3811,
1238464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
1240848,6738,458,4,1999-08-28T10:46:46,2189.0,16738,
1244332,5263,499,5,1999-08-11T10:47:02,115.0,5263,
1264365,6344,188,5,1999-08-13T10:48:34,4287.0,16344,
1267797,6738,446,4,1999-08-24T10:48:50,2892.0,16738,
1282065,6738,367,5,1999-08-20T10:49:56,4642.0,16738,
1316913,1327,482,2,1999-08-04T10:44:53,3478.0,1327,
1319061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
1322818,5263,413,4,1999-08-07T10:45:20,4431.0,5263,
1324979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
1329958,3811,475,3,1999-08-07T10:45:55,3078.0,3811,
1330629,9807,493,5,1999-09-05T10:45:58,4757.0,19807,
1338464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
1340848,6738,458,4,1999-08-28T10:46:46,2189.0,16738,
1344332,5263,499,5,1999-08-11T10:47:02,115.0,5263,
1364365,6344,188,5,1999-08-13T10:48:34,4287.0,16344,
1367797,6738,446,4,1999-08-24T10:48:50,2892.0,16738,
1382065,6738,367,5,1999-08-20T10:49:56,4642.0,16738,
1416913,1327,482,2,1999-08-04T10:44:53,3478.0,1327,
1419061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
1422818,5263,413,4,1999-08-07T10:45:20,4431.0,5263,
1424979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
1425883,5028,497,6,1999-09-06T10:45:36,4946.0,15028,
1429958,3811,475,3,1999-08-07T10:45:55,3078.0,3811,
1438464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
1440848,6738,458,4,1999-08-28T10:46:46,2189.0,16738,
1444332,5263,499,5,1999-08-11T10:47:02,115.0,5263,
1448210,9805,349,6,1999-08-08T10:47:20,3186.0,9805,
1464365,6344,188,5,1999-08-13T10:48:34,4287.0,16344,
1467797,6738,446,4,1999-08-24T10:48:50,2892.0,16738,
1471390,9993,495,3,1999-09-24T10:49:07,328.0,29993,
1482065,6738,367,5,1999-08-20T10:49:56,4642.0,16738,
1519061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
1523285,3557,408,2,1999-07-26T10:45:22,177.0,3557,
1524979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
1538464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
1580689,7484,397,6,1999-07-19T10:49:50,2353.0,7484,
1619061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
1624979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
1638464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
1681224,7424,436,6,1999-06-21T10:49:53,3353.0,7424,
1698590,5277,444,8,1999-06-28T10:51:13,2844.0,5277,
1719061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
1724979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
1738464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
1752199,3073,498,4,1999-06-22T10:47:39,1389.0,3073,
1754557,9990,443,7,1999-09-08T10:47:49,4025.0,19990,
1819061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
1824979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
1838464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
1916228,9557,494,3,1999-10-12T10:44:50,2158.0,29557,
1919061,9045,485,4,1999-10-01T10:45:03,4430.0,29045,
1924979,9045,433,6,1999-10-01T10:45:32,1466.0,29045,
1938464,9045,294,10,1999-10-08T10:46:35,414.0,29045,
1967433,7662,474,10,1999-10-01T10:48:48,1874.0,27662,
