season,slot,strongseed,weakseed
2008,Рекс-2,R2Х2,R2X3
1994,R1W8,W08,W09
2011,Рэйни,R2Y1,R2Y4
1994,R2Х2,R1X2,R1Х7
1999,Р1Х3,X03,X14
2013,R1Y6,6,Y11
2011,R1З2,З02,З-15
1992,R2Y3,R1Y3,R1Y6
1999,R2X1,R1Х1,R1X8
1990,Р4З1,РЭЗИ,Р3З2
1989,Р4З1,РЭЗИ,Р3З2
2011,R2Y4,R1Y4,Р1V5
2006,Р3Й2,R2-Y2,R2Y3
2003,R2Z1,R1З1,Р1З8
2009,R2W1,R1W1,R1W8
2010,R2Y3,R1Y3,R1Y6
2005,R3В1,R2W1,Р2В4
2007,R2W1,R1W1,R1W8
1988,Рекс-1,R2X1,Р2Х4
1990,Р1Y8,Восьмая,Да
2008,"I'm sorry, but I don't understand your request. Could you please clarify or provide additional context?",Р1З3,Р1З6
1997,"I'm sorry, but I don't understand your request. Could you please clarify or provide additional context?",Р1З3,Р1З6
1991,Р4З1,РЭЗИ,Р3З2
2005,R2Z2,R1З2,R1З7
1989,R5YZ,Р4Я1,Р4З1
2007,R5YZ,Р4Я1,Р4З1
1985,R1Х7,X07,X10
2001,R1W4,Не понимаю. Можете перефразировать?,W13
1994,Р4Я1,Рэйни,Р3Й2
1995,"I'm sorry, but I don't understand your request. Could you please clarify or provide additional context?",Р1З3,Р1З6
2003,123456,Т2000,15 лет
2009,16 лет,"Я не понимаю, что вы имеете в виду. Можете ли вы уточнить ваш запрос?",Я-шестнадцатый
1985,R1З2,З02,З-15
2012,Р1З5,Z-05,З-12
1991,R1W7,W07,Windows 10
2014,R1X8,X08,X09
1987,R1X6,0x06,Х11
2012,R1W6,В06,В11
1991,R1Х7,X07,X10
1986,R1В2,В02,В15
2004,Р1Х3,X03,X14
1999,Р1З5,Z-05,З-12
1998,R2Х2,R1X2,R1Х7
2000,Р4З1,РЭЗИ,Р3З2
2002,R1W8,W08,W09
1993,R1W8,W08,W09
2005,R1W7,W07,Windows 10
1997,Р4Х1,Рекс-1,Рекс-2
2011,R2Z1,R1З1,Р1З8
1997,R1Y1,1 января,16 лет
2000,R1W3,В03,В14
2007,Р1V5,5,12
1998,Р4З1,РЭЗИ,Р3З2
1998,Р3Й2,R2-Y2,R2Y3
1987,R2X1,R1Х1,R1X8
1986,123456,Т2000,15 лет
2004,Р2В4,R1W4,R1V5
2011,R1V5,W05,W12
1991,R1В2,В02,В15
1988,Р2В2,R1В2,R1W7
2010,Р1З3,З03,З-14
2007,R1Y4,2003,Я-13
2000,Р1З5,Z-05,З-12
2012,R1Y4,2003,Я-13
1995,R2Z2,R1З2,R1З7
2007,Р4В1,R3В1,R3В2
1988,R1W7,W07,Windows 10
1993,Рэйни,R2Y1,R2Y4
2001,Р3Й2,R2-Y2,R2Y3
1996,Р6ХХ,R5WX,R5YZ
1998,Р2Х4,R1Х4,R1X-5
2006,R1X6,0x06,Х11
2005,R1Y6,6,Y11
2012,R2W3,R1W3,R1W6
2014,Р4З1,РЭЗИ,Р3З2
1992,R1W8,W08,W09
2004,R1Х7,X07,X10
2000,R2X1,R1Х1,R1X8
1989,R1W8,W08,W09
2008,РЭЗИ,R2Z1,R2Z4
2010,R1З2,З02,З-15
1992,Р4З1,РЭЗИ,Р3З2
1988,R1Х7,X07,X10
2014,R1Y4,2003,Я-13
2007,Р2В4,R1W4,R1V5
2011,Р4З1,РЭЗИ,Р3З2
2010,R1З7,З07,З10
1995,R1З4,З04,З13
1997,Р1Y8,Восьмая,Да
2013,R1W4,Не понимаю. Можете перефразировать?,W13
1993,R1Y3,3,Я-14
2010,R1X2,X02,X15
2000,Рекс-1,R2X1,Р2Х4
2008,R2X3,Р1Х3,R1X6
2010,Р4З1,РЭЗИ,Р3З2
2002,Рекс-2,R2Х2,R2X3
2003,Р1З6,З06,З11
1992,R1В2,В02,В15
1990,R2Х2,R1X2,R1Х7
1990,Р4Я1,Рэйни,Р3Й2
2013,Р1З5,Z-05,З-12
2011,Р1Y8,Восьмая,Да
2012,R1W8,W08,W09
2010,Р2Х4,R1Х4,R1X-5
1991,R3В2,Р2В2,R2W3
2007,З16,Z16а,Z16б
1990,R2Z4,R1З4,Р1З5
2006,R1W3,В03,В14
2009,R2W3,R1W3,R1W6
2004,Р1З8,З08,З09
2003,R1В2,В02,В15
1986,Р3З2,R2Z2,"I'm sorry, but I don't understand your request. Could you please clarify or provide additional context?"
1990,R1Х7,X07,X10
2011,Р4Х1,Рекс-1,Рекс-2
2009,Рэйни,R2Y1,R2Y4
2004,R2Z4,R1З4,Р1З5
2005,R2X3,Р1Х3,R1X6
2014,R2-Y2,123456,R1Z9
1992,R2Х2,R1X2,R1Х7
2006,R2Y3,R1Y3,R1Y6
1989,R1Y1,1 января,16 лет
2002,R2W1,R1W1,R1W8
1997,Р2Х4,R1Х4,R1X-5
1991,R1Y6,6,Y11
2011,R2X1,R1Х1,R1X8
1996,R1W6,В06,В11
2004,R1З7,З07,З10
1992,Р1З6,З06,З11
1988,R1В2,В02,В15
1994,R2Z2,R1З2,R1З7
2007,R2Z4,R1З4,Р1З5
1993,Р1З5,Z-05,З-12
2013,R1Z9,7,Десятая по счёту
2000,Р1Х3,X03,X14
2008,Р1З8,З08,З09
2014,R2Z4,R1З4,Р1З5
1999,R1X2,X02,X15
1996,Р1Y8,Восьмая,Да
1990,Р2В4,R1W4,R1V5
1994,Рэйни,R2Y1,R2Y4
1999,R1Х4,04,13
1997,Р1Х3,X03,X14
2010,R1X-5,05,X12
2000,R1Х7,X07,X10
2012,Р2В4,R1W4,R1V5
1994,R2Y4,R1Y4,Р1V5
1996,R1V5,W05,W12
2013,R5WX,Р4В1,Р4Х1
2002,Р1З8,З08,З09
1997,Р1З6,З06,З11
2013,Р2В4,R1W4,R1V5
2008,R1Х7,X07,X10
1985,R1X6,0x06,Х11
2000,Р4Я1,Рэйни,Р3Й2
1997,R2Х2,R1X2,R1Х7
2009,R1W6,В06,В11
1986,R1W1,В01,В16
1996,123456,Т2000,15 лет
1994,R5YZ,Р4Я1,Р4З1
2012,Р1Y8,Восьмая,Да
1994,R1W1,В01,В16
