season,seed,team
1989,З11,1375
2008,X02,1207
1994,W09,1130
1990,13,1343
1989,В03,1390
2008,0x06,1425
2001,12,1218
1999,Восьмая,1393
1998,З06,1417
2013,W12,1143
2008,16 лет,1426
1995,X10,1396
1998,6,1155
1998,X07,1396
1995,З10,1196
1992,W07,1150
2005,Восьмая,1390
1987,З13,1141
1986,З13,1419
2010,0x06,1323
2003,X07,1277
2001,Т2000,1112
2007,04,1438
1999,7,1257
2000,X16,1354
2003,W07,1386
2013,В01,1231
2003,7,1231
1999,W07,1400
1987,12,1401
2002,X02,1332
2011,W12б,1412
1990,В02,1242
1996,15 лет,1422
1998,05,1228
1999,Десятая по счёту,1166
1995,Т2000,1116
2005,Да,1280
1989,Windows 10,1397
2001,З04,1328
2010,3,1207
2002,В06,1403
1990,З02,1112
2005,2003,1393
1985,В14,1318
1992,1 января,1242
1989,Восьмая,1338
2012,Десятая по счёту,1462
2008,З08,1140
1990,1 января,1277
2006,X02,1417
2013,Z-05,1458
1989,В15,1354
2005,Зеро один,1314
1993,2003,1234
2003,В14,1264
2012,7,1323
1985,З16,1192
1998,X09,1229
1985,0x06,1409
1994,X10,1371
1995,3,1345
1990,В06,1385
1996,6,1231
1987,05,1242
2008,Я-13,1331
2012,Z14б,1233
1992,X08,1257
1991,З10,1140
2008,В03,1257
1997,З10,1207
2007,X16,1148
2002,W08,1458
1990,Х11,1243
2008,7,1274
2010,13,1373
1986,X16,1299
1993,Windows 10,1304
2000,В01,1181
1999,З10,1211
2008,1 января,1272
1999,X15,1117
2009,W08,1329
2012,X09,1104
2012,3,1124
2012,X14,1125
2012,Z14а,1140
2012,X12a,1143
2012,В06,1153
2012,Y11,1160
2012,З11,1161
2012,Да,1163
2012,X08,1166
2012,З13,1172
2012,X15,1178
2012,Т2000,1181
2012,З07,1196
2012,В03,1199
2012,X03,1207
2012,W07,1211
2012,W12,1217
2012,2003,1231
2012,Восьмая,1235
2012,X02,1242
2012,W08,1243
2012,1 января,1246
2012,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",1249
2012,15 лет,1250
2012,З-12,1253
2012,З16,1254
2012,З04,1257
2012,В15,1259
2012,З03,1266
2012,З08,1272
2012,04,1276
2012,Зеро один,1277
2012,З02,1281
2012,W13,1285
2012,"Я не понимаю, что вы имеете в виду. Можете ли вы уточнить ваш запрос?",1290
2012,З06,1293
2012,Х11,1301
2012,Z-05,1307
2012,Я-13,1308
2012,З-15,1313
2012,X01,1314
2012,13,1325
2012,В02,1326
2012,X10,1345
2012,Я-14,1355
2012,0x06,1361
2012,12б,1378
