season,daynum,wteam,wscore,lteam,lscore,wloc,numot
2013,138,1455,76,1211,70,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2005,136,1454,83,1104,73,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2002,137,1462,70,1218,58,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2006,138,1130,69,1285,56,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2007,138,1338,84,1433,79,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",1
1991,144,1396,72,1329,63,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",1
2001,146,1112,87,1228,81,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1986,136,1396,61,1239,50,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",1
2010,136,1448,81,1400,80,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",1
2006,137,1322,64,1234,63,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2013,137,1279,57,1458,46,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1991,138,1396,77,1350,64,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1996,139,1112,87,1234,73,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1993,143,1246,103,1448,69,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2007,134,1310,77,1197,69,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2006,145,1261,70,1400,60,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",1
2002,146,1242,104,1332,86,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2000,154,1277,89,1196,76,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2005,143,1257,93,1449,79,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2012,152,1246,69,1257,61,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1990,137,1258,111,1308,92,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1986,136,1330,72,1452,64,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2007,152,1196,76,1417,66,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2014,144,1246,74,1257,69,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2009,136,1163,103,1151,47,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1994,146,1196,74,1130,66,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1998,143,1112,87,1268,79,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2000,137,1242,81,1177,77,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",1
1993,138,1143,82,1181,77,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1991,137,1424,99,1285,65,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1995,136,1246,113,1291,67,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1997,144,1314,63,1143,57,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2002,136,1332,81,1285,62,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1991,136,1112,93,1384,80,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2003,136,1323,70,1454,69,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2013,138,1276,78,1433,53,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2009,139,1257,79,1373,72,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2005,139,1437,76,1196,65,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2008,138,1277,65,1338,54,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1988,146,1242,71,1243,58,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2002,139,1163,77,1301,74,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2005,144,1314,67,1437,66,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1995,145,1417,102,1163,96,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2002,138,1112,68,1461,60,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2003,138,1242,108,1113,76,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1986,154,1257,72,1181,69,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2009,136,1328,82,1288,54,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2007,136,1462,79,1140,77,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1992,146,1153,88,1272,57,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1988,137,1437,82,1116,74,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2003,139,1120,68,1448,62,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2001,144,1228,80,1242,64,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2002,139,1400,68,1280,64,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1994,138,1196,70,1335,58,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2006,137,1314,69,1293,65,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1993,138,1443,72,1371,68,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
1988,136,1328,94,1151,66,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2011,145,1139,74,1196,71,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",1
1994,138,1281,109,1458,96,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
2006,144,1163,98,1449,92,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",1
1988,152,1242,66,1181,59,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify your question?",0
