season,slot,strongseed,weakseed
1991,Рэйни,R2-Y1,R2Y4
1987,R1X-5,X05,СИСТЕМА ТРАДИЦИОННОГО ИНДЕКСА
2000,Рекс-1,R2X1,R2X4
2004,Р3З1,"Я не понимаю, о чем вы спрашиваете. Можете ли вы пояснить ваш запрос?",R2Z4
1986,Р1य5,5,12-й
1994,R1W5,W05,W12
1988,Р3З1,"Я не понимаю, о чем вы спрашиваете. Можете ли вы пояснить ваш запрос?",R2Z4
2003,R2Y2,Р1Y2,R1Y7
1996,Р4З1,Р3З1,Р3З2
2007,R2Y2,Р1Y2,R1Y7
2008,R1Х6,X06,X11
2010,Р1Y6,2006,"Y11: 11-й год после Y0 (от английского «Year Zero») или Y11, как иногда называют этот год, обозначает год в любой хронологии, который начинается с цифры «11» и заканчивается на «1». Он соответствует периоду с 2011 года по 2012 год включительно."
1986,R2Y3,Р1Я3,Р1Y6
2014,R2X4,R1Х4,R1X-5
2007,Рэйни,R2-Y1,R2Y4
1985,Р3З2,R2Z2,R2Z3
2003,R1W1,Ул61,В16
2002,R1V6,W06,В11
1990,R2Z3,R1З3,Р1З6
2005,R1W4,W04,W13
2002,Р1З1,Z01,З16
2001,Р6ЧХ,R5WХ,Р5YZ
1998,Р1В8,В08,W09
2008,В16,В16а,W16б
2014,Р2Х3,R1Х3,R1Х6
2006,R1В2,В02,W-15
1991,R2Z4,R1З4,Р1З5
1992,Р2В1,R2W1,Р2В4
2012,R1W1,Ул61,В16
1999,R1Y7,2007,Десятая серия
2010,Р2В1,R2W1,Р2В4
2014,R1Х3,X03,I14
2001,Р1З6,З06,З-11
2003,Р1Y2,1943,15 лет
2005,Р1З2,Зо2,З15
1988,Р1Y6,2006,"Y11: 11-й год после Y0 (от английского «Year Zero») или Y11, как иногда называют этот год, обозначает год в любой хронологии, который начинается с цифры «11» и заканчивается на «1». Он соответствует периоду с 2011 года по 2012 год включительно."
2006,Р1З5,Z05,Зи12
2007,"Я не понимаю, о чем вы спрашиваете. Можете ли вы пояснить ваш запрос?",Р1З1,R1З8
2008,R2-Y1,R1Y1,R1Y8
2009,Р1Х1,X01,X16
2010,Р1Х8,X08,ХХХ13
1992,Р1Х1,X01,X16
2006,Рекс-1,R2X1,R2X4
