season,seed,team
1988,X04,1243
1985,Зи-тридцать,1298
2013,W03,1266
1998,В07,1231
1999,В11,1245
1990,W06,1385
1987,Windows 10,1443
2005,W06,1403
2006,W04,1261
2002,Ул61,1268
2006,З03,1314
1991,W03,1329
2004,X16,1427
1998,В16,1298
1994,В16,1251
1993,Десять,1374
2011,Я16а,1114
2004,В07,1462
2004,З10,1305
2010,Зи-тридцать,1293
1994,X01,1345
2014,15 лет,1459
2002,З-11,1461
1997,Windows 10,1400
2011,W14,1232
1986,5,1104
1988,З06,1196
2011,1943,1196
1990,Я-13,1190
2011,З15,1103
1991,З03,1371
2006,W09,1423
1992,X06,1207
1986,8:00,1443
1999,X02,1428
2014,W09,1203
2011,Noo,1330
2014,0x07,1307
1987,Десятая серия,1261
1999,З16,1427
2012,Я16а,1290
2001,X16,1422
1988,W-15,1131
2009,X05,1228
1995,X06,1332
1998,Йо3,1390
1992,Я-16,1224
1995,W09,1387
1988,2006,1437
2012,W06,1153
1995,X13,1253
1988,В16,1250
2001,Z05,1438
2003,W05,1280
2006,Z01,1163
2005,I14,1429
2012,В07,1211
2011,X05,1112
1986,X08,1239
2010,З08,1211
1991,З08,1207
1988,W04,1231
2000,0x07,1409
1989,X15,1206
2012,З04,1257
1999,З08,1281
2003,Z05,1323
1991,2007,1234
1992,5,1277
2000,W13,1335
2014,"Я не знаю, что это за код или символы, но я могу помочь с переводом текста с английского на русский язык, если вы предоставите мне текст для перевода.",1107
1997,З03,1448
2007,Четверг,1268
2013,В02,1274
1998,З-11,1274
1994,Десять,1371
2004,Z01,1246
2008,З15,1125
2000,В11,1337
2006,Z05,1449
2007,Йо3,1332
1998,W03,1376
1998,X08,1397
1993,X06,1143
2011,Зи12,1350
2006,Ул61,1181
1996,X04,1428
1998,15 лет,1174
1988,X15,1185
1995,В02,1269
2003,I14,1407
1992,З-09,1163
2014,В02,1437
2001,З-09,1201
2000,W05,1196
1997,W05,1143
2005,З07,1150
1985,З15,1292
1986,Зи-тридцать,1419
1995,X16,1198
1997,W14,1330
2013,2001,1257
1999,I14,1308
1992,W03,1269
2012,З16,1254
2012,З03,1266
2005,2007,1153
2002,Зи12,1281
1995,З07,1235
2000,"Y11: 11-й год после Y0 (от английского «Year Zero») или Y11, как иногда называют этот год, обозначает год в любой хронологии, который начинается с цифры «11» и заканчивается на «1». Он соответствует периоду с 2011 года по 2012 год включительно.",1123
1993,З03,1435
1999,ХХХ13,1279
2004,Ул61,1181
1989,2006,1210
2000,СИСТЕМА ТРАДИЦИОННОГО ИНДЕКСА,1429
1988,X02,1338
2013,В07,1228
1990,X13,1343
2009,Noo,1373
1999,Зо2,1390
2007,З08,1246
2008,В08,1231
2004,З04,1242
1997,ХХХ13,1348
1990,З-09,1344
2011,З06,1207
2010,Я-13,1222
2012,Z01,1277
2011,В08,1206
2011,Зиб-11б,1433
2005,W12,1203
2011,X04,1400
2010,Зо2,1243
1998,5,1395
1990,Йо3,1281
2012,"Я не знаю, что это за код или символы, но я могу помочь с переводом текста с английского на русский язык, если вы предоставите мне текст для перевода.",1249
2012,Йо3,1124
2009,X04,1211
1988,З16,1165
2010,Ул61,1246
1998,З-09,1203
2009,З03,1281
2014,Десять,1390
1991,Noo,1177
1999,В08,1158
2013,X04,1276
1987,СИСТЕМА ТРАДИЦИОННОГО ИНДЕКСА,1222
2005,W-15,1151
2001,2007,1448
2011,X15,1294
2005,Ул61,1449
1998,Я-13,1434
2001,В08,1208
2006,X08,1116
1996,Я-13,1343
1999,W06,1396
2001,2006,1323
1986,ХХХ13,1396
2002,Зо2,1328
1991,5,1400
2012,W09,1379
1991,Четверг,1385
1996,X08,1453
2014,"""16 байт""",1291
1992,W14,1200
2002,X15,1285
2012,З-11,1161
1994,X06,1266
1996,В08,1133
2008,X15,1420
1990,W03,1181
2008,З08,1140
