driverstandingsid,raceid,driverid,points,position,positiontext,wins
67681,953,837,0.0,23,23,0
49978,751,519,0.0,39,39,0
53759,674,361,1.0,21,21,0
65252,872,813,29.0,15,15,1
45348,816,632,0.0,47,47,0
6825,291,123,0.0,17,17,0
66278,264,106,0.0,25,25,0
22590,481,192,1.0,26,26,0
50741,709,394,0.0,22,22,0
64670,852,16,24.0,12,12,0
16276,332,131,2.0,14,14,0
21352,446,189,0.0,30,30,0
46192,794,596,0.0,65,65,0
13869,47,25,13.0,9,9,0
64878,859,20,392.0,1,1,11
16277,332,138,2.0,15,15,0
58225,555,212,0.0,42,42,0
65653,885,16,16.0,11,11,0
59214,507,172,28.0,4,4,1
49115,768,536,0.0,66,66,0
66972,916,18,94.0,7,7,0
68439,982,1,263.0,1,1,7
46323,796,525,0.0,64,64,0
63630,727,373,54.0,1,1,6
46502,798,668,0.0,65,65,0
21381,447,185,0.0,30,30,0
17385,314,78,0.0,24,24,0
43415,837,647,8.0,6,6,0
11375,190,65,15.0,8,8,1
64180,351,29,0.0,25,25,0
18670,368,122,0.0,30,30,0
12256,116,4,39.0,5,5,0
18165,356,156,0.0,7,7,0
48836,694,374,2.0,13,13,0
55857,603,250,5.0,15,15,0
66404,268,30,76.0,1,1,7
52706,686,383,2.0,16,16,0
43908,830,725,0.0,54,54,0
57878,548,199,23.0,3,3,1
66690,903,821,0.0,17,17,0
58267,556,178,16.0,9,9,1
67513,941,832,12.0,15,15,0
50064,752,530,0.0,55,55,0
46832,790,579,30.0,1,1,3
58430,559,182,72.0,1,1,3
55307,590,232,0.0,21,21,0
16315,333,131,2.0,14,14,0
59153,505,219,0.0,24,24,0
66798,908,815,28.0,11,11,0
50904,715,370,0.0,33,33,0
4311,192,55,0.0,11,11,0
44297,820,525,0.0,20,20,0
21020,436,119,0.0,11,11,0
22155,469,119,4.0,8,8,0
23309,497,217,0.0,30,30,0
22808,485,172,1.0,12,12,0
16264,331,149,0.0,37,37,0
48605,735,435,3.0,13,13,0
65798,891,3,96.0,6,6,2
64323,75,31,10.0,8,8,0
62440,763,557,0.0,44,44,0
66757,906,820,0.0,20,20,0
13108,66,24,1.0,18,18,0
58956,499,206,3.0,6,6,0
54,21,7,2.0,13,13,0
7203,303,94,2.0,15,15,0
49447,773,588,0.0,78,78,0
51761,803,702,0.0,53,53,0
11832,128,63,2.0,12,12,0
51993,806,512,0.0,86,86,0
7245,304,131,1.0,17,17,0
22484,478,170,0.0,33,33,0
57607,539,246,0.0,42,42,0
66387,267,105,1.0,22,22,0
58585,516,200,0.0,14,14,0
