season,daynum,wteam,wscore,lteam,lscore,wloc,numot
2011,7,1228,79,1414,65,H,0
2011,7,1268,105,1370,76,H,0
2011,7,1338,83,1348,75,H,0
2011,7,1400,83,1298,52,H,0
2011,9,1228,84,1405,45,H,0
2011,9,1268,75,1158,74,H,0
2011,9,1338,97,1227,54,H,0
2011,9,1400,89,1256,58,H,0
2011,11,1104,76,1197,37,H,0
2011,11,1110,62,1384,52,H,0
2011,11,1111,89,1409,86,A,0
2011,11,1114,57,1374,47,A,0
2011,11,1122,64,1387,62,A,0
2011,11,1124,87,1212,52,H,0
2011,11,1130,79,1383,49,H,0
2011,11,1135,69,1200,65,A,0
2011,11,1140,83,1201,56,H,0
2011,11,1141,70,1168,67,N,0
2011,11,1145,80,1382,70,H,0
2011,11,1155,87,1441,64,H,0
2011,11,1156,71,1136,57,H,0
2011,11,1160,88,1226,80,H,0
2011,11,1163,79,1392,52,H,0
2011,11,1165,65,1107,61,A,0
1994,100,1185,68,1245,58,H,0
1994,75,1126,93,1299,83,A,0
2006,22,1217,70,1221,55,A,0
1989,63,1258,85,1453,83,H,0
1993,117,1208,81,1261,78,H,0
2009,36,1179,66,1235,63,A,0
1990,117,1279,75,1280,67,H,0
2009,61,1380,61,1411,51,H,0
2006,113,1242,76,1124,61,H,0
2008,107,1436,94,1216,82,H,0
1999,103,1385,88,1338,60,A,0
1997,42,1439,66,1422,50,H,0
2007,64,1287,62,1398,60,H,0
1997,54,1328,82,1345,58,H,0
2002,36,1231,76,1323,75,H,0
2002,77,1422,104,1190,92,H,0
1988,73,1173,79,1177,72,A,0
2004,25,1456,80,1383,60,N,0
2002,104,1438,85,1155,71,H,0
1991,122,1121,62,1421,53,N,0
2007,26,1393,81,1145,71,A,0
2004,77,1403,67,1328,47,H,0
1986,121,1396,73,1203,54,H,0
2001,131,1169,73,1186,58,H,0
1993,94,1372,63,1402,62,H,0
1987,82,1227,89,1183,69,A,0
2014,131,1409,69,1256,60,N,0
2012,50,1342,75,1202,71,H,0
1989,47,1257,92,1329,90,H,0
1995,79,1207,70,1194,55,A,0
1999,86,1185,56,1141,53,H,0
1992,53,1328,118,1287,99,N,0
1997,72,1442,67,1464,56,H,0
2008,12,1402,86,1240,83,N,0
2012,20,1313,66,1395,53,N,0
1990,45,1187,72,1144,62,H,0
2003,45,1372,103,1238,79,H,0
1994,70,1151,82,1440,62,H,0
2002,130,1218,90,1305,68,N,0
1997,84,1351,71,1265,56,H,0
1992,124,1257,79,1439,59,H,0
2001,126,1275,69,1103,56,H,0
1993,100,1202,95,1190,71,H,0
1996,98,1404,75,1399,71,H,0
2002,103,1458,73,1321,44,H,0
1991,68,1267,90,1154,81,A,0
2003,93,1403,75,1304,49,H,0
2001,129,1307,76,1161,65,N,0
1985,80,1432,64,1434,47,A,0
2007,120,1338,80,1452,66,H,0
1997,80,1143,80,1333,70,A,0
2002,52,1285,78,1298,61,N,0
