country,population_growth,infant_mortality
MEX,1.87,25.0
SUD,3.48,76.0
REUN,1.93,7.5
GCA,2.48,50.7
AXA,2.27,3.52
GUY,-0.9,51.4
NL,0.56,4.9
BI,1.54,102.2
UAE,4.33,20.4
RSA,1.76,48.8
NORF,,
F,0.34,5.3
V,,
MACX,1.15,5.3
TAD,1.54,113.1
SME,1.6,29.3
CAM,2.89,78.7
RT,3.56,84.3
RG,1.85,134.1
SMAR,,
RI,1.53,63.1
EAK,2.27,55.3
RIM,3.17,81.7
RWA,16.49,118.8
LB,2.13,108.1
CDN,1.06,6.1
J,0.21,4.4
MOC,2.65,125.6
SA,3.45,46.4
WSA,2.46,145.82
STP,2.58,61.1
VN,1.57,38.4
SN,3.37,64.0
ZW,1.41,72.8
BS,1.05,23.3
TO,0.82,40.26
FL,1.08,5.3
GUAM,1.37,6.05
C,0.44,9.0
GR,0.42,7.4
PR,0.34,8.42
AL,1.34,49.2
GAZA,4.55,30.6
LV,-1.39,21.2
PL,0.14,12.4
RL,2.16,36.7
JA,0.8,15.6
FPOL,1.39,7.55
OM,3.53,27.3
M,1.01,6.9
WAN,3.05,72.4
LAO,2.81,96.8
COCO,,
AFG,4.78,149.7
E,0.16,6.3
SRB,-0.47,6.75
BF,2.53,117.8
TUCA,2.56,13.89
