country1,country2,length
N,S,1619.0
ARM,AZ,787.0
CAM,WAN,1690.0
KOS,MK,159.0
GCA,HCA,256.0
BOL,RCH,861.0
IRQ,JOR,181.0
E,P,1214.0
ET,SUD,1273.0
DZ,RIM,463.0
BY,PL,605.0
RO,SRB,476.0
H,RO,443.0
SK,UA,90.0
DZ,RN,956.0
IR,PK,909.0
EAK,SP,682.0
MYA,TJ,2185.0
AFG,TJ,76.0
Q,SA,60.0
PL,SK,444.0
F,MC,4.4
RCA,ZRE,1577.0
RMM,SN,419.0
EAT,ZRE,459.0
AL,KOS,112.0
EAK,EAU,933.0
BG,MK,148.0
CR,NIC,309.0
PK,TJ,523.0
SUD,ZRE,628.0
GNB,RG,386.0
DJI,SP,58.0
LT,PL,91.0
CI,RG,610.0
BF,RT,126.0
MD,RO,450.0
EW,R,290.0
EAT,MW,475.0
NOK,TJ,1416.0
MNE,SRB,124.0
ET,GAZA,11.0
KGZ,UZB,1099.0
RSA,ZW,225.0
CI,RMM,532.0
GNB,SN,338.0
RSA,SD,430.0
KAZ,KGZ,1051.0
IND,MYA,1463.0
AFG,UZB,137.0
BIH,HR,932.0
BR,ROU,985.0
IRQ,SYR,605.0
DZ,MA,1559.0
BZ,MEX,250.0
NAM,Z,233.0
A,D,784.0
AZ,R,284.0
BOL,BR,3400.0
LAO,MYA,235.0
TAD,TJ,414.0
D,PL,456.0
EAT,EAU,396.0
AFG,PK,2430.0
RG,RMM,858.0
RIM,RMM,2237.0
BEN,BF,306.0
KGZ,TJ,858.0
RA,ROU,579.0
SA,UAE,457.0
A,H,366.0
CZ,D,646.0
