name,area,depth,altitude,type,river,longitude,latitude
Arresoe,40.2,5.6,,,,12.1,56.0
Salar de Uyuni,10582.0,0.0,3650.0,salt,,-67.5,-20.1
Lake Irazu,1.0,,3200.0,acid,,-83.9,10.0
Lake Ohrid,367.0,289.0,695.0,,Black Drin,20.7,41.0
Ozero Tschany,2500.0,106.0,10.0,,,77.5,54.9
Daryacheh ye Namak,1800.0,1.0,790.0,salt,,51.88,34.5
Great Slave Lake,28568.0,614.0,156.0,,Mackenzie River,-113.9,61.7
Paeijaenne,1118.0,95.0,78.0,,Kymijoki,25.4,61.5
Lop Nor,5000.0,0.0,780.0,salt,,90.6,40.2
Chiemsee,80.0,73.0,518.0,,Alz,12.4,47.9
Lake Prespa,273.0,54.0,849.0,,,21.0,40.9
Lake Victoria,68870.0,85.0,1134.0,,Victoria Nile,33.0,-1.0
Neusiedlersee,320.0,1.8,115.5,,,16.7,47.8
Lake Tahoe,497.0,501.0,1900.0,,Truckee River,-120.0,39.0
Lake Sese Seko/Albertsee,5347.0,48.0,619.0,,Bahr el-Djebel/Albert-Nil,30.9,1.7
Lake Eyasi,1050.0,,1030.0,salt,,35.0,-3.6
Lake Hume,202.0,,,,Murray River,147.0,-36.1
Bodensee,538.5,254.0,395.0,,Rhein,9.4,47.6
Lake Cabora-Bassa,2800.0,,326.0,artificial,Zambezi,32.7,-15.6
Loch Lomond,71.0,190.0,7.9,,,-4.59,56.08
Lago Trasimeno,128.0,7.0,259.0,caldera,,12.1,43.1
Lake Rukwa,5760.0,5.0,800.0,salt,,32.35,-8.0
Lake Oahe,1453.0,,,artificial,Missouri,-100.4,44.45
Lake Tanganjika,32893.0,1470.0,782.0,,Lukuga,30.0,-6.0
Atlin Lake,798.0,283.0,668.0,,Yukon River,-133.75,59.5
Ozero Aral,17160.0,35.0,31.0,salt,,59.62,44.81
Mjoesa-See,368.0,449.0,123.0,,Lagen,11.0,60.65
Vaettern,1900.0,119.0,88.0,,,14.5,58.3
Chew Bahir,800.0,7.5,520.0,salt,,36.85,4.7
Qinghai Lake,4583.0,,3195.0,salt,,100.2,36.9
Pyramid Lake,487.0,108.0,1155.0,salt,,-119.57,40.03
Ozero Ladoga,18400.0,225.0,4.0,,Newa,31.53,60.82
Hamun e Jaz Murian,1600.0,,500.0,salt,,61.2,30.8
Lago di Garda ,370.0,346.0,65.0,,Mincio,10.65,45.6
Lake Manicouagan,1942.0,,350.0,impact,,-68.7,51.4
Crater Lake,53.2,594.0,1883.0,caldera,,-122.1,42.9
Lake Managua,1035.0,20.0,39.0,,Rio San Juan,-86.4,12.35
