desert,country,province
Syrian Desert,SA,Saudi Arabia
Colorado Plateau,USA,Colorado
Mojave,USA,Utah
Rigestan,PK,Pakistan
Ryn,R,Astrakhanskaya oblast
Kalahari,Z,Western
Hamada du Draa,MA,Morocco
Gobi,MNG,Mongolia
Red Centre,AUS,Northern Territory
Trarza,RIM,Mauritania
Dascht-e-Kavir,IR,Yazd
Simpson Desert,AUS,Queensland
Tanami,AUS,Northern Territory
Kalahari,ANG,Moxico
Chihuahua,USA,Arizona
Rub Al Chali,OM,Oman
Djourab,TCH,Chad
Great Basin,USA,Utah
Gibson Desert,AUS,Western Australia
Gobi,TJ,Ningxia Huizu
Namib,NAM,Namibia
Saguia el-Hamra,WSA,Western Sahara
Sturt Desert,AUS,New South Wales
Erg Rebiana,LAR,Libya
Kysylkum,UZB,Jizzakh
TaklaMakan,TJ,Xinjiang Uygur
Mujunkum,KAZ,Zhambyl
Rub Al Chali,UAE,Dubayy
Syrian Desert,JOR,Jordan
Sonora,USA,California
Nullarbor Plain,AUS,Western Australia
Chihuahua,USA,New Mexico
Ust Urt,KAZ,Mangghystau
Azaouad,DZ,Algeria
Thar,IND,Haryana
Kalahari,RB,Botswana
Owyhee,USA,Oregon
Kalahari,NAM,Namibia
Ferlo,SN,Louga
Karakum,TM,Ahal
Erg Igidi,DZ,Algeria
Ferlo,SN,Tambacounda
Colorado Plateau,USA,Utah
Thar,PK,Pakistan
Kalahari,ANG,Cuando Cubango
Karakum,TM,Balkan
Dascht-e-Kavir,IR,Tehran
Rub Al Chali,UAE,Ras al Khaymah
Great Basin,USA,Nevada
Great Victoria Desert,AUS,Western Australia
Erg Igidi,RMM,Mali
Syrian Desert,SYR,Syria
Tenere,RN,Niger
Karakum,TM,Leban
Dascht-e-Lut,IR,Sistan e Baluchestan
Kysylkum,UZB,Samarqand
