city,province,country,river,lake,sea
Erzurum,Erzurum,TR,Karasu,,
Hualien,Taiwan,RC,,,Pacific Ocean
Lappeenrenta,Kymi,SF,,Saimaa,
Aqtau,Mangghystau,KAZ,,Caspian Sea,
Piacenza,Emilia Romagna,I,Po,,
Resistencia,Chaco,RA,Parana,,
Kanazawa,Ishikawa,J,,,Sea of Japan
Colwyn Bay,Aberconwy and Colwyn,GB,,,Irish Sea
Pusan,South Korea,ROK,,,Sea of Japan
Douglas,Man,GBM,,,Irish Sea
El Giza,El Giza,ET,Nile,,
Manila,Philippines,RP,,,South China Sea
Rabat,Morocco,MA,,,Atlantic Ocean
Quebec,Quebec,CDN,Saint Lawrence River,,
Baghdad,Baghdad,IRQ,Tigris,,
Guadalajara,Jalisco,MEX,Rio Lerma,,
Malakal,Aali an Nil,SUD,White Nile,,
Charlottetown,Prince Edward Island,CDN,,,Atlantic Ocean
Hammerfest,Finnmark,N,,,Barents Sea
Dededo,Guam,GUAM,,,Pacific Ocean
Buffalo,New York,USA,,Lake Erie,
Nice,Provence Cote dAzur,F,,,Mediterranean Sea
Bratislava,Slovakia,SK,Donau,,
Ulm,Baden Wurttemberg,D,Donau,,
Castellon de la Plana,Valencia,E,,,Mediterranean Sea
Townsville,Queensland,AUS,,,Pacific Ocean
Adamstown,Pitcairn Islands,PITC,,,Pacific Ocean
Saint Peter Port,Guernsey,GBG,,,The Channel
Vancouver,British Columbia,CDN,,,Pacific Ocean
Koblenz,Rheinland Pfalz,D,Mosel,,
Khartoum,al Khartum,SUD,Nile,,
Tegal,Indonesia,RI,,,Sunda Sea
Djibouti,Djibouti,DJI,,,Gulf of Aden
Campeche,Campeche,MEX,,,Gulf of Mexico
Valencia,Valencia,E,,,Mediterranean Sea
Liege,Liege,B,Maas,,
Belgrade,Serbia,SRB,Save,,
Abu Dhabi,Abu Dhabi,UAE,,,Persian Gulf
Panama City,Panama,PA,,,Pacific Ocean
Matadi,Bas Zaire,ZRE,Zaire,,
Oslo,Oslo,N,,,Skagerrak
Dar es Salaam,Daressalam,EAT,,,Indian Ocean
La Spezia,Liguria,I,,,Mediterranean Sea
Riga,Latvia,LV,Western Dwina,,Baltic Sea
Khabarovsk,Khabarovskiy kray,R,Amur,,
Mariestad,Skaraborg,S,,Vaenern,
Sao Paulo,Sao Paulo,BR,,,Atlantic Ocean
Stavanger,Rogaland,N,,,North Sea
Kunsan,South Korea,ROK,,,Yellow Sea
Chalons en Champagne,Champagne Ardenne,F,Marne,,
Halifax,Nova Scotia,CDN,,,Atlantic Ocean
Magdeburg,Sachsen Anhalt,D,Elbe,,
Durres,Albania,AL,,,Mediterranean Sea
Yakutsk,Rep. of Sakha,R,Lena,,
Pago Pago,American Samoa,AMSA,,,Pacific Ocean
Nagoya,Aichi,J,,,Pacific Ocean
Tokushima,Tokushima,J,,,Pacific Ocean
Newport News,Virginia,USA,,,Atlantic Ocean
Sao Tome,Sao Tome and Principe,STP,,,Atlantic Ocean
Rome,Lazio,I,Tiber,,
Yichang,Hubei,TJ,Jangtse,,
Guayaquil,Ecuador,EC,,,Pacific Ocean
Pekalongan,Indonesia,RI,,,Sunda Sea
Marseille,Provence Cote dAzur,F,,,Mediterranean Sea
Kenitra,Morocco,MA,,,Atlantic Ocean
Turku,Turku-Pori,SF,,,Baltic Sea
Besancon,Franche Comte,F,Doubs,,
Kochi,Kochi,J,,,Pacific Ocean
Bamako,Mali,RMM,Niger,,
Al Hillah,Babil,IRQ,Euphrat,,
El Minya,El Minya,ET,Nile,,
Szolnok,Szolnok,H,Theiss,,
Kassel,Hessen,D,Fulda,,
Kagoshima,Kagoshima,J,,,East China Sea
Wuhu,Anhui,TJ,Jangtse,,
Duisburg,Nordrhein Westfalen,D,Rhein,,
Boulogne Billancourt,Ile de France,F,Seine,,
Thunder Bay,Ontario,CDN,,Lake Superior,
Szczecin,Szczecinskie,PL,Oder,,
Manama,Bahrain,BRN,,,Persian Gulf
Buenos Aires,Distrito Federal,RA,Parana,,
Chongqing,Sichuan,TJ,Jangtse,,
Smolensk,Smolenskaya oblast,R,Dnepr,,
Belem,Para,BR,Tocantins,,Atlantic Ocean
Norfolk,Virginia,USA,,,Atlantic Ocean
Boston,Massachusetts,USA,,,Atlantic Ocean
Al Amarah,Maysan,IRQ,Tigris,,
Brighton,East Sussex,GB,,,The Channel
Puntarenas,Puntarenas,CR,,,Pacific Ocean
St. Louis,Missouri,USA,Mississippi,,
