country,continent,percentage
AFG,Asia,100.0
ARM,Asia,100.0
AZ,Asia,100.0
BD,Asia,100.0
BHT,Asia,100.0
BRN,Asia,100.0
BRU,Asia,100.0
CL,Asia,100.0
ET,Asia,10.0
GAZA,Asia,100.0
GE,Asia,100.0
HONX,Asia,100.0
IL,Asia,100.0
IND,Asia,100.0
IR,Asia,100.0
IRQ,Asia,100.0
J,Asia,100.0
JOR,Asia,100.0
K,Asia,100.0
KAZ,Asia,100.0
KGZ,Asia,100.0
KWT,Asia,100.0
LAO,Asia,100.0
MACX,Asia,100.0
MAL,Asia,100.0
MNG,Asia,100.0
MV,Asia,100.0
MYA,Asia,100.0
NEP,Asia,100.0
NOK,Asia,100.0
OM,Asia,100.0
PK,Asia,100.0
Q,Asia,100.0
R,Asia,80.0
RC,Asia,100.0
RI,Asia,80.0
RL,Asia,100.0
ROK,Asia,100.0
RP,Asia,100.0
SA,Asia,100.0
SGP,Asia,100.0
SYR,Asia,100.0
TAD,Asia,100.0
THA,Asia,100.0
TJ,Asia,100.0
TL,Asia,100.0
TM,Asia,100.0
TR,Asia,95.0
UAE,Asia,100.0
UZB,Asia,100.0
VN,Asia,100.0
