country,name,percentage
TUV,Polynesian,96.0
SK,Ruthenian,0.3
BR,African,44.0
SRB,Hungarian,3.9
IND,Indo-Aryan,72.0
NAU,European,8.0
MK,Serb,2.0
BZ,Creole,30.0
RC,Chinese,14.0
RIM,Black Maur,40.0
IRQ,Kurdish,15.0
KGZ,Uzbek,12.9
MAL,Indian,9.0
A,German,99.4
MYA,Indian,2.0
HR,Slovene,0.5
TAD,Uzbek,25.0
LV,Polish,2.3
GB,Irish,2.4
MNG,Chinese,2.0
MNG,Mongol,90.0
CAM,Eastern Nigritic,7.0
GUAD,Chinese,5.0
R,Bashkir,0.9
MK,Turkish,4.0
SME,Creole,31.0
RB,Kgalagadi,4.0
KWT,Iranian,4.0
BG,Bulgarian,85.3
SRB,Croat,1.1
IR,Azerbaijani,24.0
GB,Scottish,9.6
HR,Croat,78.0
D,Polish,0.4
PL,Ukrainian,0.6
WAFU,Polynesian,100.0
TM,Uzbek,9.0
BHT,Nepalese,35.0
NA,Mixed Black,85.0
KAZ,Ukrainian,5.2
EAK,Luo,13.0
HELX,African descent,50.0
SYR,Arab,90.3
LT,Russian,8.6
RN,Djerma,22.0
ANG,Ovimbundu,37.0
IR,Lur,2.0
LAO,Lao Soung Hmong Yao,9.0
WAG,African,99.0
ZW,Asian,1.0
CDN,Inuit,1.5
B,Fleming,55.0
SME,Javanese,15.3
SD,European,3.0
WAL,African,99.0
CAM,Northwestern Bantu,8.0
AZ,Azeri,90.0
DJI,Afar,35.0
ANG,European,1.0
SK,Hungarian,10.7
SME,Europeans,1.0
MS,Creole,27.0
TUCA,African,90.0
UZB,Karakalpak,2.1
RI,Madurese,7.5
MA,Arab-Berber,99.1
IR,Kurd,7.0
BF,Mossi,24.0
NCA,Vietnamese,1.4
GUY,Amerindian,4.0
BIH,Serb,40.0
ETH,Afar,4.0
MACX,Chinese,95.0
H,Roma,4.0
TM,Kazak,2.0
STP,Europeans,100.0
IND,Mongol,3.0
XMAS,Chinese,70.0
HR,Hungarian,0.5
BOL,Aymara,25.0
LS,Sotho,99.7
EAU,Karamojong,12.0
RO,Roma,1.6
DZ,Arab-Berber,99.0
TN,Arab-Berber,98.0
