abbreviation,name,city,country,province,established
ESCAP,Economic and Social Commission for Asia and the Pacific,Bangkok,THA,Thailand,1947-03-28
BDEAC,Central African States Development Bank,Brazzaville,RCB,Congo,1975-12-03
ZC,Zangger Committee,,,,
WToO,World Tourism Organization,Madrid,E,Madrid,1975-01-02
SACU,Southern African Customs Union,Pretoria,RSA,Gauteng,1969-12-11
IEA,International Energy Agency,Paris,F,Ile de France,1974-11-15
OAPEC,Organization of Arab Petroleum Exporting Countries,,,,1968-01-09
UNTSO,United Nations Truce Supervision Organization,Jerusalem,IL,Central,1948-05-01
BSEC,Black Sea Economic Cooperation Zone,,,,1992-06-25
Mercosur,Southern Cone Common Market,Buenos Aires,RA,Distrito Federal,1991-03-26
ECE,Economic Commission for Europe,Geneva,CH,GE,1947-03-28
CE,Council of Europe,Strasbourg,F,Alsace,1949-05-05
WMO,World Meteorological Organization,Geneva,CH,GE,1947-10-11
ACC,Arab Cooperation Council,,,,1989-02-16
AfDB,African Development Bank,Abidjan,CI,Cote dIvoire,1963-08-04
ABEDA,Arab Bank for Economic Development in Africa,Khartoum,SUD,al Khartum,1974-02-18
AMF,Arab Monetary Fund,Abu Dhabi,UAE,Abu Dhabi,1976-04-27
G-15,Group of 15,Geneva,CH,GE,
OECD,Organization for Economic Cooperation and Development,Paris,F,Ile de France,1960-12-14
AMU,Arab Maghreb Union,Rabat,MA,Morocco,1989-02-17
UNMIH,United Nations Mission in Haiti,New York,USA,New York,1993-09-23
AL,Arab League,Cairo,ET,El Qahira,1945-03-22
ICAO,International Civil Aviation Organization,Montreal,CDN,Quebec,1944-12-07
CBSS,Council of the Baltic Sea States,,,,1992-03-05
UNRWA,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Vienna,A,Vienna,1949-12-08
UNAMIR,United Nations Assistance Mission for Rwanda,New York,USA,New York,1993-10-05
IAEA,International Atomic Energy Agency,Vienna,A,Vienna,1956-10-26
AG,Andean Group,Lima,PE,Lima,1969-05-26
ACCT,Agency for Cultural and Technical Cooperation,Paris,F,Ile de France,1970-03-21
Inmarsat,International Mobile Satellite Organization,London,GB,Greater London,1976-09-03
NIB,Nordic Investment Bank,Helsinki,SF,Uusimaa,1975-12-04
G-10,Group of 10,Paris,F,Ile de France,1962-10-01
UNOMIL,United Nations Observer Mission in Liberia,New York,USA,New York,1993-09-22
OECS,Organization of Eastern Caribbean States,Castries,WL,Saint Lucia,1981-06-18
ASEAN,Association of Southeast Asian Nations,Jakarta,RI,Indonesia,1967-08-09
