island,sea,lake,river
Uvea,Pacific Ocean,,
Southampton Island,Arctic Ocean,,
Trinidad,Caribbean Sea,,
Aland,Baltic Sea,,
Falster,Baltic Sea,,
Sokotra,Indian Ocean,,
Hispaniola,Caribbean Sea,,
Cangaroo Island,Indian Ocean,,
Norderney,North Sea,,
Panay,Sulawesi Sea,,
Tutuila,Pacific Ocean,,
Antigua,Atlantic Ocean,,
Prince Edward Island,Atlantic Ocean,,
Saipan,Pacific Ocean,,
Antigua,Caribbean Sea,,
Fongafale,Pacific Ocean,,
Sao Miguel,Atlantic Ocean,,
Cuba,Caribbean Sea,,
Honshu,Pacific Ocean,,
Streymoy,Norwegian Sea,,
Cuba,Gulf of Mexico,,
Santiago,Atlantic Ocean,,
Saint Thomas,Atlantic Ocean,,
Svalbard,Arctic Ocean,,
Guernsey,The Channel,,
Jamaica,Caribbean Sea,,
Cuba,Atlantic Ocean,,
Sokotra,Gulf of Aden,,
Little Cayman,Caribbean Sea,,
Cayman Brac,Caribbean Sea,,
Niue,Pacific Ocean,,
Hainan,South China Sea,,
Java,Sunda Sea,,
Helgoland,North Sea,,
Bougainville,Pacific Ocean,,
Saint Kitts,Caribbean Sea,,
Melville Island,Indian Ocean,,
Savaii,Pacific Ocean,,
Rene Levasseur Island,,Lake Manicouagan,
Montserrat,Atlantic Ocean,,
North Caicos,Atlantic Ocean,,
Iceland,Norwegian Sea,,
Santa Maria,Atlantic Ocean,,
Formentera,Mediterranean Sea,,
Amrum,North Sea,,
Sumatra,Sunda Sea,,
Hawaii,Pacific Ocean,,
Grand Turk,Atlantic Ocean,,
