country,organization,type
UZB,Interpol,member
CH,UNPREDEP,member
GCA,ICFTU,member
CL,IAEA,member
P,Intelsat,member
CDN,NATO,member
MA,IAEA,member
EC,LAIA,member
WAG,OIC,member
P,OSCE,member
BR,G-11,member
GH,WCL,member
S,WEU,observer
TAD,IFC,member
CAM,UNESCO,member
YV,IAEA,member
MAL,WHO,member
IR,ICC,member
AL,IFC,member
ES,ECLAC,member
DK,Interpol,member
NZ,WIPO,member
TN,WHO,member
EAK,IMF,member
JOR,ICAO,member
RCH,IADB,member
RM,IFRCS,member
GUY,ITU,member
IL,WIPO,member
TR,ISO,member
TN,ABEDA,member
MNG,UNIDO,member
CZ,IOC,National Olympic Committee
BR,IFC,member
LB,ITU,member
GB,IEA,member
NAM,WCL,member
RM,ITU,member
