name,area,longitude,latitude
Ordos,90000.0,108.0,38.0
Atacama,181300.0,-69.25,-24.5
Simpson Desert,176500.0,137.0,-25.0
Erg Chech,10000.0,-3.0,25.0
Talak,100000.0,6.0,17.0
Colorado Plateau,337000.0,-110.0,36.0
Arabian Desert,50000.0,26.0,33.0
Saguia el-Hamra,25000.0,-10.0,27.0
Baja California Desert,30000.0,-116.0,31.0
Great Salt Lake Desert,10360.0,-114.0,41.0
Sturt Desert,13000.0,141.0,-29.0
Dascht-e-Margoh,40000.0,62.0,31.0
Fesan,300000.0,13.0,26.0
TaklaMakan,300000.0,82.0,38.0
Dascht-e-Kavir,77600.0,55.0,32.5
Erg Rebiana,200000.0,22.0,23.0
Grand Erg Ouest,200000.0,-1.0,30.0
Chihuahua,360000.0,-105.0,31.0
Red Centre,1000000.0,135.0,-26.0
Kum Tagh,22000.0,92.0,40.0
Erg Maqteir,40000.0,-11.0,22.0
Syrian Desert,518000.0,39.0,33.0
Erg Isaouane,80000.0,8.0,28.0
Ferlo,70000.0,-14.0,15.0
Libyan Desert,1100000.0,,
Great Basin,300000.0,-117.0,38.0
Gobi,1000000.0,105.0,41.0
Karakum,400000.0,60.0,40.0
Namib,95000.0,15.0,-25.0
Kysylkum,200000.0,65.0,44.0
Erg Igidi,150000.0,-5.0,27.0
Darfur,500000.0,27.0,15.0
Tenere,600000.0,11.0,18.0
Ryn,80000.0,47.0,48.0
Tanezrouft,160000.0,0.0,23.0
Hamada al-Hamra,84000.0,12.0,30.0
Rigestan,25000.0,65.0,30.0
Erdi Ennedi,180000.0,22.0,18.0
Kalahari,1200000.0,21.0,-22.0
Mojave,57000.0,-115.2,36.2
Djourab,100000.0,18.0,17.0
Nefud,78000.0,42.0,28.0
Erg Ouarane,80000.0,-11.0,21.0
Great Sandy Desert,360000.0,123.0,-20.0
