sea1,sea2
North Sea,Norwegian Sea
Atlantic Ocean,Indian Ocean
South China Sea,Sulawesi Sea
Arctic Ocean,Sibirian Sea
Arctic Ocean,Barents Sea
East China Sea,Yellow Sea
Atlantic Ocean,North Sea
Kattegat,Skagerrak
Atlantic Ocean,Irish Sea
Arabian Sea,Gulf of Aden
Andaman Sea,Malakka Strait
Andaman Sea,Gulf of Bengal
Gulf of Aden,Indian Ocean
Pacific Ocean,Sulawesi Sea
North Sea,Skagerrak
East China Sea,Sea of Japan
Pacific Ocean,Sea of Japan
Indian Ocean,Pacific Ocean
Bering Sea,Pacific Ocean
Arabian Sea,Gulf of Oman
Malakka Strait,South China Sea
Atlantic Ocean,Gulf of Mexico
Pacific Ocean,Sea of Okhotsk
Gulf of Bengal,Sunda Sea
Baltic Sea,North Sea
East China Sea,Pacific Ocean
