mountain,island
Kerinci,Sumatra
Puncak Jaya,New Guinea
Piton des Neiges,Reunion
Mt.Victoria,Viti Levu
Piton de la Fournaise,Reunion
Kanlaon,Negros
Mt. Odin,Baffin Island
Tsiafajavona,Madagaskar
Mount Apo,Mindanao
Gunung Agung,Bali
Pelee,Martinique
Krakatau,Krakatau
Mauna Loa,Hawaii
Roque de los Muchachos,La Palma
Mantalingajan,Palawan
Queen Marys Peak,Tristan Da Cunha
Soufriere Hills,Montserrat
Pico de los Nieves,Gran Canaria
Rantekombola,Sulawesi
Asahi-Dake,Hokkaido
Gunung Binaiya,Ceram
La Soufriere,Basse-Terre
Concepcion,Isla da Ometepe
Haleakala,Maui
Oraefajokull,Iceland
Fogo,Fogo
Leuser,Sumatra
Pico,Pico
Blue Mountain Peak,Jamaica
Barbeau Peak,Ellesmere Island
Semeru,Java
Tambora,Sumbawa
Yu Shan,Taiwan
Zhima,Olkhon
Pico de Teide,Teneriffa
Pulog,Luzon
Ben Nevis,Great Britain
Soufriere,Saint Vincent
Snaefell,Iceland
Morne Diablotins,Dominica
Ruapehu,Te Ika-a-Maui (North Island)
Mt. Babel,Rene Levasseur Island
Psiloritis,Kreta
Pico de Sao Tome,Sao Tome
Monte Cinto,Corse
Merapi,Java
Olympos,Cyprus
Mt. Cook,Te Waka-a-Maui (South Island)
Etna,Sicilia
Pinatubo,Luzon
Andringitra,Madagaskar
Mauna Kea,Hawaii
Cerro de Punta,Puerto Rico
Kinabalu,Borneo
Rinjani,Lombok
Mt. Giluwe,New Guinea
Mt. Wilhelm,New Guinea
Silisili,Savaii
Pico Turquino,Cuba
Tatamailau,Timor
Mt. Balbi,Bougainville
Popomanaseu,Guadalcanal
Pico Ruivo,Madeira
Pico Duarte,Hispaniola
Pico Basile,Bioko
Mont Orohena,Tahiti
Tsaratanana,Madagaskar
