country,independence,dependent,government
V,1929-02-11,,monarchical sacerdotal state
DZ,1962-07-05,,republic
AL,1912-11-28,,emerging democracy
TUCA,,GB,British Overseas Territories
GNB,1974-09-10,,republic
TJ,,,Communist state
UZB,1991-08-31,,republic
SGP,1965-08-09,,republic within Commonwealth
EAU,1962-10-09,,republic
KIR,1979-07-12,,republic
WV,1979-10-27,,constitutional monarchy
STP,1975-07-12,,republic
GBZ,,GB,dependent territory of the UK
RSA,1910-05-31,,republic
ROK,,,republic
FSM,1986-11-03,,constitutional government in free association with the US
NZ,1907-09-26,,parliamentary democracy
PAL,1994-10-01,,constitutional government in free association with the US
YV,1811-07-05,,republic
SRB,2006-06-05,,parliamentary democracy
MD,1991-08-27,,republic
EC,1822-05-24,,republic
JA,1962-08-06,,parliamentary democracy
SF,1917-12-06,,republic
BIH,1992-04-01,,emerging democracy
CAM,1960-01-01,,unitary republic
TO,1970-06-04,,hereditary constitutional monarchy
TN,1956-03-20,,republic
CH,,,federal republic
