lake,country,province
Lake Winnipeg,CDN,Manitoba
Lake Toba,RI,Indonesia
Lake Kariba,Z,Southern
Lake Tana,ETH,Ethiopia
Lake Maracaibo,YV,Trujillo
Caspian Sea,IR,Gilan
Vaenern,S,Varmland
Lop Nor,TJ,Xinjiang Uygur
Chad Lake,WAN,Nigeria
Lago di Bolsena,I,Lazio
Thunersee,CH,BE
Lac Leman,CH,VD
Lake Oahe,USA,North Dakota
Lake Huron,CDN,Ontario
Caspian Sea,KAZ,Atyrau
Lake Ngami,RB,Botswana
Lake Superior,CDN,Ontario
Lago di Bracciano,I,Lazio
Ozero Baikal,R,Irkutskaya oblast
Lac Leman,CH,GE
Lake Keban,TR,Tunceli
Lake Tanganjika,BI,Burundi
Lake Michigan,USA,Illinois
Ozero Balchash,KAZ,Zhezkazghan
Lake Bosumtwi,GH,Ghana
Vierwaldstattersee,CH,UR
Lake Irazu,CR,Cartago
Lake Ohrid,MK,Macedonia
Lake Genezareth,IL,North
Atlin Lake,CDN,Yukon Territory
Saimaa,SF,Kymi
Hamun e Jaz Murian,IR,Kerman
Zurichsee,CH,SZ
Lago di Garda ,I,Veneto
Lake Okeechobee,USA,Florida
Lake Sese Seko/Albertsee,EAU,Uganda
Lake Huron,USA,Michigan
Ozero Onega,R,Vologodskaya oblast
Vierwaldstattersee,CH,NW
Lake Oahe,USA,South Dakota
Dead Sea,WEST,West Bank
Ozero Chanka,R,Primorsky kray
Arresoe,DK,Denmark
Lake Natron,EAT,Arusha
Chew Bahir,EAK,Eastern
Poopo,BOL,Bolivia
Paeijaenne,SF,Suomi
Lake Erie,USA,Ohio
Lac Leman,CH,VS
Lago di Garda ,I,Lombardia
Lake Champlain,CDN,Quebec
Pyramid Lake,USA,Nevada
Lake Victoria,EAU,Uganda
Chad Lake,RN,Niger
Lake Kariba,ZW,Zimbabwe
Hamun e Jaz Murian,IR,Sistan e Baluchestan
Lake Tanganjika,EAT,Tabora
Lake Abbe,DJI,Djibouti
Laguna Mar Chiquita,RA,Cordoba
Lake Malawi,EAT,Iringa
Chad Lake,TCH,Chad
Lake Turkana,EAK,Eastern
Crater Lake,USA,Oregon
Mjoesa-See,N,Hedmark
Lake Erie,USA,Michigan
