name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Ganges,,,Gulf of Bengal,2511.0,79.5,30.5,,,90.0,22.0
Oranje,,,Atlantic Ocean,2160.0,28.5,-28.5,Drakensberge,1800.0,16.4,-28.55
Rio Desaguadero,,Poopo,,383.0,-69.0,-16.55,Andes,3812.0,-67.1,-18.55
Doubs,Saone,,,453.0,6.2,46.7,Jura,937.0,5.0,46.9
Fulda,Weser,,,221.0,9.9,50.5,Rhoen,850.0,9.65,51.4
Merrimack River,,,Atlantic Ocean,177.0,-71.6,43.4,,,-70.8119,42.8194
Detroit River,,Lake Erie,,200.0,-82.6,42.1,,176.0,-82.2,43.0
Oder,,,Baltic Sea,866.0,17.52,49.61,Sudety Mountains,634.0,14.59,53.6
Sanga,Zaire,,,530.0,15.0,6.0,,,17.0,-2.0
Lech,Donau,,,264.0,10.0,47.17,Alps,1840.0,10.93,48.73
Wurm,Ammer,Starnberger See,,35.0,11.35,48.0,,596.0,11.5,48.3
Werra,Weser,,,292.0,10.96,50.5,Thueringer Wald,797.0,9.65,51.4
Raab,Donau,,,250.0,15.52,47.35,Alps,1150.0,17.63,47.69
Nelson River,,,Arctic Ocean,664.0,-97.97,52.77,,218.0,-92.33,57.15
Rio San Juan,,Lake Managua,Caribbean Sea,199.0,-85.35,11.6,,31.0,-83.7,10.9
Hwangho,,,Yellow Sea,4845.0,96.2,35.3,,4500.0,119.14,37.74
Rio Lerma,,Lago de Chapala,Pacific Ocean,965.0,-99.0,19.0,,,-105.6,21.5
Chatanga,,,Sibirian Sea,1636.0,95.0,68.0,,,115.0,73.0
Dnjestr,,,Black Sea,1352.0,23.0,49.0,Karpaten,1000.0,30.23,46.35
Schilka,Amur,,,560.0,111.0,49.8,,,121.48,53.33
Goetaaelv,,,Kattegat,93.0,12.34,58.4,,44.0,11.9,57.7
Elbe,,,North Sea,1091.0,15.54,50.78,Sudety Mountains,1.386,8.71,53.89
Ebro,,,Mediterranean Sea,925.0,-4.37,43.0375,Cordillera Cantabrica,1.6,0.5,40.8
Pibor,Sobat,,,,,,,,,
White Drin,Drin,,,175.0,20.2,42.7,,,20.4,42.1
Volga,,Caspian Sea,,3531.0,33.0,57.0,Waldai Hills,,47.85,46.7333
Murat,,Lake Keban,,720.0,44.1,39.55,Kurdistan,1950.0,38.75,38.8
Ounasjoki,Kemijoki,,,300.0,23.8,68.6,,450.0,24.4,66.3
Black Drin,Drin,,,133.0,20.7,41.0,,695.0,20.4,42.1
Weichsel,,,Baltic Sea,1047.0,19.01,49.61,Beskides,1100.0,18.95,54.36
Douro,,,Atlantic Ocean,897.0,-3.0,42.0,Cordillera Iberica,2160.0,-8.66,41.15
Luvua,Lualaba,,,350.0,28.7,-9.0,East African Rift,931.0,27.0,-7.0
Bomu,Ubangi,,,280.0,27.0,5.0,,,22.5,4.0
March,Donau,,,358.0,16.85,50.21,Sudety Mountains,1380.0,16.98,48.17
Iller,Donau,,,147.0,10.27,47.43,Alps,783.0,9.97,48.38
Saint Lawrence River,,,Atlantic Ocean,1197.0,-76.55,44.2,,75.0,-64.8,49.6
Shabelle,Jubba,,,1820.0,,,,,42.76,0.5
Semliki,,Lake Sese Seko/Albertsee,,230.0,29.6,-0.35,East African Rift,920.0,30.9,1.7
Sanaga,,Barrage de Mbakaou,Atlantic Ocean,918.0,,,,,9.65,3.55
Mincio,Po,,,75.0,10.7,45.4,Alps,65.0,10.95,45.1
Dalaelv,,,Baltic Sea,520.0,15.1,60.7,,,17.2,60.7
Swir,,Ozero Ladoga,,224.0,35.49,60.99,,33.0,32.79,60.51
Limmat,Aare,,,36.3,8.64,47.23,,406.0,8.23631,47.5018
Uruguay,,,Atlantic Ocean,1790.0,-52.0,-27.5,,1800.0,-58.4,-33.9
Enns,Donau,,,254.0,13.35,47.33,Alps,1375.0,14.52,48.24
Jubba,,,Indian Ocean,1658.0,,,,,42.7,-0.5
Ruki,Zaire,,,130.0,19.0,-0.3,,,18.0,0.0
Waag,Donau,,,403.0,19.81,49.02,Beskides,664.0,18.15,47.75
Brahmaputra,,,Ganges,2896.0,81.33,31.06,,6000.0,89.8,23.8
Gambia,,,Atlantic Ocean,1120.0,-12.3,11.3,,438.0,-16.6,13.5
Murray River,,Lake Hume,Indian Ocean,2589.0,148.0,-38.0,Snowy Mountains,,138.88,-35.55
Karun,Schatt al Arab,,,950.0,50.1,32.35,Zagros,,48.17,30.43
Rio Grande,,,Gulf of Mexico,3034.0,-107.5,38.0,,3900.0,-97.18,25.96
Main,Rhein,,,524.0,11.4,50.1,Fichtelgebirge,887.0,8.29,49.99
Western Dwina,,,Baltic Sea,1020.0,34.0,56.0,Waldai Hills,228.0,24.1,57.0
Olt,Donau,,,615.0,25.8,46.65,Karpaten,1280.0,24.8,43.7
Vaesterdalaelv,Dalaelv,,,320.0,12.6,61.8,,,15.1,60.7
Atbara,Nile,,,1120.0,37.3,12.8,Ethiopian Highlands,,33.97,17.68
Akagera,,Lake Victoria,,275.0,29.3,-2.5,East African Rift,2700.0,33.0,-1.0
Petschora,,,Barents Sea,1809.0,59.0,62.0,Ural,,54.0,68.5
Inn,Donau,,,517.0,9.67,46.41,Alps,2484.0,13.47,48.57
Busira,Ruki,,,830.0,20.8,-0.2,,,19.0,-0.3
Lualaba,Zaire,,,,27.0,-12.0,,,25.2,0.5
Orinoco,,,Atlantic Ocean,2140.0,-63.5,2.0,Sierra Parima,,-62.0,9.0
Argun,Amur,,,1620.0,122.46,49.94,,1200.0,121.48,53.33
Isere,Rhone,,,290.0,7.0,45.4,Alps,2770.0,4.9,45.0
Mosel,Rhein,,,544.0,6.89,47.89,Vogesen,715.0,7.61,50.37
Donau,,,Black Sea,2845.0,8.52,47.95,Black Forest,686.0,29.65,45.16
Saskatchewan River,,Lake Winnipeg,,1392.0,-123.0,52.5,,1920.0,-97.97,52.77
Missouri,Mississippi,Fort Peck Lake,,4130.0,-111.5,45.9,,1232.0,-90.12,38.81
Rhein,,Bodensee,North Sea,1324.0,8.7,46.6,Alps,2345.0,4.0,51.9
Tajo,,,Atlantic Ocean,1007.0,-1.7,40.32,Cordillera Iberica,1.58,-9.3,38.7
Ticino,Po,Lago Maggiore,,248.0,8.42,46.475,Alps,2400.0,9.235,45.14
Amazonas,,,Atlantic Ocean,6448.0,-71.7,-15.5,Andes,5170.0,-50.0,0.0
