mountain,country,province
Mt Waddington,CDN,British Columbia
Tatamailau,TL,Timor-Leste
Pik Chan-Tengri,KGZ,Kyrgyzstan
Hotaka-Dake,J,Gifu
Marmolata,I,Trentino Alto Adige
Elbrus,R,Kabardino Balkar Rep.
K2,PK,Pakistan
Snaefell,IS,Iceland
Moldoveanu,RO,Brasov
Mount Everest,TJ,Tibet
Roque de los Muchachos,E,Canary Islands
Pico de Agulhas Negras,BR,Rio de Janeiro
Changbai Shan,NOK,North Korea
Broad Peak,PK,Pakistan
Cerro Chirripo,CR,Limon
Schneekoppe,PL,Walbrzyskie
Feldberg,D,Baden Wurttemberg
Silisili,WS,Samoa
Demirkazik,TR,Nigde
Gasherbrum II,PK,Pakistan
Psiloritis,GR,Kriti
Tsaratanana,RM,Antsiranana
Ojos del Salado,RA,Tucuman
Matterhorn,I,Valle dAosta
Musala,BG,Bulgaria
Dhaulagiri,NEP,Nepal
Mt Mitchell,USA,North Carolina
Krakatau,RI,Indonesia
Moncayo,E,Castile and Leon
Sabalan,IR,Azarbayian e Sharqi
Cayambe,EC,Ecuador
Illimani,BOL,Bolivia
Karisimbi,RWA,Rwanda
Popomanaseu,SLB,Solomon Islands
Kinabalu,MAL,Sabah
Morne Diablotins,WD,Dominica
Cerro de Punta,PR,Puerto Rico
Nevado de Colima,MEX,Jalisco
